case,frequency_real,frequency_imag,v(out)_real,v(out)_imag,v(vn)_real,v(vn)_imag,v(sum)_real,v(sum)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(iin)_real,i(iin)_imag,i(rf)_real,i(rf)_imag,i(cf)_real,i(cf)_imag,i(vn)_real,i(vn)_imag,i(ci)_real,i(ci)_imag
1,25.11886431509577,0.0,-99999.8976379165,16.03452597300488,0.0,0.0,0.1002583503432106,0.2516949815423288,0.0,0.0,0.4994989621181958,7.953877012578658e-08,1.0,0.0,-0.9999999789626685,0.0001578283099146256,-2.490948647154049e-08,-0.0001578264758773994,0.4994989621181958,7.953877012578658e-08,-3.97241327685426e-09,1.582342244483317e-09
1,26.10157215682533,0.0,-99999.89746767111,16.66183354741554,0.0,0.0,0.1002615695470013,0.261541868638858,0.0,0.0,0.4994989622791763,8.265048356825844e-08,1.0,0.0,-0.9999999772924066,0.0001640029167877668,-2.689664476204198e-08,-0.0001640010109459843,0.4994989622791763,8.265048356825844e-08,-4.289313183547435e-09,1.644299913812027e-09
1,27.12272579332025,0.0,-99999.8972838444,17.31368283659783,0.0,0.0,0.1002650455920957,0.2717739885898141,0.0,0.0,0.4994989624492518,8.58839310780013e-08,1.0,0.0,-0.9999999754889001,0.0001704190884800801,-2.904232892172214e-08,-0.0001704171080181396,0.4994989624492518,8.58839310780013e-08,-4.631493830526108e-09,1.708687952393008e-09
1,28.1838293126445,0.0,-99999.89708535283,17.99103396863796,0.0,0.0,0.1002687989384867,0.2824064125854022,0.0,0.0,0.4994989626347888,8.92438750677016e-08,1.0,0.0,-0.9999999735415178,0.0001770862755605256,-3.13591853765297e-08,-0.0001770842175518854,0.4994989626347888,8.92438750677016e-08,-5.00097199275022e-09,1.775602227468665e-09
1,29.28644564625232,0.0,-99999.89687102658,18.69488463400367,0.0,0.0,0.1002728517196374,0.2934548014347058,0.0,0.0,0.4994989628366966,9.273526357933548e-08,1.0,0.0,-0.999999971438783,0.0001840142983256897,-3.386086942293029e-08,-0.0001840121597284348,0.4994989628366966,9.273526357933548e-08,-5.399925333696358e-09,1.845142453405471e-09
1,30.43219887107717,0.0,-99999.89663960243,19.42627155506638,0.0,0.0,0.1002772277861368,0.3049354286327741,0.0,0.0,0.4994989630522468,9.63632384998192e-08,1.0,0.0,-0.9999999691683022,0.000191213361264336,-3.656212571068879e-08,-0.000191211138916555,0.4994989630522468,9.63632384998192e-08,-5.830705240258604e-09,1.917412352355282e-09
1,31.62277660168374,0.0,-99999.89638971638,20.18627201311348,0.0,0.0,0.1002819529676344,0.3168652043301847,0.0,0.0,0.4994989632868965,1.001331435546149e-07,1.0,0.0,-0.9999999667166936,0.000198694068087833,-3.947887514617348e-08,-0.0001986917587028028,0.4994989632868965,1.001331435546149e-07,-6.295850681555466e-09,1.992519826446752e-09
1,32.85993247600649,0.0,-99999.89611989562,20.97600543510048,0.0,0.0,0.1002870551019441,0.329261700240437,0.0,0.0,0.499498963537917,1.040505297478234e-07,1.0,0.0,-0.9999999640695073,0.0002064674373486004,-4.262830872838029e-08,-0.0002064650375097665,0.499498963537917,1.040505297478234e-07,-6.79810317332633e-09,2.070577133733549e-09
1,34.14548873833596,0.0,-99999.89582854987,21.79663504247925,0.0,0.0,0.1002925642824266,0.3421431755217839,0.0,0.0,0.4994989638107654,1.08121166686459e-07,1.0,0.0,-0.9999999612111415,0.0002145449186695747,-4.602898887073406e-08,-0.0002145424248253224,0.4994989638107654,1.08121166686459e-07,-7.340422936114569e-09,2.151701076772162e-09
1,35.48133892335748,0.0,-99999.89551396198,22.64936956453194,0.0,0.0,0.1002985129016452,0.3555286036714165,0.0,0.0,0.4994989641063512,1.123510495748548e-07,1.0,0.0,-0.9999999581247488,0.0002229384096086053,-4.970095880584703e-08,-0.0002229358180668051,0.4994989641063512,1.123510495748548e-07,-7.926006342467125e-09,2.236013196094842e-09
