case,frequency_real,frequency_imag,v(base)_real,v(base)_imag,v(col)_real,v(col)_imag,v(out)_real,v(out)_imag,v(em)_real,v(em)_imag,v(vcc)_real,v(vcc)_imag,i(vcc)_real,i(vcc)_imag,i(vin)_real,i(vin)_imag,i(rc)_real,i(rc)_imag,i(co)_real,i(co)_imag,i(vb)_real,i(vb)_imag,ic(q1)_real,ic(q1)_imag,ib(q1)_real,ib(q1)_imag,i(rl)_real,i(rl)_imag
1,10.0,0.0,0.0,0.0,34.20615786522579,-0.005348932438197226,34.19758064775723,0.5389224677492334,1.0,0.0,0.0,0.0,0.03420615786522579,-5.348932438197226e-06,-0.03475960332068516,-4.55173497522239e-08,-0.03420615786522579,5.348932438197226e-06,0.0003419758064775724,5.389224677491443e-06,0.0002114696489818022,5.225110457821802e-09,-0.03454813367170335,-4.02922392944021e-08,-0.0002114696489818046,-5.225110457821802e-09,0.0003419758064775724,5.389224677492334e-06
1,10.39122303835169,0.0,0.0,0.0,34.20615164295724,-0.005147913753818815,34.19820797965406,0.518641617541817,1.0,0.0,0.0,0.0,0.03420615164295725,-5.147913753818815e-06,-0.03475960337173562,-4.393195014917124e-08,-0.03420615164295725,5.147913753818815e-06,0.0003419820797965406,5.186416175420343e-06,0.0002114696489818358,5.429528548859397e-09,-0.03454813372275378,-3.850242160031184e-08,-0.0002114696489818393,-5.429528548859401e-09,0.0003419820797965406,5.186416175418171e-06
1,10.7977516232771,0.0,0.0,0.0,34.2061458801942,-0.004954463636174029,34.19878898400093,0.4991232837003121,1.0,0.0,0.0,0.0,0.0342061458801942,-4.954463636174029e-06,-0.03475960341901608,-4.241114478243985e-08,-0.0342061458801942,4.954463636174029e-06,0.0003419878898400094,4.991232836999724e-06,0.0002114696489818715,5.641943956639836e-09,-0.0345481337700342,-3.676920082580001e-08,-0.000211469648981874,-5.641943956639841e-09,0.0003419878898400094,4.991232837003121e-06
1,11.22018454301963,0.0,0.0,0.0,34.20614054301677,-0.004768298663280806,34.19932708061577,0.4803388699779644,1.0,0.0,0.0,0.0,0.03420614054301677,-4.768298663280806e-06,-0.03475960346280484,-4.095270605428404e-08,-0.03420614054301677,4.768298663280806e-06,0.0003419932708061577,4.803388699777209e-06,0.0002114696489819094,5.862669554240236e-09,-0.03454813381382291,-3.509003650004381e-08,-0.0002114696489819157,-5.862669554240234e-09,0.0003419932708061577,4.803388699779644e-06
1,11.65914401179831,0.0,0.0,0.0,34.20613560000698,-0.004589145978827303,34.19982543707139,0.462260844524919,1.0,0.0,0.0,0.0,0.03420613560000698,-4.589145978827303e-06,-0.03475960350335965,-3.955449687624173e-08,-0.03420613560000698,4.589145978827303e-06,0.0003419982543707139,4.622608445248923e-06,0.0002114696489819498,6.092030455067439e-09,-0.0345481338543777,-3.346246642117429e-08,-0.0002114696489819504,-6.092030455067441e-09,0.0003419982543707139,4.622608445249191e-06
1,12.11527658628588,0.0,0.0,0.0,34.20613102206455,-0.004416742908231132,34.20028698727265,0.4448627011407261,1.0,0.0,0.0,0.0,0.03420613102206455,-4.416742908231132e-06,-0.03475960354091927,-3.821446766868449e-08,-0.03420613102206455,4.416742908231132e-06,0.0003420028698727266,4.448627011405592e-06,0.0002114696489819929,6.33036449172739e-09,-0.03454813389193727,-3.188410317695711e-08,-0.0002114696489819989,-6.330364491727383e-09,0.0003420028698727266,4.448627011407262e-06
1,12.58925411794167,0.0,0.0,0.0,34.20612678223611,-0.004250836587654008,34.20071444866942,0.4281189218416964,1.0,0.0,0.0,0.0,0.03420612678223611,-4.250836587654008e-06,-0.03475960357570484,-3.693065347251209e-08,-0.03420612678223611,4.250836587654008e-06,0.0003420071444866941,4.281189218411946e-06,0.000211469648982039,6.578022713628998e-09,-0.0345481339267228,-3.03526307588831e-08,-0.0002114696489820406,-6.578022713628992e-09,0.0003420071444866942,4.281189218416964e-06
1,13.08177474260194,0.0,0.0,0.0,34.20612285555706,-0.004091183605825147,34.20111033820505,0.4120049407090325,1.0,0.0,0.0,0.0,0.03420612285555705,-4.091183605825147e-06,-0.0347596036079212,-3.57011711720171e-08,-0.03420612285555705,4.091183605825147e-06,0.0003420111033820506,4.120049407098095e-06,0.0002114696489820884,6.835369904055443e-09,-0.0345481339589391,-2.886580126796165e-08,-0.0002114696489820891,-6.835369904055447e-09,0.0003420111033820506,4.120049407090326e-06
1,13.59356390878525,0.0,0.0,0.0,34.20611921890496,-0.003937549658133703,34.20147698709291,0.3964971089836388,1.0,0.0,0.0,0.0,0.03420611921890496,-3.937549658133704e-06,-0.03475960363775803,-3.452421682472942e-08,-0.03420611921890496,3.937549658133704e-06,0.0003420147698709291,3.964971089842293e-06,0.0002114696489821413,7.102785117464503e-09,-0.03454813398877588,-2.742143170726491e-08,-0.0002114696489821447,-7.102785117464506e-09,0.0003420147698709291,3.964971089836389e-06
1,14.12537544622754,0.0,0.0,0.0,34.20611585086378,-0.003789709212866396,34.20181655450614,0.3815726613728752,1.0,0.0,0.0,0.0,0.03420611585086378,-3.789709212866396e-06,-0.03475960366539104,-3.33980630974719e-08,-0.03420611585086378,3.789709212866396e-06,0.0003420181655450615,3.815726613728375e-06,0.000211469648982198,7.38066223780934e-09,-0.03454813401640884,-2.601740085966256e-08,-0.0002114696489822002,-7.38066223780934e-09,0.0003420181655450615,3.815726613728752e-06
