case,time,v(limit),v(clamp),v(in),i(vin),i(dp),i(cc),i(dc),i(rs),i(dn),i(rl)
1,0.008,-0.0003769448618371866,2.378185917859907,-5.878304635907295e-15,-0.0002382787670757629,1.88456300289578e-07,0.0002379018222138374,-8.323042787560998e-08,3.769448618313082e-07,-1.884885615418387e-07,0.0002378185917859907
1,0.008000012851211661,-0.0001347319455683751,2.378397580428703,0.0002422396325849677,-0.0002383083402478628,1.884615868562539e-07,0.0002379313686695639,-9.161062379951291e-08,3.769715781533428e-07,-1.88509991297127e-07,0.0002378397580428704
1,0.008000038553634983,0.0003496975513118022,2.378820900121025,0.000726718891470362,-0.000238350712664766,1.885552688619019e-07,0.0002379736913233899,-9.160131820204194e-08,3.770213401585599e-07,-1.884660712967507e-07,0.0002378820900121026
1,0.008000089958481626,0.001318565972997482,2.379667506802073,0.001695677339726083,-0.000238435448912343,1.8866990071165e-07,0.0002380583375440892,-9.158686608347648e-08,3.771113667286007e-07,-1.884414660164814e-07,0.0002379667506802073
1,0.008000192768174912,0.003256305208687032,2.381360589004524,0.003633593604476195,-0.0002386049010832758,1.889692696744293e-07,0.0002382276126873251,-9.155378751087381e-08,3.772883957891631e-07,-1.883191261126376e-07,0.0002381360589004524
1,0.008000398387561483,0.007131773000566988,2.384746226008325,0.007509420776642095,-0.0002389437621183589,1.895136944162629e-07,0.0002385661143420315,-9.149174168759794e-08,3.776477760751079e-07,-1.881340816567525e-07,0.0002384746226008325
1,0.008000809626334628,0.0148826367946111,2.391515368316495,0.01526103104933461,-0.0002396212943748634,1.907327848091334e-07,0.0002392429001198959,-9.136328804613652e-08,3.783942547235103e-07,-1.876614699071408e-07,0.0002391515368316495
1,0.008001632103880914,0.03038381317513865,2.405044949458918,0.0307638941720014,-0.0002409756856852457,1.934030063530101e-07,0.000240595604688254,-9.11097426810355e-08,3.800809968627465e-07,-1.866779905098683e-07,0.0002405044949458918
1,0.008002632103880913,0.04922898186913812,2.421478611684615,0.04961172771044028,-0.0002426214037010658,1.97442372694423e-07,0.0002422386578597724,-9.079669152071097e-08,3.827458413021637e-07,-1.853034685665433e-07,0.0002421478611684616
1,0.008003632103880913,0.06807108651092765,2.437893893976748,0.06845760266281806,-0.0002442663903405884,2.026301944985098e-07,0.0002438798741887238,-9.048479139605039e-08,3.865161518904064e-07,-1.838859573811058e-07,0.0002437893893976748
1,0.008004632103880912,0.08690872736796433,2.454290071091667,0.08730077502626088,-0.0002459112231741004,2.096738585533053e-07,0.0002455191755156849,-9.016840676444253e-08,3.920476582965488e-07,-1.823737996919908e-07,0.0002454290071091667
1,0.008005632103880911,0.1057401992755316,2.470666418617117,0.1061405009045885,-0.000247556796688529,2.194221731394164e-07,0.000247156495059242,-8.985319791098746e-08,4.003016290569789e-07,-1.808794558082003e-07,0.0002470666418617117
1,0.00800663210388091,0.1245633050801521,2.487022213000766,0.1249760365376822,-0.0002492044862870954,2.334075346194231e-07,0.0002487917548287255,-8.953352904376251e-08,4.127314575300828e-07,-1.793239228552443e-07,0.0002487022213000766
1,0.00800763210388091,0.1433750984494343,2.503356731578696,0.1438066383308465,-0.0002508564281009333,2.537402955804513e-07,0.0002504248882175819,-8.921506009808549e-08,4.31539881412174e-07,-1.777995859051823e-07,0.0002503356731578696
1,0.008008632103880909,0.1621714751302828,2.519669252603849,0.162631562884166,-0.0002525159051745753,2.838774947055978e-07,0.0002520558174151089,-8.889215507484524e-08,4.600877538832038e-07,-1.762102590758504e-07,0.0002519669252603849
1,0.008009632103880908,0.1809465757688804,2.535959055274454,0.1814500670218526,-0.0002541879672690074,3.288596799044807e-07,0.0002536844760006596,-8.857047361017482e-08,5.034912529721936e-07,-1.746315730268507e-07,0.0002535959055274454
1,0.008010632103880908,0.1996918724239989,2.552225419762381,0.2002614078215643,-0.0002558803217986274,3.965877984346555e-07,0.0002553107863553228,-8.82443795069776e-08,5.695353975653794e-07,-1.729475989248873e-07,0.0002552225419762381
1,0.008011632103880907,0.2183948275688666,2.568467627241576,0.2190648426438189,-0.0002576046974694113,4.98806402987606e-07,0.0002569346822558494,-8.791953211280674e-08,6.70015074952235e-07,-1.712086720676472e-07,0.0002568467627241576
1,0.008012632103880906,0.2370369184514605,2.584684959916227,0.237859629161185,-0.0002593787974259375,6.53446596554641e-07,0.0002585560862861658,-8.759029504022037e-08,8.227107097244779e-07,-1.692641131214528e-07,0.0002584684959916228
1,0.008013632103880905,0.2555908331421005,2.600876701049119,0.2566450253876728,-0.0002612291260351569,8.870755044410039e-07,0.0002601749324319669,-8.726232735733972e-08,1.054192245572294e-06,-1.671167411578742e-07,0.0002600876701049119
1,0.008014632103880905,0.274016617542604,2.617042134989834,0.2754202897080049,-0.0002631948199543429,1.239120099305602e-06,0.000261791143490897,-8.692999249630913e-08,1.403672165400827e-06,-1.645520661298213e-07,0.0002617042134989834
1,0.008015632103880904,0.2922567465238105,2.63318054720292,0.2941846809068944,-0.0002653326015035234,1.766441515838046e-06,0.0002634046536690304,-8.659894925360637e-08,1.927934383083918e-06,-1.614928673506737e-07,0.000263318054720292
1,0.008016632103880903,0.310230494714395,2.649291224296033,0.3129374581983067,-0.0002677223903555167,2.549328080581059e-06,0.0002650153859898863,-8.626356088924598e-08,2.70696348391164e-06,-1.576354031160066e-07,0.0002649291224296033
1,0.008017632103880902,0.327828914455898,2.665373454048024,0.331677881254704,-0.0002704723597772043,3.696140177533724e-06,0.000266623274890021,-8.59294859368841e-08,3.848966798806031e-06,-1.528266208618792e-07,0.0002665373454048024
1,0.008018632103880902,0.3449130509848437,2.681426525436984,0.3504052102362729,-0.0002737207190105546,5.345414854640573e-06,0.0002682282436306527,-8.559108749211348e-08,5.492159251429207e-06,-1.467443965412402e-07,0.0002681426525436984
1,0.008019632103880901,0.3613192296496067,2.697449728668233,0.3691187058201315,-0.0002776304659554058,7.660139114407105e-06,0.0002698302268901442,-8.525402383382393e-08,7.799476170524734e-06,-1.39337055726783e-07,0.0002697449728668233
1,0.0080206321038809,0.3768746087566284,2.713442355202254,0.3878176292294956,-0.0002823737841028979,1.081246811862613e-05,0.00027142914817746,-8.491265790065298e-08,1.094302047286727e-05,-1.305523540045681e-07,0.0002713442355202254
1,0.0080216321038809,0.3914191952599292,2.72940369778267,0.4065012422629292,-0.0002881069894526322,1.496134384021408e-05,0.0002730249424253151,-8.457264704592061e-08,1.508204700299992e-05,-1.207031625752423e-07,0.000272940369778267
1,0.008022632103880899,0.404842809637611,2.745333050463965,0.4251688073233597,-0.0002949435311596856,2.02156477266402e-05,0.0002746175334017442,-8.422835538995578e-08,2.032599768574872e-05,-1.103499590399843e-07,0.0002745333050463965
1,0.008023632103880898,0.417091615071061,2.76122970863936,0.4438195874472829,-0.000302934828829878,2.66280849639533e-05,0.0002762068563039732,-8.388544007351978e-08,2.672797237622193e-05,-9.988741254701045e-08,0.000276122970863936
1,0.008024632103880897,0.4281758277080795,2.77709296906854,0.4624528463338344,-0.0003120698540217462,3.41870440623282e-05,0.0002777928351705983,-8.35382637418464e-08,3.427701862575494e-05,-8.997456281590833e-08,0.000277709296906854
1,0.008025632103880896,0.4381577222312278,2.792922129905339,0.4810678483738589,-0.0003222855318771612,4.282933872085115e-05,0.0002793754054743469,-8.319248395672313e-08,4.291012614263107e-05,-8.078742197831896e-08,0.000279292212990534
1,0.008026632103880896,0.4471307901487013,2.808716490725379,0.4996638586789496,-0.0003334875603100291,5.246044101625547e-05,0.000280954491535812,-8.284246322755356e-08,5.253306853024825e-05,-7.262751370222008e-08,0.0002808716490725379
1,0.008027632103880895,0.4552031243009163,2.824475352553641,0.5182401431104613,-0.000345567048120391,6.297162515184196e-05,0.0002825300291142696,-8.249385889064923e-08,6.303701880954499e-05,-6.539365726874154e-08,0.0002824475352553641
1,0.008028632103880894,0.4624830022008389,2.840198017891988,0.5367959683084923,-0.000358414909073281,7.42538136822013e-05,0.0002841019428225233,-8.214103332604215e-08,7.431296610765342e-05,-5.915242549265861e-08,0.0002840198017891988
1,0.008029632103880894,0.4690756839328164,2.855883790746624,0.5553306017208364,-0.0003719286731851085,8.620116046437198e-05,0.0002856701687182772,-8.178964455006735e-08,8.625491778801997e-05,-5.375732326041658e-08,0.0002855883790746624
1,0.008030632103880893,0.4750641521037795,2.871531976655481,0.573843311631882,-0.0003860166853030084,9.87301989527345e-05,0.0002872346317175367,-8.143405305022264e-08,9.877915952810246e-05,-4.896057538581176e-08,0.0002871531976655481
1,0.008031632103880892,0.4805311579672841,2.887141882715647,0.5923333671915824,-0.0004005997109874883,0.0001117572231262853,0.000288795268187092,-8.107991660306495e-08,0.0001118022092242983,-4.498609807155963e-08,0.0002887141882715647
1,0.008032632103880891,0.4855455519530685,2.902712817610515,0.6108000384441834,-0.0004156082236811462,0.0001252131186879613,0.0002903520033573082,-8.072159734651887e-08,0.0001252544864911149,-4.13678030848739e-08,0.0002902712817610515
1,0.00803363210388089,0.4901643690119804,2.918244091637086,0.6292425963571238,-0.0004309843597954287,0.0001390398610243149,0.0002919047739146086,-8.036475198110454e-08,0.0001390782273451434,-3.83663204487726e-08,0.0002918244091637086
1,0.00803463210388089,0.4944372011948601,2.933735016733102,0.6476603128497959,-0.0004466776792297334,0.0001531875214394463,0.0002934535054147092,-8.000374253286197e-08,0.0001532231116549358,-3.559021491934987e-08,0.0002933735016733102
1,0.00803563210388089,0.4984051307350998,2.949184906504136,0.6660524608222886,-0.000462646305551671,0.0001676140453008013,0.0002949981348748798,-7.964422550204306e-08,0.0001676473300871889,-3.328478570328355e-08,0.0002949184906504136
1,0.008036632103880888,0.5021039291705998,2.964593076250621,0.6844183141840929,-0.0004788536389493787,0.0001822832723735734,0.0002965385881866789,-7.928056280835131e-08,0.0001823143850134932,-3.111263946641913e-08,0.0002964593076250621
1,0.008037632103880888,0.505563351259338,2.979958842994803,0.702757147882765,-0.000495269133642206,0.0001971644878556722,0.0002980748027090474,-7.891841075728882e-08,0.000197193796623427,-2.930876728059959e-08,0.0002979958842994803
1,0.008038632103880887,0.5088094974173327,2.995281525507629,0.7210682379325516,-0.0005118658747559606,0.0002122311651991948,0.0002996067046808215,-7.855213116758428e-08,0.0002122587405152189,-2.757531599071566e-08,0.0002995281525507629
1,0.008039632103880886,0.5118642373051346,3.01056044433555,0.7393508614429507,-0.00052862120585203,0.0002274604855401208,0.0003011342318124388,-7.818738015513569e-08,0.0002274866241378161,-2.613859713624058e-08,0.000301056044433555
1,0.008040632103880885,0.5147469315466849,3.025794921827352,0.7576042966473322,-0.0005455149613544987,0.0002428326357217792,0.0003026573107008379,-7.781851944349488e-08,0.0002428573651006473,-2.4729378842726e-08,0.0003025794921827352
1,0.008041632103880885,0.5174739396024612,3.040984282160712,0.7758278229313084,-0.0005625299986975334,0.0002583303169328977,0.0003041758794198879,-7.745120496326717e-08,0.0002583538833288471,-2.356639590378483e-08,0.0003040984282160713
1,0.008042632103880884,0.5200598800038952,3.056127851368888,0.7940207208612653,-0.0005796509010910166,0.0002739384396011069,0.0003056898649338446,-7.707979834751163e-08,0.0002739608408573701,-2.240125591602462e-08,0.0003056127851368889
