case,vin,v(in),v(out),v(vcc),i(vcc),ic(q1),ib(q1),i(vin),i(rl)
1,2.175,2.175,1.510834523676212,8.0,-0.001501376295664478,0.001501376295664471,9.458228011742845e-06,-9.45822801174279e-06,0.001510834523676212
1,2.2,2.2,1.535411094123616,8.0,-0.001525796753035824,0.001525796753035798,9.614341087828602e-06,-9.614341087828683e-06,0.001535411094123616
1,2.225,2.225,1.559994182737316,8.0,-0.001550223614416063,0.001550223614416078,9.770568321239282e-06,-9.770568321239336e-06,0.001559994182737316
1,2.25,2.25,1.584583590584054,8.0,-0.001574656682037906,0.001574656682037863,9.92690854618517e-06,-9.92690854618517e-06,0.001584583590584054
1,2.275,2.275,1.609179127650609,8.0,-0.001599095766998959,0.00159909576699894,1.008336065166156e-05,-1.008336065166156e-05,0.001609179127650609
1,2.3,2.3,1.633780612320476,8.0,-0.001623540688742237,0.001623540688742245,1.023992357823477e-05,-1.023992357823483e-05,0.001633780612320476
1,2.325,2.325,1.658387870888243,8.0,-0.001647991274573074,0.001647991274573105,1.039659631511992e-05,-1.039659631511998e-05,0.001658387870888243
1,2.35,2.35,1.683000737108469,8.0,-0.001672447359211182,0.00167244735921117,1.055337789730211e-05,-1.055337789730216e-05,0.001683000737108469
1,2.375,2.375,1.707619051776159,8.0,-0.001696908784373091,0.001696908784373103,1.071026740304549e-05,-1.07102674030456e-05,0.001707619051776159
1,2.4,2.4,1.73224266233624,8.0,-0.001721375398384739,0.001721375398384793,1.086726395146606e-05,-1.086726395146606e-05,0.00173224266233624
1,2.425,2.425,1.756871422519657,8.0,-0.001745847055819372,0.00174584705581938,1.102436670029876e-05,-1.10243667002987e-05,0.001756871422519657
1,2.45,2.45,1.781505192003954,8.0,-0.001770323617160147,0.001770323617160162,1.118157484378176e-05,-1.118157484378181e-05,0.001781505192003954
1,2.475,2.475,1.806143836096395,8.0,-0.001794804948485607,0.001794804948485592,1.133888761078116e-05,-1.133888761078116e-05,0.001806143836096395
1,2.5,2.5,1.830787225008646,8.0,-0.001819290921174971,0.001819290921174972,1.14963042628713e-05,-1.149630426287157e-05,0.001830787225008646
1,2.525,2.525,1.855435235318592,8.0,-0.001843781411633105,0.001843781411633094,1.165382409276097e-05,-1.165382409276119e-05,0.001855435235318592
1,2.55,2.55,1.880087747068817,8.0,-0.001868276301032673,0.001868276301032687,1.181144642257027e-05,-1.181144642257038e-05,0.001880087747068817
1,2.575,2.575,1.904744645308527,8.0,-0.001892775475073077,0.00189277547507311,1.196917060242983e-05,-1.196917060242988e-05,0.001904744645308527
1,2.6,2.6,1.929405819414055,8.0,-0.001917278823753754,0.001917278823753787,1.212699600906027e-05,-1.212699600906027e-05,0.001929405819414055
1,2.625,2.625,1.954071162874652,8.0,-0.001941786241161952,0.001941786241161931,1.228492204443282e-05,-1.228492204443299e-05,0.001954071162874653
1,2.65,2.65,1.978740573091833,8.0,-0.001966297625272895,0.001966297625272914,1.244294813455122e-05,-1.244294813455122e-05,0.001978740573091833
1,2.675,2.675,2.003413951190711,8.0,-0.001990812877762815,0.001990812877762866,1.260107372834743e-05,-1.260107372834732e-05,0.002003413951190711
1,2.7,2.7,2.028091201842535,8.0,-0.002015331903832351,0.002015331903832346,1.275929829645898e-05,-1.275929829645914e-05,0.002028091201842535
1,2.725,2.725,2.052772233097656,8.0,-0.002039854612040176,0.002039854612040187,1.291762133035591e-05,-1.291762133035597e-05,0.002052772233097656
1,2.75,2.75,2.077456956228186,8.0,-0.002064380914147124,0.002064380914147138,1.307604234129371e-05,-1.307604234129355e-05,0.002077456956228186
1,2.775,2.775,2.102145285579674,8.0,-0.002088910724968668,0.002088910724968656,1.323456085939684e-05,-1.323456085939689e-05,0.002102145285579674
1,2.8,2.8,2.12683713843122,8.0,-0.002113443962235506,0.002113443962235539,1.339317643284701e-05,-1.339317643284706e-05,0.00212683713843122
1,2.825,2.825,2.15153243486343,8.0,-0.002137980546462942,0.002137980546462943,1.355188862701414e-05,-1.35518886270143e-05,0.00215153243486343
1,2.85,2.85,2.176231097633687,8.0,-0.002162520400826484,0.002162520400826484,1.371069702371555e-05,-1.371069702371555e-05,0.002176231097633687
1,2.875,2.875,2.200933052058297,8.0,-0.002187063451044746,0.002187063451044789,1.386960122055008e-05,-1.386960122055025e-05,0.002200933052058297
1,2.9,2.9,2.225638225901009,8.0,-0.002211609625268951,0.002211609625268961,1.402860083013193e-05,-1.402860083013209e-05,0.002225638225901009
1,2.925,2.925,2.250346549267547,8.0,-0.002236158853977654,0.002236158853977668,1.418769547946127e-05,-1.418769547946127e-05,0.002250346549267547
1,2.95,2.95,2.275057954505729,8.0,-0.002260711069877908,0.002260711069877936,1.434688480934514e-05,-1.43468848093453e-05,0.00227505795450573
1,2.975,2.975,2.299772376110868,8.0,-0.002285266207810999,0.002285266207811058,1.450616847376387e-05,-1.450616847376387e-05,0.002299772376110868
1,3.0,3.0,2.324489750636072,8.0,-0.002309824204663413,0.002309824204663399,1.466554613943058e-05,-1.466554613943063e-05,0.002324489750636072
1,3.025,3.025,2.34921001660719,8.0,-0.002334384999281902,0.002334384999281962,1.482501748510028e-05,-1.482501748510038e-05,0.00234921001660719
1,3.05,3.05,2.373933114442081,8.0,-0.002358948532394212,0.002358948532394217,1.498458220121102e-05,-1.498458220121107e-05,0.002373933114442081
1,3.075,3.075,2.398658986373978,8.0,-0.002383514746531756,0.002383514746531755,1.514423998936999e-05,-1.514423998937009e-05,0.002398658986373978
1,3.1,3.1,2.423387576378672,8.0,-0.002408083585958065,0.002408083585958147,1.530399056189302e-05,-1.530399056189308e-05,0.002423387576378672
1,3.125,3.125,2.448118830105307,8.0,-0.002432654996599615,0.002432654996599615,1.54638336414115e-05,-1.546383364141139e-05,0.002448118830105307
1,3.15,3.15,2.472852694810573,8.0,-0.002457228925980548,0.00245722892598058,1.562376896043416e-05,-1.562376896043416e-05,0.002472852694810573
1,3.175,3.175,2.497589119296089,8.0,-0.002481805323160446,0.002481805323160438,1.578379626099817e-05,-1.578379626099823e-05,0.002497589119296089
1,3.2,3.2,2.522328053848808,8.0,-0.002506384138675044,0.002506384138675144,1.594391529422933e-05,-1.594391529422933e-05,0.002522328053848809
1,3.225,3.225,2.547069450184253,8.0,-0.002530965324480106,0.002530965324480096,1.610412582013054e-05,-1.610412582013065e-05,0.002547069450184253
1,3.25,3.25,2.571813261392437,8.0,-0.002555548833896859,0.002555548833896913,1.626442760712814e-05,-1.62644276071283e-05,0.002571813261392437
1,3.275,3.275,2.596559441886317,8.0,-0.00258013462156198,0.002580134621561976,1.64248204318014e-05,-1.642482043180161e-05,0.002596559441886317
1,3.3,3.3,2.621307947352631,8.0,-0.002604722643377577,0.002604722643377574,1.658530407856024e-05,-1.658530407856003e-05,0.002621307947352631
1,3.325,3.325,2.646058734704996,8.0,-0.002629312856465227,0.002629312856465242,1.674587833942862e-05,-1.67458783394284e-05,0.002646058734704995
1,3.35,3.35,2.67081176203914,8.0,-0.002653905219121511,0.002653905219121605,1.690654301361348e-05,-1.690654301361337e-05,0.00267081176203914
1,3.375,3.375,2.695566988590155,8.0,-0.002678499690775271,0.00267849969077529,1.706729790746758e-05,-1.706729790746731e-05,0.002695566988590155
1,3.4,3.4,2.720324374691663,8.0,-0.002703096231946922,0.00270309623194694,1.722814283403745e-05,-1.722814283403777e-05,0.002720324374691663
1,3.425,3.425,2.745083881736782,8.0,-0.002727694804209924,0.002727694804209972,1.738907761289526e-05,-1.738907761289531e-05,0.002745083881736782
1,3.45,3.45,2.769845472140819,8.0,-0.002752295370153923,0.002752295370153906,1.755010206999446e-05,-1.755010206999424e-05,0.002769845472140819
1,3.475,3.475,2.794609109305584,8.0,-0.002776897893348507,0.00277689789334857,1.77112160372963e-05,-1.771121603729667e-05,0.002794609109305585
1,3.5,3.5,2.819374757585241,8.0,-0.002801502338310058,0.002801502338310086,1.787241935268923e-05,-1.787241935268923e-05,0.002819374757585241
1,3.525,3.525,2.84414238225362,8.0,-0.00282610867046873,0.002826108670468708,1.803371185972311e-05,-1.803371185972328e-05,0.00284414238225362
1,3.55,3.55,2.86891194947293,8.0,-0.002850716856137747,0.002850716856137788,1.819509340740674e-05,-1.819509340740674e-05,0.00286891194947293
1,3.575,3.575,2.893683426263774,8.0,-0.00287532686248354,0.002875326862483548,1.835656385009994e-05,-1.835656385010005e-05,0.002893683426263774
1,3.6,3.6,2.918456780476423,8.0,-0.002899938657496659,0.00289993865749666,1.851812304724993e-05,-1.851812304724983e-05,0.002918456780476423
1,3.625,3.625,2.943231980763278,8.0,-0.002924552209965292,0.002924552209965298,1.867977086328056e-05,-1.86797708632805e-05,0.002943231980763278
1,3.65,3.65,2.968008996552465,8.0,-0.002949167489448179,0.002949167489448232,1.884150716738639e-05,-1.884150716738656e-05,0.002968008996552465
1,3.675,3.675,2.992787798022502,8.0,-0.002973784466250184,0.002973784466250162,1.90033318334692e-05,-1.90033318334692e-05,0.002992787798022502
1,3.7,3.7,3.017568356077997,8.0,-0.002998403111397374,0.002998403111397384,1.916524473981481e-05,-1.916524473981459e-05,0.003017568356077997
1,3.725,3.725,3.042350642326311,8.0,-0.003023023396614366,0.003023023396614453,1.932724576914915e-05,-1.932724576914893e-05,0.003042350642326311
1,3.75,3.75,3.067134629055154,8.0,-0.003047645294302181,0.003047645294302282,1.948933480836422e-05,-1.948933480836433e-05,0.003067134629055154
1,3.775,3.775,3.091920289211071,8.0,-0.003072268777516263,0.003072268777516305,1.965151174846108e-05,-1.965151174846119e-05,0.003091920289211071
1,3.8,3.8,3.116707596378758,8.0,-0.003096893819946434,0.003096893819946427,1.981377648433205e-05,-1.981377648433216e-05,0.003116707596378758
1,3.825,3.825,3.141496524761192,8.0,-0.003121520395896693,0.003121520395896741,1.997612891480765e-05,-1.997612891480776e-05,0.003141496524761192
1,3.85,3.85,3.166287049160523,8.0,-0.003146148480267008,0.003146148480267025,2.013856894231606e-05,-2.013856894231584e-05,0.003166287049160523
1,3.875,3.875,3.1910791449597,8.0,-0.003170778048534051,0.003170778048534079,2.030109647298143e-05,-2.030109647298143e-05,0.0031910791449597
1,3.9,3.9,3.215872788104788,8.0,-0.003195409076734324,0.003195409076734383,2.046371141634844e-05,-2.046371141634822e-05,0.003215872788104788
1,3.925,3.925,3.240667955087965,8.0,-0.003220041541447172,0.003220041541447157,2.06264136854142e-05,-2.06264136854142e-05,0.003240667955087965
1,3.95,3.95,3.265464622931136,8.0,-0.003244675419777909,0.003244675419777897,2.07892031964099e-05,-2.078920319641001e-05,0.003265464622931136
1,3.975,3.975,3.290262769170176,8.0,-0.003269310689343219,0.00326931068934329,2.095207986881021e-05,-2.095207986881021e-05,0.003290262769170176
