case,time,v(out),v(raw),v(vn),v(in),v(vp),i(vp),i(vin),i(riso),i(rl),i(vn),i(cl)
1,1.115535998849953e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,1.165535998849953e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,1.215535998849953e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,1.265535998849953e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,1.315535998849953e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,1.365535998849953e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,1.415535998849953e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,1.465535998849953e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,1.515535998849953e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,1.565535998849953e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,1.615535998849953e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,1.665535998849953e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,1.715535998849954e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,1.765535998849954e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,1.815535998849954e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
1,1.865535998849954e-07,0.0,0.0,-12.0,0.0,12.0,-0.001147521660737039,0.0,0.0,0.0,0.001147521660737039,0.0
