case,frequency_real,frequency_imag,v(gate)_real,v(gate)_imag,v(out)_real,v(out)_imag,v(vdd)_real,v(vdd)_imag,i(vdd)_real,i(vdd)_imag,id(j1)_real,id(j1)_imag,i(vin)_real,i(vin)_imag,i(rs)_real,i(rs)_imag
1,42.98662347082268,0.0,1.0,0.0,0.7186588323794925,4.438741861268906e-08,0.0,0.0,-0.001529061344206886,4.891567837573543e-10,0.001529061344206886,-4.891567837573543e-10,-1.281395289147257e-12,-5.835980999545651e-10,0.001529061345488282,9.444131619721076e-11
1,44.66835921509622,0.0,1.0,0.0,0.7186588323794931,4.612395669011342e-08,0.0,0.0,-0.001529061344206883,5.082937240745429e-10,0.001529061344206882,-5.082937240745429e-10,-1.28139955951407e-12,-6.064298021386142e-10,0.001529061345488283,9.81360780640711e-11
1,46.41588833612769,0.0,1.0,0.0,0.7186588323794937,4.792843213782413e-08,0.0,0.0,-0.001529061344206879,5.281793455852965e-10,0.001529061344206879,-5.281793455852965e-10,-1.28140417055009e-12,-6.301547331125817e-10,0.001529061345488284,1.019753875272854e-10
1,48.23178482239296,0.0,1.0,0.0,0.7186588323794942,4.980350282226325e-08,0.0,0.0,-0.001529061344206876,5.488429384227445e-10,0.001529061344206876,-5.488429384227445e-10,-1.281409149432256e-12,-6.548078380445817e-10,0.001529061345488286,1.059648996218367e-10
1,50.11872336272711,0.0,1.0,0.0,0.7186588323794951,5.175193059173143e-08,0.0,0.0,-0.001529061344206871,5.703149386175056e-10,0.001529061344206872,-5.703149386175056e-10,-1.281414525505555e-12,-6.804254292382103e-10,0.001529061345488287,1.101104906207052e-10
1,52.07948328595451,0.0,1.0,0.0,0.7186588323794957,5.377658534439756e-08,0.0,0.0,-0.001529061344206868,5.926269729278345e-10,0.001529061344206868,-5.926269729278345e-10,-1.281420330455974e-12,-7.070452396180424e-10,0.001529061345488289,1.144182666902076e-10
1,54.11695265464624,0.0,1.0,0.0,0.7186588323794966,5.588044925545885e-08,0.0,0.0,-0.001529061344206863,6.158119054236331e-10,0.001529061344206863,-6.158119054236331e-10,-1.281426598497255e-12,-7.347064783075879e-10,0.00152906134548829,1.18894572883955e-10
1,56.23413251903477,0.0,1.0,0.0,0.7186588323794975,5.806662116967646e-08,0.0,0.0,-0.001529061344206858,6.399038858929298e-10,0.001529061344206859,-6.399038858929299e-10,-1.281433366572547e-12,-7.634498883816029e-10,0.001529061345488292,1.235460024886733e-10
1,58.43414133735162,0.0,1.0,0.0,0.7186588323794985,6.033832116575802e-08,0.0,0.0,-0.001529061344206853,6.649384001421373e-10,0.001529061344206853,-6.649384001421373e-10,-1.281440674572145e-12,-7.933178068777924e-10,0.001529061345488295,1.283794067356554e-10
1,60.7202195690987,0.0,1.0,0.0,0.7186588323794995,6.269889529930856e-08,0.0,0.0,-0.001529061344206847,6.909523222641678e-10,0.001529061344206847,-6.909523222641678e-10,-1.281448565568596e-12,-8.243542271563137e-10,0.001529061345488297,1.334019048921459e-10
