case,time,v(b),v(plus),v(sum),v(vn),v(a),v(out),v(vp),i(vp),i(v1),i(r1),i(rf),i(r3),i(vn),i(v2),i(r2)
1,0.002019500000000002,0.0,0.00611075944319791,0.006100797330927079,-12.0,0.01222157999399025,0.01220165566982747,12.0,-0.001147826028463419,-6.110820550792344e-07,-6.100797330927079e-07,6.100858338900391e-07,6.110759443197911e-07,0.001147216077160019,6.10079733092707e-07,6.110820550792345e-07
1,0.0020205000000000023,0.0,0.006422439397818876,0.006412484542336038,-12.0,0.01284494302003173,0.0128250332095175,12.0,-0.001147841545830385,-6.422503622212856e-07,-6.412484542336038e-07,6.412548667181462e-07,6.422439397818877e-07,0.001147200432366741,6.412484542336027e-07,6.422503622212857e-07
1,0.0020215000000000025,0.0,0.006733865805529306,0.006723918600072757,-12.0,0.01346779894971667,0.01344790443933151,12.0,-0.001147857047423507,-6.733933144187363e-07,-6.723918600072757e-07,6.723985839258756e-07,6.733865805529306e-07,0.001147184797109658,6.723918600072746e-07,6.733933144187362e-07
1,0.0020225000000000026,0.0,0.007045026371748046,0.007035087208806979,-12.0,0.01409012319375981,0.01407024476848605,12.0,-0.001147872532638702,-7.045096822011764e-07,-7.03508720880698e-07,7.035157559679068e-07,7.045026371748046e-07,0.001147169172013959,7.035087208806964e-07,7.045096822011764e-07
1,0.0020235000000000027,0.0,0.007355908812388559,0.007345978084528158,-12.0,0.01471189118386524,0.01469202962883716,12.0,-0.001147888000872941,-7.355982371476684e-07,-7.345978084528159e-07,7.346051544309006e-07,7.355908812388559e-07,0.00114715355770476,7.345978084528151e-07,7.355982371476684e-07
1,0.002024500000000003,0.0,0.007666500854344578,0.007656578953450688,-12.0,0.0153330783736977,0.01531323447269091,12.0,-0.001147903451524198,-7.666577519353124e-07,-7.656578953450688e-07,7.656655519240226e-07,7.666500854344579e-07,0.001147137954807153,7.656578953450683e-07,7.666577519353124e-07
1,0.002025500000000003,0.0,0.00797679023597411,0.007966877553888897,-12.0,0.01595366023985058,0.01593383477655333,12.0,-0.001147918883991537,-7.976870003876469e-07,-7.966877553888897e-07,7.966957222664436e-07,7.97679023597411e-07,0.001147122363946114,7.966877553888927e-07,7.976870003876469e-07
1,0.002026500000000003,0.0,0.008286764707583402,0.008276861635516884,-12.0,0.01657361228281388,0.01655380603965012,12.0,-0.001147934297675077,-8.286847575230479e-07,-8.276861635516885e-07,8.276944404133241e-07,8.286764707583402e-07,0.001147106785746536,8.276861635516874e-07,8.28684757523048e-07
1,0.0020275000000000033,0.0,0.008596412031911338,0.00858651896093018,-12.0,0.017192910027943,0.01717312378704997,12.0,-0.001147949691976065,-8.59649799603166e-07,-8.586518960930181e-07,8.586604826119789e-07,8.596412031911338e-07,0.001147091220833148,8.586518960930174e-07,8.59649799603166e-07
1,0.0020285000000000034,0.0,0.008905719984611584,0.00889583730517994,-12.0,0.01781152902642302,0.01779176356873293,12.0,-0.001147965066296852,-8.905809041811433e-07,-8.895837305179941e-07,8.89592626355299e-07,8.905719984611585e-07,0.001147075669830541,8.895837305179935e-07,8.905809041811433e-07
