case,frequency_real,frequency_imag,v(gate)_real,v(gate)_imag,v(source)_real,v(source)_imag,v(out)_real,v(out)_imag,v(vdd)_real,v(vdd)_imag,i(vdd)_real,i(vdd)_imag,id(j1)_real,id(j1)_imag,i(rs)_real,i(rs)_imag,i(cs)_real,i(cs)_imag,i(vin)_real,i(vin)_imag,i(rd)_real,i(rd)_imag
1,10.0,0.0,1.0,0.0,0.7058871220515809,-0.1206444021944789,-0.7816902770500562,-0.3228773961273765,0.0,0.0,-0.0007816902770500562,-0.0003228773961273765,0.0007816902770500563,0.0003228773961273766,0.0007058871220515809,-0.0001206444021944789,7.580311352618144e-05,0.0004435219593801776,4.147229434063837e-11,-1.610583222020397e-10,0.0007816902770500562,0.0003228773961273765
1,10.39122303835169,0.0,1.0,0.0,0.7042924901766433,-0.1250810852493395,-0.7859579504516638,-0.334751172195988,0.0,0.0,-0.0007859579504516639,-0.000334751172195988,0.0007859579504516637,0.0003347511721959881,0.0007042924901766433,-0.0001250810852493395,8.166541544075704e-05,0.0004598324254017024,4.483426326848365e-11,-1.679563749263868e-10,0.0007859579504516639,0.000334751172195988
1,10.7977516232771,0.0,1.0,0.0,0.7025787163584509,-0.1296582747666968,-0.7905444804559989,-0.3470009818898716,0.0,0.0,-0.0007905444804559989,-0.0003470009818898716,0.000790544480455999,0.0003470009818898716,0.0007025787163584509,-0.0001296582747666968,8.79657156501287e-05,0.0004766594318505788,4.844741963994935e-11,-1.751940102535595e-10,0.0007905444804559989,0.0003470009818898716
1,11.22018454301963,0.0,1.0,0.0,0.7007375663302879,-0.1343777347890525,-0.7954719042251168,-0.3596315462598834,0.0,0.0,-0.0007954719042251168,-0.0003596315462598834,0.0007954719042251166,0.0003596315462598833,0.000700737566330288,-0.0001343777347890525,9.473428556570526e-05,0.0004940094638413194,5.232912379230553e-11,-1.827923835151408e-10,0.0007954719042251168,0.0003596315462598834
1,11.65914401179831,0.0,1.0,0.0,0.6987603427964666,-0.1392409028606719,-0.8007634981139267,-0.3726467125573474,0.0,0.0,-0.0008007634981139266,-0.0003726467125573475,0.0008007634981139266,0.0003726467125573475,0.0006987603427964667,-0.0001392409028606719,0.0001020030988197478,0.000511887806192331,5.649771226851483e-11,-1.907743115470613e-10,0.0008007634981139266,0.0003726467125573475
1,12.11527658628588,0.0,1.0,0.0,0.6966378765805176,-0.1442488405518378,-0.8064438013600725,-0.3860493218233358,0.0,0.0,-0.0008064438013600726,-0.0003860493218233358,0.0008064438013600726,0.0003860493218233358,0.0006966378765805175,-0.0001442488405518378,0.0001098058638070387,0.0005302983615395886,6.097251647950952e-11,-1.991644150712824e-10,0.0008064438013600726,0.0003860493218233358
1,12.58925411794167,0.0,1.0,0.0,0.694360520771467,-0.1494021796928379,-0.8125386317501029,-0.3998410649960154,0.0,0.0,-0.0008125386317501029,-0.0003998410649960154,0.0008125386317501031,0.0003998410649960155,0.0006943605207714671,-0.000149402179692838,0.0001181780452047612,0.0005492434526781252,6.57738750455826e-11,-2.079892716121186e-10,0.0008125386317501029,0.0003998410649960154
1,13.08177474260194,0.0,1.0,0.0,0.6919181485074901,-0.1547010642230324,-0.819075091551025,-0.4140223272827407,0.0,0.0,-0.000819075091551025,-0.0004140223272827407,0.0008190750915510248,0.0004140223272827408,0.0006919181485074902,-0.0001547010642230324,0.0001271568721203961,0.0005687236087833523,7.09231384690815e-11,-2.172775792050388e-10,0.000819075091551025,0.0004140223272827407
1,13.59356390878525,0.0,1.0,0.0,0.6893001551086307,-0.1601450876182974,-0.8260815618025577,-0.4285920206986672,0.0,0.0,-0.0008260815618025577,-0.0004285920206986672,0.0008260815618025573,0.0004285920206986672,0.0006893001551086308,-0.0001601450876182974,0.0001367813302512623,0.0005887373353772955,7.644266463794088e-11,-2.270603310358661e-10,0.0008260815618025577,0.0004285920206986672
1,14.12537544622754,0.0,1.0,0.0,0.6864954653436058,-0.1657332259331945,-0.833587682869168,-0.443547404869161,0.0,0.0,-0.000833587682869168,-0.000443547404869161,0.0008335876828691676,0.0004435474048691611,0.0006864954653436058,-0.0001657332259331945,0.0001470921351697583,0.0006092808681733566,8.235580350499534e-11,-2.373710009966716e-10,0.000833587682869168,0.000443547404869161
