Cbypass,time,V(in),V(em),V(col),V(out),V(base),V(low),I(RC),I(RE1),Ic(Q1),Ib(Q1),Ie(Q1)
1e-12,0.04,-9.797174393178826e-17,1.349858843168826,7.57342349803575,-7.499126004617551e-06,2.011174215253018,1.214872953863124,0.001341386818777045,0.001349858893057028,0.001341386978342828,8.471914714208812e-06,-0.001349858893057037
1e-12,0.0400002,1.256636730687476e-05,1.349871161232297,7.573385766059265,-4.523108324328007e-05,2.011186781591428,1.214884040120251,0.001341398252709314,0.001349871211120455,0.001341399215089793,8.471996030693076e-06,-0.001349871211120486
1e-12,0.0400006,3.769902254481461e-05,1.349895797257203,7.573310302299169,-0.0001206947727334651,2.011211914157746,1.214906212542708,0.001341421120515403,0.001349895847144946,0.00134142368848005,8.472158664886938e-06,-0.001349895847144937
1e-12,0.0400014,8.796345988842626e-05,1.349945068293368,7.573159377960469,-0.0002716187775524403,2.011262178230491,1.214950556475421,0.001341466855163494,0.001349945118179472,0.001341472634272333,8.472483907140219e-06,-0.001349945118179474
1e-12,0.040003,0.0001884843971540786,1.350043601953922,7.572857555004004,-0.0005734402956205642,2.011362697691577,1.215039236770607,0.001341558316665453,0.00135004365183315,0.001341570517522461,8.473134310711551e-06,-0.001350043651833172
1e-12,0.040005,0.0003141075907807749,1.350166740421007,7.572480363509187,-0.0009506285477369758,2.01148831763962,1.215150061392613,0.001341672617118428,0.00135016679028394,0.001341692843238776,8.473947045171963e-06,-0.001350166790283948
1e-12,0.040007,0.0004396811831784883,1.350289828952171,7.572103324764763,-0.001327662444730926,2.01161388643097,1.215260841073076,0.001341786871283405,0.001350289878790949,0.001341815119413518,8.474759377448615e-06,-0.001350289878790966
1e-12,0.040009,0.0005651853448201478,1.35041284810995,7.571726498161971,-0.001704482596149859,2.011739384236875,1.215371558318281,0.001341901061163039,0.001350412897916691,0.001341937326746042,8.47557117066874e-06,-0.00135041289791671
1e-12,0.040011000000000005,0.0006906002571440237,1.350535778467763,7.571349943255086,-0.002081029448752325,2.011864791239787,1.215482195644302,0.00134201516871058,0.001350535828234616,0.001342059445929655,8.476382304970123e-06,-0.001350535828234625
1e-12,0.04001300000000001,0.0008159061156818876,1.350658600612964,7.570973719497451,-0.00245724355048349,2.011990087636501,1.215592735579759,0.001342129175909863,0.001350658650332053,0.001342181457688134,8.477192643938018e-06,-0.001350658650332071
1e-12,0.04001500000000001,0.0009410831331855178,1.350781295149869,7.570597886293083,-0.002833065498873744,2.012115253641277,1.215703160668533,0.001342243064759672,0.001350781344813359,0.001342303342745461,8.478002067902282e-06,-0.001350781344813363
1e-12,0.04001700000000001,0.001066111542753036,1.350903842702875,7.57022250298724,-0.003208435950456057,2.012240269488965,1.215813453472585,0.001342356817276594,0.001350903892302908,0.001342425081862237,8.478810440661782e-06,-0.001350903892302899
1e-12,0.04001900000000001,0.001190971600949479,1.351026223919487,7.56984762894105,-0.003583295546151888,2.012365115438127,1.215923596574662,0.001342470415472409,0.001351026273448246,0.001342546655805663,8.479617642585525e-06,-0.001351026273448248
1e-12,0.040021000000000015,0.001315643590923668,1.351148419473361,7.569473323261386,-0.003957585181386669,2.012489771774154,1.216033572581061,0.001342583841435944,0.001351148468923007,0.001342668045384498,8.480423538529013e-06,-0.001351148468923027
1e-12,0.04002300000000002,0.001440107825523426,1.351270410067364,7.569099645012019,-0.004331245794941374,2.012614218812378,1.216143364124354,0.001342697077269085,0.001351270459430105,0.001342789231421399,8.481228008712055e-06,-0.001351270459430111
1e-12,0.04002500000000002,0.001564344650403554,1.351392176436702,7.568726653350203,-0.004704218232365776,2.012738436901184,1.216252953866229,0.001342810105045393,0.001351392225704728,0.001342910194786604,8.482030918142632e-06,-0.001351392225704747
1e-12,0.04002700000000002,0.001688334447128644,1.351513699351819,7.568354407115493,-0.005076443657154428,2.012862406425107,1.216362324500082,0.001342922906934699,0.001351513748517366,0.001343030916368925,8.4828321484244e-06,-0.001351513748517349
1e-12,0.04002900000000002,0.001812057636272738,1.351634959621538,7.567982965054425,-0.005447863326077496,2.012986107807937,1.216471458753855,0.001343035465135023,0.001351635008676822,0.001343151377112558,8.483631564270592e-06,-0.001351635008676828
1e-12,0.040031000000000025,0.001935494680510305,1.351755938096063,7.567612385875573,-0.00581841853411369,2.013109521515805,1.216580339392728,0.001343147761855887,0.001351755987033356,0.001343271557985358,8.484429048004487e-06,-0.001351755987033362
1e-12,0.04003300000000003,0.002058626087700573,1.351876615670015,7.56724272809205,-0.006188050771953613,2.013232628060268,1.216688949221858,0.001343259779366046,0.001351876664481571,0.001343391440016299,8.485224465267948e-06,-0.001351876664481567
1e-12,0.04003500000000003,0.002181432413967242,1.351996973285404,7.56687405004669,-0.006556701700816348,2.01335540800139,1.216797271089051,0.001343371499985852,0.001351997021963531,0.001343511004265063,8.486017698478311e-06,-0.001351997021963541
1e-12,0.04003700000000003,0.002303894266767502,1.352116991934731,7.566506410037529,-0.006924313026966722,2.013477841950809,1.216905287887558,0.001343482906049234,0.001352117040471723,0.001343630231857611,8.486808614131188e-06,-0.001352117040471743
1e-12,0.04003900000000003,0.002425992307955727,1.352236652663874,7.566139866064136,-0.00729082675538173,2.013599910574798,1.217012982558665,0.001343593979980565,0.001352236701052085,0.001343749103956185,8.487597095905597e-06,-0.001352236701052091
1e-12,0.040041000000000035,0.002547707256835805,1.352355936575171,7.565774475960422,-0.007656185056941212,2.013721594597319,1.217120338094477,0.001343704704254417,0.001352355984806941,0.001343867601796772,8.48838301018638e-06,-0.001352355984806959
1e-12,0.04004300000000004,0.002669019893205793,1.352474824830391,7.565410297541076,-0.00802033012199832,2.01384287480307,1.217227337540579,0.001343815061351189,0.001352474872898122,0.001343985706656627,8.48916624151878e-06,-0.001352474872898146
1e-12,0.04004500000000004,0.002789911060394383,1.35259329865369,7.565047388309475,-0.008383204452461435,2.013963732040512,1.217333963998713,0.001343925033845614,0.001352593346549771,0.001344103399891852,8.489946657914108e-06,-0.001352593346549766
1e-12,0.04004700000000004,0.002910361668285134,1.352711339334558,7.564685805557033,-0.00874475076244341,2.014084147224901,1.217440200629414,0.001344034604376657,0.001352711387051442,0.001344220662907379,8.49072414406433e-06,-0.001352711387051443
1e-12,0.04004900000000004,0.003030352696330206,1.352828928230807,7.5643256063046,-0.009104912036868917,2.014204101341295,1.217546030654713,0.001344143755665273,0.001352828975760945,0.001344337477191712,8.491498569223858e-06,-0.001352828975760936
1e-12,0.040051000000000045,0.003149865196555565,1.352946046771543,7.563966847577134,-0.009463631256791949,2.014323575447564,1.217651437360799,0.001344252470431172,0.001352946094107441,0.001344453824289034,8.492269818418941e-06,-0.001352946094107453
1e-12,0.04005300000000005,0.00326888029655199,1.353062676460022,7.563609585902705,-0.00982085190040305,2.014442550677375,1.217756404100603,0.001344360731544635,0.001353062723594189,0.001344569685831413,8.493037762775095e-06,-0.001353062723594188
1e-12,0.04005500000000005,0.003387379202455795,1.353178798876643,7.563253877781251,-0.01017651747426029,2.014561008243174,1.217860914296478,0.001344468521884469,0.001353178845801652,0.001344685043514063,8.493802287598018e-06,-0.001353178845801661
1e-12,0.04005700000000005,0.003505343201915517,1.353294395681853,7.562899779439755,-0.01053057175811833,2.014678929439151,1.217964951442825,0.001344575824412195,0.001353294442390276,0.001344799879124659,8.494563265623117e-06,-0.001353294442390282
1e-12,0.04005900000000005,0.003622753667048429,1.353409448618957,7.562547346702556,-0.01088295893461133,2.014796295644196,1.218068499108614,0.001344682622211347,0.001353409495103435,0.001344914174520312,8.49532058312063e-06,-0.001353409495103433
1e-12,0.040061000000000055,0.003739592057381284,1.353523939517134,7.562196635268156,-0.01123362331245126,2.014913088324839,1.218171540940103,0.001344788898403589,0.001353523985770304,0.001345027911657009,8.496074113324606e-06,-0.001353523985770334
