Rload,time,V(nload),V(pload),V(ctrl),I(RP),Id(MN),I(RN),Id(MP)
100,0.0,4.999999998999018,4.90711451001709,0.0,0.0490711451001709,1.000977079002041e-11,1.00098151989414e-11,-0.04907114510016797
100,4.999999980020986e-12,4.999999998999018,4.90711451001699,0.0,0.0490711451001699,1.000977079002041e-11,1.00098151989414e-11,-0.04907114510016797
100,9.999999960041972e-12,4.999999998999018,4.90711451001699,0.0,0.0490711451001699,1.000977079002041e-11,1.00098151989414e-11,-0.04907114510016797
100,1.999999992008394e-11,4.999999998999022,4.90711451001699,0.0,0.0490711451001699,1.000977079002041e-11,1.000977967180461e-11,-0.04907114510016797
100,3.999999984016789e-11,4.999999998999024,4.90711451001699,0.0,0.0490711451001699,1.000977079002041e-11,1.000976190823621e-11,-0.04907114510016797
100,7.999999968033578e-11,4.999999998999016,4.907114510016988,0.0,0.04907114510016988,1.000088900582341e-11,1.000984184429399e-11,-0.04907114510016797
100,1.599999993606716e-10,4.999999998999015,4.907114510016984,0.0,0.04907114510016984,1.001865257421741e-11,1.000985072607818e-11,-0.04907114510016797
100,3.199999987213431e-10,4.999999998999009,4.907114510016985,0.0,0.04907114510016986,1.000977079002041e-11,1.000991289856756e-11,-0.04907114510016797
100,6.399999974426862e-10,4.999999998999003,4.907114510016987,0.0,0.04907114510016987,1.000977079002041e-11,1.000996618927274e-11,-0.04907114510016797
100,1.279999994885372e-09,4.999999998999002,4.907114510016992,0.0,0.04907114510016992,1.000977079002041e-11,1.000997507105694e-11,-0.04907114510016797
100,2.559999989770745e-09,4.999999998998996,4.907114510017,0.0,0.04907114510017,1.000977079002041e-11,1.001003724354632e-11,-0.04907114510016797
100,5.11999997954149e-09,4.999999998998963,4.907114510016999,0.0,0.04907114510016999,1.000977079002041e-11,1.001036586956161e-11,-0.04907114510016797
100,1.023999995908298e-08,4.999999998998905,4.907114510017004,0.0,0.04907114510017004,1.000977079002041e-11,1.001095206731861e-11,-0.04907114510016797
100,2.047999991816596e-08,4.99999999899883,4.907114510016995,0.0,0.04907114510016995,1.000088900582341e-11,1.001169813719116e-11,-0.04907114510016797
100,4.095999983633192e-08,4.99999999899878,4.907114510016993,0.0,0.04907114510016993,1.000977079002041e-11,1.001220439889039e-11,-0.04907114510016797
100,8.191999967266383e-08,4.999999998999127,4.907114510017002,0.0,0.04907114510017002,1.001865257421741e-11,1.000873162126936e-11,-0.04907114510016797
100,1.638399993453277e-07,4.999999998999248,4.907114510016989,0.0,0.04907114510016989,1.000977079002041e-11,1.000752369861857e-11,-0.04907114510016797
100,3.276799986906553e-07,4.999999998998695,4.907114510017004,0.0,0.04907114510017004,1.000977079002041e-11,1.001304816838911e-11,-0.04907114510016797
100,6.553599973813107e-07,4.999999998999023,4.907114510017006,0.0,0.04907114510017006,1.000977079002041e-11,1.000977079002041e-11,-0.04907114510016797
100,1.155359997381311e-06,4.999999998998912,4.907114510017,0.0,0.04907114510017,1.000977079002041e-11,1.001088101304504e-11,-0.04907114510016797
100,1.655359997381311e-06,4.999999998999087,4.907114510016989,0.0,0.04907114510016989,1.000088900582341e-11,1.000913130155823e-11,-0.04907114510016797
100,2.155359997381311e-06,4.999999998998971,4.90711451001699,0.0,0.0490711451001699,1.000977079002041e-11,1.001028593350384e-11,-0.04907114510016797
100,2.655359997381311e-06,4.999999998999054,4.907114510016986,0.0,0.04907114510016986,1.000088900582341e-11,1.000945992757352e-11,-0.04907114510016797
100,3.155359997381311e-06,4.999999998999001,4.907114510016999,0.0,0.04907114510016999,1.000977079002041e-11,1.000999283462534e-11,-0.04907114510016797
100,3.655359997381312e-06,4.999999998999034,4.907114510016992,0.0,0.04907114510016992,1.000977079002041e-11,1.000965532682585e-11,-0.04907114510016797
