case,frequency_real,frequency_imag,v(sum)_real,v(sum)_imag,v(vn)_real,v(vn)_imag,v(x)_real,v(x)_imag,v(in)_real,v(in)_imag,v(out)_real,v(out)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(ri)_real,i(ri)_imag,i(rf)_real,i(rf)_imag,i(vn)_real,i(vn)_imag,i(ci)_real,i(ci)_imag,i(cf)_real,i(cf)_imag
1,1.467799267622069,0.0,-1.35631471009092e-10,9.242584639750169e-10,0.0,0.0,-5.056927467849757e-11,9.223379051142287e-06,1.0,0.0,-1.714723190480567e-08,-0.0009222445547600527,0.0,0.0,4.244518873377898e-14,4.606606578712421e-09,-8.50621963305944e-14,-9.222454792678313e-09,8.506219633059439e-14,9.222454792678313e-09,-1.701160043379658e-13,-9.222454790185167e-09,4.244518873377898e-14,4.606606578712421e-09,8.50621963305944e-14,9.222454792678313e-09,8.505367237570114e-14,-1.56888715943862e-18
1,1.525222956539018,0.0,-1.464514936241596e-10,9.604177934759525e-10,0.0,0.0,-5.460344677096667e-11,9.58421888901572e-06,1.0,0.0,-1.851515511360056e-08,-0.000958324886432357,0.0,0.0,4.583126055568575e-14,4.786827640959205e-09,-9.184804685319292e-14,-9.583258471222244e-09,9.184804685319291e-14,9.583258471222244e-09,-1.83687036199764e-13,-9.583258468501505e-09,4.583126055568575e-14,4.786827640959205e-09,9.184804685319292e-14,9.583258471222244e-09,9.183884289516464e-14,-1.760320345618976e-18
1,1.584893192461112,0.0,-1.581346852994967e-10,9.979917847601896e-10,0.0,0.0,-5.895944559633945e-11,9.9591756126925e-06,1.0,0.0,-1.99922046184905e-08,-0.0009958167638016789,0.0,0.0,4.948745680774607e-14,4.974099366353825e-09,-9.917523970315726e-14,-9.958177620907739e-09,9.917523970315724e-14,9.95817762090774e-09,-1.983406993319101e-13,-9.958177617934636e-09,4.948745680774607e-14,4.974099366353825e-09,9.917523970315726e-14,9.95817762090774e-09,9.916530149409428e-14,-1.975111913285766e-18
1,1.646897865482867,0.0,-1.707499054869631e-10,1.037035785768295e-09,0.0,0.0,-6.366294493437003e-11,1.034880150727191e-05,1.0,0.0,-2.158708598739754e-08,-0.001034775409787514,0.0,0.0,5.343532670938213e-14,5.168697593086487e-09,-1.07086960552593e-13,-1.034776447148614e-08,1.07086960552593e-13,1.034776447148614e-08,-2.141633608191058e-13,-1.034776446823299e-08,5.343532670938213e-14,5.168697593086487e-09,1.07086960552593e-13,1.034776447148614e-08,1.070762295168712e-13,-2.216112016036925e-18
1,1.71132830416178,0.0,-1.843715069123623e-10,1.077607310159562e-09,0.0,0.0,-6.874166669474267e-11,1.075367046451916e-05,1.0,0.0,-2.330919927649115e-08,-0.001075258207757177,0.0,0.0,5.769813857375271e-14,5.370908950784317e-09,-1.156298402176196e-13,-1.0752592857209e-08,1.156298402176196e-13,1.0752592857209e-08,-2.312482776957878e-13,-1.075259285364488e-08,5.769813857375271e-14,5.370908950784317e-09,1.156298402176196e-13,1.0752592857209e-08,1.156182531066307e-13,-2.486518578822685e-18
1,1.778279410038921,0.0,-1.990797738022604e-10,1.119766122086255e-09,0.0,0.0,-7.422554430696649e-11,1.117437882816796e-05,1.0,0.0,-2.516869443275942e-08,-0.001117324786047497,0.0,0.0,6.230101694673842e-14,5.581031282659027e-09,-1.248542294952939e-13,-1.117325906204588e-08,1.248542294952939e-13,1.117325906204588e-08,-2.496961465895716e-13,-1.117325905813619e-08,6.230101694673842e-14,5.581031282659027e-09,1.248542294952939e-13,1.117325906204588e-08,1.248417180146399e-13,-2.789919732432783e-18
1,1.847849797422289,0.0,-2.149613950704212e-10,1.163574324290071e-09,0.0,0.0,-8.014689914472479e-11,1.161154627229333e-05,1.0,0.0,-2.717653111701904e-08,-0.001161037105793188,0.0,0.0,6.727109068919875e-14,5.799374084242879e-09,-1.348144959256964e-13,-1.161038269796904e-08,1.348144959256964e-13,1.161038269796904e-08,-2.696156972194862e-13,-1.161038269367513e-08,6.727109068919875e-14,5.799374084242879e-09,1.348144959256964e-13,1.161038269796904e-08,1.34800986332641e-13,-3.130341425847094e-18
1,1.9201419386388,0.0,-2.321099752527662e-10,1.209096449651487e-09,0.0,0.0,-8.654063102450608e-11,1.206581671404837e-05,1.0,0.0,-2.934454329877544e-08,-0.001206459552191282,0.0,0.0,7.263765287176297e-14,6.02625895926859e-09,-1.455693442282601e-13,-1.206460761759871e-08,1.455693442282601e-13,1.206460761759871e-08,-2.911243332352268e-13,-1.206460761287732e-08,7.263765287176297e-14,6.02625895926859e-09,1.455693442282601e-13,1.206460761759871e-08,1.455547568970627e-13,-3.512300848114105e-18
1,1.995262314968878,0.0,-2.506265862022519e-10,1.256399556327845e-09,0.0,0.0,-9.344442390129193e-11,1.253785926210938e-05,1.0,0.0,-3.168550900428983e-08,-0.001253659029336023,0.0,0.0,7.843233342431214e-14,6.262020093303054e-09,-1.5718216230096e-13,-1.253660286255305e-08,1.5718216230096e-13,1.253660286255305e-08,-3.143488241808758e-13,-1.253660285735579e-08,7.843233342431214e-14,6.262020093303054e-09,1.5718216230096e-13,1.253660286255305e-08,1.571664112535311e-13,-3.940866368697902e-18
1,2.073321573485953,0.0,-2.706203627952978e-10,1.305553326621442e-09,0.0,0.0,-1.008989679736525e-10,1.302836920222644e-05,1.0,0.0,-3.421322562918094e-08,-0.001302705058763927,0.0,0.0,8.468928555965065e-14,6.507004746063219e-09,-1.697213948216453e-13,-1.302706364889982e-08,1.697213948216453e-13,1.302706364889982e-08,-3.394260526638564e-13,-1.302706364317254e-08,8.468928555965065e-14,6.507004746063219e-09,1.697213948216453e-13,1.302706364889982e-08,1.697043872207544e-13,-4.42172479170073e-18
