case,frequency_real,frequency_imag,v(c1)_real,v(c1)_imag,v(tail)_real,v(tail)_imag,v(vas)_real,v(vas)_imag,v(vn)_real,v(vn)_imag,v(fb)_real,v(fb)_imag,v(in)_real,v(in)_imag,v(out)_real,v(out)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,ic(q2)_real,ic(q2)_imag,ib(q2)_real,ib(q2)_imag,i(it)_real,i(it)_imag,ic(q3)_real,ic(q3)_imag,ib(q3)_real,ib(q3)_imag,i(io)_real,i(io)_imag,i(rg)_real,i(rg)_imag,i(rl)_real,i(rl)_imag,i(vn)_real,i(vn)_imag,ic(q1)_real,ic(q1)_imag,ib(q1)_real,ib(q1)_imag,i(rc)_real,i(rc)_imag,i(ivas)_real,i(ivas)_imag,ic(q4)_real,ic(q4)_imag,ib(q4)_real,ib(q4)_imag,i(rf)_real,i(rf)_imag,i(cc)_real,i(cc)_imag
1,14.67799267622069,0.0,-0.002675459967568543,-2.428390184995964e-06,0.9996462910761964,-2.409567063557371e-06,10.02566885986464,-5.570781919930608e-05,0.0,0.0,0.9997365260918081,-5.156635012842823e-06,1.0,0.0,9.99753891229441,-5.554970806697366e-05,0.0,0.0,-0.001999403707608624,1.145069612877297e-08,-8.670971267561832e-08,-7.390903092349272e-10,-5.051858047372737e-06,-9.87822757133305e-08,1.92945973701362e-08,-4.425953265050616e-10,0.0,0.0,-1.297158240712513e-05,-9.398778841175106e-08,-6.305952337452555e-07,-2.083070237318047e-09,0.0,0.0,0.0009997365260918081,-5.156635012842823e-09,0.000999753891229441,-5.554970806697366e-09,0.0,0.0,4.945853737311719e-06,9.848578073060072e-08,8.670971267564433e-08,7.390903092349337e-10,4.315258012207328e-06,3.916758362896716e-09,0.0,0.0,0.001986538130003048,-1.265603742740891e-08,1.297158191575828e-05,1.501836281363129e-09,0.0009997558206891778,-5.599230339347871e-09,-4.913671254393403e-13,-9.248595213038795e-08
1,15.25222956539018,0.0,-0.002675459968599945,-2.523394403639315e-06,0.9996462910751893,-2.503834878324905e-06,10.02566885984616,-5.788723742794511e-05,0.0,0.0,0.9997365260896524,-5.358374454573359e-06,1.0,0.0,9.997538912275978,-5.772294062385406e-05,0.0,0.0,-0.001999403707604865,1.189867374183585e-08,-8.670971239873049e-08,-7.680052248762761e-10,-5.0518580886758e-06,-1.026468659171443e-07,1.929459771742056e-08,-4.599106753468167e-10,0.0,0.0,-1.297158244699824e-05,-9.766480722662099e-08,-6.305952341365881e-07,-2.164564744051356e-09,0.0,0.0,0.0009997365260896523,-5.358374454573359e-09,0.000999753891227598,-5.772294062385406e-09,0.0,0.0,4.945853778564194e-06,1.023387713676161e-07,8.670971239875688e-08,7.68005224876278e-10,4.315258013870879e-06,4.069990973611798e-09,0.0,0.0,0.001986538129998619,-1.315117076897651e-08,1.297158191643265e-05,1.56059157667037e-09,0.0009997558206873696,-5.818285129920078e-09,-5.305660176331263e-13,-9.610421564995061e-08
1,15.84893192461113,0.0,-0.002675459969713637,-2.622115406189511e-06,0.9996462910741017,-2.60179066718306e-06,10.02566885982618,-6.015191951870609e-05,0.0,0.0,0.9997365260873234,-5.568006408037856e-06,1.0,0.0,9.997538912256063,-5.998119504512643e-05,0.0,0.0,-0.001999403707600774,1.236417727119675e-08,-8.670971209983684e-08,-7.980513586329178e-10,-5.051858133312279e-06,-1.066626477930968e-07,1.929459809218097e-08,-4.779034405272956e-10,0.0,0.0,-1.297158249005275e-05,-1.01485679488753e-07,-6.305952345591627e-07,-2.249247503637841e-09,0.0,0.0,0.0009997365260873234,-5.568006408037856e-09,0.0009997538912256063,-5.998119504512644e-09,0.0,0.0,4.945853823113769e-06,1.063424998749827e-07,8.670971209981778e-08,7.980513586329207e-10,4.315258015667156e-06,4.229218397079857e-09,0.0,0.0,0.001986538129993892,-1.366567486757165e-08,1.29715819171608e-05,1.621645514492174e-09,0.0009997558206854156,-6.045909848565398e-09,-5.728920078146912e-13,-9.986403397426084e-08
1,16.46897865482867,0.0,-0.002675459970916175,-2.724698601795791e-06,0.9996462910729274,-2.703578712174588e-06,10.02566885980463,-6.250520119028855e-05,0.0,0.0,0.9997365260848092,-5.785839646477434e-06,1.0,0.0,9.997538912234562,-6.232779758198169e-05,0.0,0.0,-0.001999403707596728,1.284789237104676e-08,-8.670971177702125e-08,-8.292729663636656e-10,-5.051858181489839e-06,-1.108355363076942e-07,1.929459849695514e-08,-4.966001241341865e-10,0.0,0.0,-1.297158253654194e-05,-1.054560330764163e-07,-6.305952350154475e-07,-2.337243247874343e-09,0.0,0.0,0.0009997365260848092,-5.785839646477434e-09,0.0009997538912234563,-6.232779758198169e-09,0.0,0.0,4.945853871219671e-06,1.105028634654572e-07,8.670971177704232e-08,8.292729663636844e-10,4.315258017606734e-06,4.394675164186759e-09,0.0,0.0,0.001986538129989,-1.420030755182989e-08,1.297158191794793e-05,1.685088023019412e-09,0.0009997558206833058,-6.282439770611584e-09,-6.185945607334092e-13,-1.037709450533969e-07
1,17.11328304161779,0.0,-0.002675459972214645,-2.831295088348285e-06,0.9996462910716595,-2.809348939988528e-06,10.02566885978135,-6.495054866242962e-05,0.0,0.0,0.9997365260820947,-6.01219502305506e-06,1.0,0.0,9.997538912211352,-6.47662046162574e-05,0.0,0.0,-0.001999403707591736,1.33505315199901e-08,-8.670971142846161e-08,-8.617160353185852e-10,-5.051858233507877e-06,-1.151716778345922e-07,1.92945989340377e-08,-5.160282650781255e-10,0.0,0.0,-1.297158258673973e-05,-1.095817160434431e-07,-6.305952355081191e-07,-2.428681588352879e-09,0.0,0.0,0.0009997365260820948,-6.01219502305506e-09,0.0009997538912211352,-6.476620461625741e-09,0.0,0.0,4.945853923154764e-06,1.148259900643612e-07,8.670971142847132e-08,8.617160353186006e-10,4.315258019701039e-06,4.566604981206911e-09,0.0,0.0,0.001986538129983394,-1.475585629840188e-08,1.297158191879665e-05,1.751012548640838e-09,0.0009997558206810287,-6.528223288133594e-09,-6.679430422299063e-13,-1.078307034948022e-07
1,17.78279410038921,0.0,-0.002675459973616701,-2.942061875034689e-06,0.9996462910702906,-2.919257142790999e-06,10.02566885975622,-6.749156376134745e-05,0.0,0.0,0.9997365260791637,-6.247405943449045e-06,1.0,0.0,9.997538912186291,-6.730000775139102e-05,0.0,0.0,-0.001999403707586782,1.387283507046172e-08,-8.670971105204911e-08,-8.954283518748196e-10,-5.051858289677774e-06,-1.196774592077736e-07,1.92945994059765e-08,-5.362164796555823e-10,0.0,0.0,-1.297158264094207e-05,-1.138688052330041e-07,-6.305952360400998e-07,-2.523697207369629e-09,0.0,0.0,0.0009997365260791637,-6.247405943449045e-09,0.0009997538912186292,-6.730000775139102e-09,0.0,0.0,4.945853979228298e-06,1.193182473355559e-07,8.670971105206089e-08,8.954283518748239e-10,4.31525802196242e-06,4.745261088765627e-09,0.0,0.0,0.001986538129977619,-1.533313939182741e-08,1.297158191971345e-05,1.81951619358334e-09,0.00099975582067857,-6.783622423104664e-09,-7.21228306848258e-13,-1.120492890394207e-07
1,18.47849797422289,0.0,-0.002675459975130601,-3.057162113603827e-06,0.9996462910688124,-3.033465207696661e-06,10.02566885972907,-7.013198922500249e-05,0.0,0.0,0.9997365260759984,-6.491818856933996e-06,1.0,0.0,9.997538912159223,-6.993293910262343e-05,0.0,0.0,-0.001999403707581409,1.441557233911795e-08,-8.67097106456039e-08,-9.304595719227045e-10,-5.051858350346831e-06,-1.243595171288079e-07,1.929459991545666e-08,-5.571945036980007e-10,0.0,0.0,-1.297158269946829e-05,-1.183236152283746e-07,-6.30595236614522e-07,-2.622430056302472e-09,0.0,0.0,0.0009997365260759985,-6.491818856933997e-09,0.0009997538912159224,-6.993293910262344e-09,0.0,0.0,4.945854039776796e-06,1.239862520605861e-07,8.6709710645635e-08,9.304595719227272e-10,4.315258024404195e-06,4.930906634844882e-09,0.0,0.0,0.001986538129971261,-1.59330071298322e-08,1.297158192070397e-05,1.890699858936508e-09,0.000999755820675914,-7.04901336063216e-09,-7.787644121010321e-13,-1.16432915369438e-07
1,19.201419386388,0.0,-0.002675459976765259,-3.176765338676815e-06,0.999646291067216,-3.152141355216964e-06,10.02566885969977,-7.287571421587574e-05,0.0,0.0,0.9997365260725806,-6.745793766679551e-06,1.0,0.0,9.997538912129999,-7.266887679413097e-05,0.0,0.0,-0.001999403707575325,1.497954274009864e-08,-8.670971020687364e-08,-9.668612940053875e-10,-5.051858415842438e-06,-1.292247479423679e-07,1.929460046565792e-08,-5.789932363712896e-10,0.0,0.0,-1.297158276266291e-05,-1.22952707653875e-07,-6.305952372347585e-07,-2.725025561749476e-09,0.0,0.0,0.0009997365260725807,-6.745793766679551e-09,0.0009997538912129998,-7.266887679413097e-09,0.0,0.0,4.945854105168626e-06,1.288368798847311e-07,8.670971020686431e-08,9.668612940053842e-10,4.315258027040741e-06,5.12381506238196e-09,0.0,0.0,0.001986538129964318,-1.655634307573787e-08,1.297158192177213e-05,1.964668393273102e-09,0.0009997558206730466,-7.324787003050158e-09,-8.408904694897063e-13,-1.209880392606019e-07
1,19.95262314968878,0.0,-0.002675459978530352,-3.301047717459702e-06,0.9996462910654927,-3.275460387037627e-06,10.02566885966812,-7.572678004947354e-05,0.0,0.0,0.9997365260688911,-7.00970476000853e-06,1.0,0.0,9.997538912098447,-7.551185067127126e-05,0.0,0.0,-0.001999403707568993,1.556557696245611e-08,-8.670970973299006e-08,-1.004687135319982e-09,-5.051858486543869e-06,-1.342803177939999e-07,1.929460105986762e-08,-6.016447856880155e-10,0.0,0.0,-1.297158283090001e-05,-1.277629008396855e-07,-6.305952379044854e-07,-2.831634839732533e-09,0.0,0.0,0.0009997365260688911,-7.00970476000853e-09,0.0009997538912098448,-7.551185067127126e-09,0.0,0.0,4.945854175758519e-06,1.33877275444366e-07,8.670970973297902e-08,1.004687135319976e-09,4.315258029887665e-06,5.324270512031778e-09,0.0,0.0,0.001986538129956924,-1.720406535990621e-08,1.297158192292702e-05,2.041530747083548e-09,0.0009997558206699506,-7.61134954569586e-09,-9.07972643191181e-13,-1.257213700926019e-07
1,20.73321573485953,0.0,-0.002675459980436237,-3.430192309225484e-06,0.9996462910636315,-3.403603943488616e-06,10.02566885963395,-7.868938614685338e-05,0.0,0.0,0.9997365260649058,-7.283940559401395e-06,1.0,0.0,9.99753891206437,-7.846604823621444e-05,0.0,0.0,-0.001999403707562116,1.617453819371738e-08,-8.670970922144312e-08,-1.043992810691789e-09,-5.051858562918134e-06,-1.395336731853787e-07,1.929460170128417e-08,-6.251825158000704e-10,0.0,0.0,-1.297158290458004e-05,-1.327612798647706e-07,-6.305952386276381e-07,-2.942414918280112e-09,0.0,0.0,0.0009997365260649058,-7.283940559401395e-09,0.000999753891206437,-7.846604823621445e-09,0.0,0.0,4.945854252001233e-06,1.391148628904844e-07,8.670970922141771e-08,1.043992810691756e-09,4.315258032961673e-06,5.532568240686264e-09,0.0,0.0,0.001986538129948939,-1.787712803207589e-08,1.297158192417342e-05,2.121400133252429e-09,0.0009997558206666071,-7.90912307520145e-09,-9.804063081887455e-13,-1.306398797315181e-07
