Rref_ohm,Vout_V,Ic_Q2_A,I_RREF_A,Vbase_V,Ic_Q1_A
2200,0.0,-0.0009778265442820892,0.001975209620091265,0.6545388357992181,0.0009778265436275475
2200,0.01,-0.0004189118731993575,0.001973189446281286,0.6589832181811721,0.001161145836773921
2200,0.02,9.783466191126472e-05,0.001971586197043286,0.6625103665047712,0.001330793218908411
2200,0.03,0.0005446052415247921,0.001970356293770531,0.6652161537048323,0.00147755290357211
2200,0.04,0.0009089772537539712,0.001969440236732172,0.6672314791892221,0.001597283710730956
2200,0.05,0.00119224813366494,0.001968774258677453,0.6686966309096035,0.001690375548287878
2200,0.06,0.001404377204022987,0.001968299163138457,0.6697418410953951,0.001760083075204464
2200,0.07,0.001558825552892721,0.001967965027517452,0.6704769394616051,0.001810823372882375
2200,0.08,0.001668997930136407,0.001967732458920482,0.6709885903749393,0.00184700105681662
2200,0.09,0.001746453673580549,0.00196757178229638,0.671342078947963,0.001872416746060105
2200,0.1,0.001800363896567374,0.001967461353316525,0.6715850227036457,0.001890086796276131
2200,0.11,0.001837634547981564,0.001967385734103053,0.6717513849732837,0.001902282934148917
2200,0.12,0.001863292190172298,0.001967334081912573,0.671865019792339,0.001910658790236898
2200,0.13,0.001880914049237937,0.001967298861493356,0.6719425047146182,0.001916391227727546
2200,0.14,0.001893007872177685,0.001967274873926522,0.6719952773616514,0.001920305260743711
2200,0.15,0.001901313949749388,0.001967258549920787,0.6720311901742685,0.001922973406417211
2200,0.16,0.001907031752495334,0.001967247447239808,0.6720556160724224,0.001924790248622108
2200,0.17,0.001910984181324325,0.001967239898648207,0.6720722229739449,0.001926026479985122
2200,0.18,0.001913734022823652,0.001967234767754238,0.6720835109406771,0.001926867218712628
2200,0.19,0.001915665352362147,0.001967231280812548,0.6720911822123946,0.001927438791925362
2200,0.2,0.00191703990539174,0.001967228911376327,0.67209639497208,0.001927827282396718
2200,0.21,0.001918035871897104,0.001967227301433371,0.6720999368465843,0.001928091291763188
2200,0.22,0.0019187744833058,0.001967226207586002,0.6721023433107967,0.00192827068705494
2200,0.23,0.001919338182091948,0.001967225464439599,0.6721039782328819,0.001928392577773094
2200,0.24,0.001919783015414701,0.001967224959557186,0.6721050889741895,0.001928475392660513
2200,0.25,0.001920147078075261,0.001967224616553872,0.6721058435814813,0.001928531656760741
2200,0.26,0.001920456259138165,0.00196722438352963,0.6721063562348124,0.001928569881477805
2200,0.27,0.001920728151009931,0.001967224225222562,0.6721067045103627,0.001928595850186512
2200,0.28,0.001920974707484997,0.001967224117675862,0.6721069411131034,0.001928613492348508
2200,0.29,0.001921204050639409,0.001967224044613746,0.6721071018497591,0.001928625477682335
2200,0.3,0.001921421698899109,0.00196722399497894,0.6721072110463324,0.001928633619968664
2200,0.31,0.001921631401601374,0.001967223961259549,0.6721072852289929,0.00192863915144719
2200,0.32,0.001921835706090993,0.001967223938352311,0.6721073356249148,0.001928642909260593
2200,0.33,0.001922036343048435,0.001967223922790307,0.6721073698613235,0.001928645462130581
2200,0.34,0.001922234488300125,0.001967223912218279,0.6721073931197865,0.001928647196421581
2200,0.35,0.001922430940700443,0.001967223905036181,0.6721074089204032,0.001928648374611469
2200,0.36,0.001922626242988269,0.001967223900157023,0.6721074196545493,0.001928649175014964
2200,0.37,0.001922820763897481,0.001967223896842363,0.6721074269468011,0.001928649718769997
2200,0.38,0.001923014753943713,0.00196722389459054,0.6721074319008122,0.001928650088171543
2200,0.39,0.001923208383325578,0.001967223893060752,0.6721074352663464,0.001928650339126503
2200,0.4,0.001923401767674841,0.001967223892021475,0.6721074375527533,0.001928650509615099
2200,0.41,0.001923594985550837,0.001967223891315428,0.6721074391060584,0.001928650625439111
2200,0.42,0.001923788090326253,0.001967223890835757,0.6721074401613334,0.00192865070412694
2200,0.43,0.001923981118261973,0.001967223890509876,0.672107440878273,0.001928650757586376
2200,0.44,0.001924174093993466,0.00196722389028847,0.6721074413653652,0.001928650793906999
2200,0.45,0.001924367034257762,0.00196722389013804,0.6721074416963122,0.001928650818584413
2200,0.46,0.001924559950426014,0.001967223890035827,0.6721074419211814,0.001928650835352092
2200,0.47,0.00192475285022355,0.001967223889966369,0.6721074420739875,0.001928650846746279
2200,0.48,0.001924945738898917,0.001967223889919165,0.6721074421778378,0.001928650854489969
2200,0.49,0.001925138620018045,0.001967223889887077,0.6721074422484304,0.001928650859753769
2200,0.5,0.001925331496003536,0.001967223889865259,0.672107442296429,0.001928650863332868
2200,0.51,0.001925524368501213,0.001967223889850419,0.6721074423290786,0.001928650865767425
2200,0.52,0.001925717238629307,0.001967223889840318,0.6721074423513006,0.001928650867424445
2200,0.53,0.001925910107147533,0.001967223889833437,0.6721074423664395,0.001928650868553248
2200,0.54,0.001926102974572076,0.001967223889828743,0.6721074423767653,0.001928650869323263
2200,0.55,0.001926295841253487,0.001967223889825535,0.6721074423838223,0.001928650869849449
2200,0.56,0.00192648870743012,0.001967223889823337,0.6721074423886585,0.001928650870210078
2200,0.5700000000000001,0.001926681573263757,0.001967223889821825,0.6721074423919857,0.001928650870458179
2200,0.58,0.001926874438864358,0.001967223889820778,0.6721074423942883,0.001928650870629837
2200,0.59,0.00192706730430669,0.001967223889820049,0.6721074423958939,0.001928650870749611
2200,0.6,0.001927260169641433,0.001967223889819533,0.6721074423970269,0.001928650870834068
2200,0.61,0.001927453034903097,0.001967223889819164,0.6721074423978386,0.001928650870894576
2200,0.62,0.001927645900115134,0.001967223889818895,0.6721074423984317,0.001928650870938809
2200,0.63,0.00192783876529346,0.001967223889818692,0.6721074423988767,0.00192865087097199
2200,0.64,0.001928031630448886,0.001967223889818536,0.6721074423992208,0.001928650870997669
2200,0.65,0.001928224495588709,0.001967223889818411,0.6721074423994965,0.001928650871018218
2200,0.66,0.00192841736071795,0.001967223889818306,0.6721074423997259,0.001928650871035302
2200,0.67,0.001928610225840043,0.001967223889818217,0.6721074423999233,0.00192865087105005
2200,0.68,0.001928803090957223,0.001967223889818137,0.6721074424000993,0.001928650871063174
2200,0.6900000000000001,0.001928995956071138,0.001967223889818063,0.6721074424002612,0.00192865087107524
2200,0.7000000000000001,0.001929188821182734,0.001967223889817994,0.6721074424004125,0.001928650871086532
2200,0.71,0.001929381686292859,0.001967223889817928,0.6721074424005579,0.001928650871097362
2200,0.72,0.001929574551401928,0.001967223889817865,0.6721074424006982,0.001928650871107828
2200,0.73,0.001929767416510264,0.001967223889817802,0.6721074424008352,0.001928650871118049
2200,0.74,0.001929960281618152,0.00196722388981774,0.6721074424009709,0.00192865087112813
2200,0.75,0.001930153146725687,0.00196722388981768,0.6721074424011043,0.001928650871138095
2200,0.76,0.00193034601183302,0.001967223889817619,0.6721074424012372,0.001928650871147988
2200,0.77,0.001930538876940224,0.001967223889817559,0.6721074424013691,0.001928650871157849
2200,0.78,0.001930731742047317,0.0019672238898175,0.6721074424015006,0.001928650871167666
2200,0.79,0.001930924607154332,0.00196722388981744,0.6721074424016321,0.001928650871177466
2200,0.8,0.001931117472261301,0.00196722388981738,0.6721074424017633,0.001928650871187245
2200,0.81,0.001931310337368265,0.001967223889817321,0.6721074424018944,0.001928650871197021
2200,0.8200000000000001,0.00193150320247518,0.001967223889817261,0.6721074424020254,0.001928650871206785
2200,0.8300000000000001,0.001931696067582105,0.001967223889817202,0.6721074424021561,0.00192865087121655
2200,0.84,0.001931888932689004,0.001967223889817142,0.6721074424022869,0.001928650871226297
2200,0.85,0.001932081797795877,0.001967223889817083,0.6721074424024175,0.001928650871236019
2200,0.86,0.00193227466290278,0.001967223889817023,0.6721074424025485,0.001928650871245776
2200,0.87,0.001932467528009686,0.001967223889816964,0.6721074424026792,0.001928650871255543
2200,0.88,0.00193266039311659,0.001967223889816905,0.6721074424028097,0.001928650871265295
2200,0.89,0.001932853258223478,0.001967223889816845,0.6721074424029404,0.001928650871275036
2200,0.9,0.001933046123330388,0.001967223889816786,0.6721074424030713,0.001928650871284779
