case,time,v(in),v(out),v(base),v(vcc),i(vcc),i(rb),ic(q1),ib(q1),i(vin),i(rl)
1,4.095999983633192e-09,0.0,4.99999999949795,5.010002412930703e-09,5.0,-5.020497906293997e-12,-5.010002412930703e-12,5.020499837856081e-12,-5.010001869745944e-12,5.010002079863796e-12,5.020499571628534e-12
1,8.191999967266383e-09,0.0,4.99999999949795,5.010001746796888e-09,5.0,-5.020497906293997e-12,-5.010001746796889e-12,5.020497390991751e-12,-5.010001154371298e-12,5.010001968841494e-12,5.020499571628534e-12
1,1.638399993453277e-08,0.0,4.99999999949795,5.010000414529259e-09,5.0,-5.020497906293997e-12,-5.010000414529259e-12,5.020502407389818e-12,-5.010000037742485e-12,5.010000636573864e-12,5.020499571628534e-12
1,3.276799986906553e-08,0.0,4.99999999949795,5.010000081462351e-09,5.0,-5.020497906293997e-12,-5.010000081462352e-12,5.020497606524897e-12,-5.009999723373537e-12,5.010000081462352e-12,5.020499571628534e-12
1,6.553599973813107e-08,0.0,4.99999999949795,5.0100000259512e-09,5.0,-5.020497906293997e-12,-5.0100000259512e-12,5.020501953333311e-12,-5.009999898225975e-12,5.0100000259512e-12,5.020499571628534e-12
1,1.310719994762621e-07,0.0,4.99999999949795,5.009999998195624e-09,5.0,-5.020497906293997e-12,-5.009999998195625e-12,5.02049791924626e-12,-5.009999977181863e-12,5.009999942684473e-12,5.020499571628534e-12
1,2.621439989525243e-07,0.0,4.999999999497949,5.009999998195624e-09,5.0,-5.020511784081805e-12,-5.009999998195625e-12,5.020502037885825e-12,-5.009999987013655e-12,5.009999970440049e-12,5.020508453412731e-12
1,4.621439989525243e-07,0.0,4.999999999497951,5.010000053706776e-09,5.0,-5.020490967400093e-12,-5.010000053706776e-12,5.020497982143117e-12,-5.010000013485749e-12,5.0100000259512e-12,5.020490689844337e-12
1,6.621439989525243e-07,0.0,4.99999999949795,5.009999984317837e-09,5.0,-5.020497906293997e-12,-5.009999984317836e-12,5.020501993690572e-12,-5.009999963438977e-12,5.009999984317836e-12,5.020499571628534e-12
1,8.621439989525242e-07,0.0,4.999999999497951,5.010000012073412e-09,5.0,-5.020490967400093e-12,-5.010000012073413e-12,5.020497985181797e-12,-5.010000001321002e-12,5.010000012073413e-12,5.020490689844337e-12
1,1.062143998952524e-06,0.0,4.99999999949795,5.009999970440049e-09,5.0,-5.020497906293997e-12,-5.009999970440049e-12,5.020501995078351e-12,-5.009999964826756e-12,5.009999970440049e-12,5.020499571628534e-12
1,1.262143998952524e-06,0.0,4.999999999497951,5.010000012073412e-09,5.0,-5.020490967400093e-12,-5.010000012073413e-12,5.020497985181797e-12,-5.010000001321002e-12,5.010000012073413e-12,5.020490689844337e-12
1,1.462143998952524e-06,0.0,4.99999999949795,5.009999970440049e-09,5.0,-5.020497906293997e-12,-5.009999970440049e-12,5.020501995078351e-12,-5.009999964826756e-12,5.009999970440049e-12,5.020499571628534e-12
1,1.662143998952524e-06,0.0,4.999999999497951,5.010000012073412e-09,5.0,-5.020490967400093e-12,-5.010000012073413e-12,5.020497985181797e-12,-5.010000001321002e-12,5.010000012073413e-12,5.020490689844337e-12
1,1.862143998952524e-06,0.0,4.99999999949795,5.009999970440049e-09,5.0,-5.020497906293997e-12,-5.009999970440049e-12,5.020501995078351e-12,-5.009999964826756e-12,5.009999970440049e-12,5.020499571628534e-12
1,2.062143998952524e-06,0.0,4.999999999497951,5.010000012073412e-09,5.0,-5.020490967400093e-12,-5.010000012073413e-12,5.020497985181797e-12,-5.010000001321002e-12,5.010000012073413e-12,5.020490689844337e-12
1,2.262143998952524e-06,0.0,4.99999999949795,5.009999970440049e-09,5.0,-5.020497906293997e-12,-5.009999970440049e-12,5.020501995078351e-12,-5.009999964826756e-12,5.009999970440049e-12,5.020499571628534e-12
1,2.462143998952524e-06,0.0,4.999999999497951,5.010000012073412e-09,5.0,-5.020490967400093e-12,-5.010000012073413e-12,5.020497985181797e-12,-5.010000001321002e-12,5.010000012073413e-12,5.020490689844337e-12
1,2.662143998952523e-06,0.0,4.99999999949795,5.009999970440049e-09,5.0,-5.020497906293997e-12,-5.009999970440049e-12,5.020501995078351e-12,-5.009999964826756e-12,5.009999970440049e-12,5.020499571628534e-12
