case,frequency_real,frequency_imag,v(inv)_real,v(inv)_imag,v(noninv)_real,v(noninv)_imag,v(sum)_real,v(sum)_imag,v(vn)_real,v(vn)_imag,v(fb)_real,v(fb)_imag,v(in)_real,v(in)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(rf)_real,i(rf)_imag,i(rg)_real,i(rg)_imag,i(vn)_real,i(vn)_imag,i(ri)_real,i(ri)_imag,i(rf2)_real,i(rf2)_imag
1,14.67799267622069,0.0,-0.9999979938394822,2.944327895214285e-06,2.000005989641041,-5.885776161370095e-06,1.003075243533047e-06,1.472156586824208e-06,0.0,0.0,0.9999979948305464,-2.942873366318215e-06,1.0,0.0,0.0,0.0,5.560053147057875e-09,7.352110444052629e-11,-0.0001000008996924756,1.472156586824208e-10,-9.999989969147257e-05,1.472171308390077e-10,9.999979948305464e-05,-2.942873366318215e-10,5.560053147057875e-09,7.352110444052629e-11,9.999989969247565e-05,-1.472156586824208e-10,0.0001000007994810495,-2.94290279505188e-10
1,15.25222956539018,0.0,-0.9999979938387913,3.059516785719111e-06,2.000005989639661,-6.11604128465679e-06,1.003075589034452e-06,1.529750744105835e-06,0.0,0.0,0.999997994829856,-3.058005352301633e-06,1.0,0.0,0.0,0.0,5.560053160935663e-09,7.63974194267249e-11,-0.0001000008996924411,1.529750744105835e-10,-9.999989969143804e-05,1.529766041613276e-10,9.99997994829856e-05,-3.058005352301633e-10,5.560053160935663e-09,7.63974194267249e-11,9.99998996924411e-05,-1.529750744105835e-10,0.0001000007994809805,-3.058035932355157e-10
1,15.84893192461113,0.0,-0.999997993838045,3.179212130996444e-06,2.000005989638169,-6.355314910058834e-06,1.003075962069389e-06,1.589598117507634e-06,0.0,0.0,0.9999979948291102,-3.177641566821583e-06,1.0,0.0,0.0,0.0,5.560053181752345e-09,7.938626248164767e-11,-0.0001000008996924038,1.589598117507634e-10,-9.999989969140071e-05,1.58961401348881e-10,9.999979948291103e-05,-3.177641566821583e-10,5.560053181752345e-09,7.938626248164767e-11,9.999989969240379e-05,-1.589598117507634e-10,0.0001000007994809059,-3.177673343237251e-10
1,16.46897865482867,0.0,-0.9999979938372399,3.303590233939084e-06,2.000005989636559,-6.603949470933023e-06,1.003076364636257e-06,1.651786858035251e-06,0.0,0.0,0.9999979948283052,-3.301958225675382e-06,1.0,0.0,0.0,0.0,5.560053202569026e-09,8.249203596271442e-11,-0.0001000008996923635,1.651786858035251e-10,-9.999989969136045e-05,1.651803375903833e-10,9.999979948283053e-05,-3.301958225675383e-10,5.560053202569026e-09,8.249203596271442e-11,9.999989969236354e-05,-1.651786858035251e-10,0.0001000007994808254,-3.30199124525764e-10
1,17.11328304161779,0.0,-0.9999979938363699,3.432834294815165e-06,2.000005989634821,-6.862311188641008e-06,1.003076799732661e-06,1.716408565364755e-06,0.0,0.0,0.9999979948274359,-3.43113843862831e-06,1.0,0.0,0.0,0.0,5.560053230324602e-09,8.571931445759817e-11,-0.00010000089969232,1.716408565364755e-10,-9.999989969131697e-05,1.71642572945041e-10,9.99997994827436e-05,-3.431138438628311e-10,5.560053230324602e-09,8.571931445759817e-11,9.999989969232004e-05,-1.716408565364755e-10,0.0001000007994807385,-3.431172750012698e-10
1,17.78279410038921,0.0,-0.9999979938354311,3.567134681109366e-06,2.000005989632943,-7.130780611967816e-06,1.003077269023933e-06,1.783558422762569e-06,0.0,0.0,0.9999979948264973,-3.565372479121511e-06,1.0,0.0,0.0,0.0,5.560053230324602e-09,8.907285152218693e-11,-0.0001000008996922731,1.783558422762569e-10,-9.999989969127001e-05,1.783576258346797e-10,9.999979948264974e-05,-3.565372479121511e-10,5.560053230324602e-09,8.907285152218693e-11,9.99998996922731e-05,-1.783558422762569e-10,0.0001000007994806446,-3.565408132846305e-10
1,18.47849797422289,0.0,-0.999997993834417,3.706689207920942e-06,2.000005989630917,-7.409753177643647e-06,1.003077776062788e-06,1.853335337283784e-06,0.0,0.0,0.999997994825484,-3.704858064531501e-06,1.0,0.0,0.0,0.0,5.560053292774647e-09,9.255758668292567e-11,-0.0001000008996922224,1.853335337283784e-10,-9.999989969121931e-05,1.853353870637158e-10,9.99997994825484e-05,-3.704858064531501e-10,5.560053292774647e-09,9.255758668292567e-11,9.99998996922224e-05,-1.853335337283784e-10,0.0001000007994805433,-3.704895113112147e-10
1,19.201419386388,0.0,-0.9999979938333221,3.851703429331555e-06,2.000005989628728,-7.699639792794612e-06,1.003078323513762e-06,1.92584208545535e-06,0.0,0.0,0.9999979948243899,-3.849800647394068e-06,1.0,0.0,0.0,0.0,5.560053292774647e-09,9.617865271116175e-11,-0.0001000008996921676,1.92584208545535e-10,-9.999989969116456e-05,1.925861343876205e-10,9.9999799482439e-05,-3.849800647394068e-10,5.560053292774647e-09,9.617865271116175e-11,9.999989969216765e-05,-1.92584208545535e-10,0.0001000007994804338,-3.849839145400544e-10
1,19.95262314968878,0.0,-0.99999799383214,4.0023909411721e-06,2.000005989626365,-8.000867440180232e-06,1.0030789145965e-06,2.001185464658726e-06,0.0,0.0,0.9999979948232082,-4.000413718021525e-06,1.0,0.0,0.0,0.0,5.560053341346904e-09,9.994138318497862e-11,-0.0001000008996921085,2.001185464658726e-10,-9.999989969110547e-05,2.001205476513374e-10,9.999979948232082e-05,-4.000413718021525e-10,5.560053341346904e-09,9.994138318497862e-11,9.999989969210855e-05,-2.001185464658726e-10,0.0001000007994803157,-4.000453722158707e-10
1,20.73321573485953,0.0,-0.9999979938308634,4.15897369563446e-06,2.000005989623813,-8.313879807109273e-06,1.003079552863717e-06,2.079476450434978e-06,0.0,0.0,0.9999979948219322,-4.156919118959041e-06,1.0,0.0,0.0,0.0,5.560053362163586e-09,1.03851320343547e-10,-0.0001000008996920447,2.079476450434978e-10,-9.999989969104163e-05,2.079497245199482e-10,9.999979948219322e-05,-4.156919118959041e-10,5.560053362163586e-09,1.03851320343547e-10,9.999989969204472e-05,-2.079476450434978e-10,0.0001000007994801881,-4.156960688150232e-10
1,21.54434690031881,0.0,-0.9999979938294853,4.321682328191598e-06,2.000005989621058,-8.639137938960187e-06,1.003080241979148e-06,2.160830359943999e-06,0.0,0.0,0.9999979948205545,-4.319547371743235e-06,1.0,0.0,0.0,0.0,5.56005340379695e-09,1.079142232514903e-10,-0.0001000008996919758,2.160830359943999e-10,-9.999989969097273e-05,2.160851968247599e-10,9.999979948205546e-05,-4.319547371743235e-10,5.56005340379695e-09,1.079142232514903e-10,9.99998996919758e-05,-2.160830359943999e-10,0.0001000007994800503,-4.319590567216953e-10
1,22.38721138568337,0.0,-0.9999979938279969,4.490756497307516e-06,2.000005989618082,-8.977120918268778e-06,1.003080986161642e-06,2.245367021818648e-06,0.0,0.0,0.9999979948190669,-4.488538016444307e-06,1.0,0.0,0.0,0.0,5.560053424613631e-09,1.121360762815753e-10,-0.0001000008996919014,2.245367021818648e-10,-9.999989969089831e-05,2.245389475488868e-10,9.999979948190669e-05,-4.488538016444307e-10,5.560053424613631e-09,1.121360762815753e-10,9.999989969190139e-05,-2.245367021818648e-10,0.0001000007994799016,-4.488582901824471e-10
1,23.26305067153623,0.0,-0.9999979938263899,4.666445237437448e-06,2.00000598961487,-9.328326570383365e-06,1.003081789741067e-06,2.33321095266396e-06,0.0,0.0,0.9999979948174608,-4.66413996449186e-06,1.0,0.0,0.0,0.0,5.560053459308101e-09,1.165230979284607e-10,-0.000100000899691821,2.33321095266396e-10,-9.999989969081797e-05,2.333234284773488e-10,9.999979948174608e-05,-4.66413996449186e-10,5.560053459308101e-09,1.165230979284607e-10,9.999989969182103e-05,-2.33321095266396e-10,0.0001000007994797409,-4.664186605891506e-10
1,24.17315480804101,0.0,-0.9999979938246546,4.849007325838249e-06,2.000005989611401,-9.693272196726783e-06,1.003082657380361e-06,2.424491540461422e-06,0.0,0.0,0.9999979948157263,-4.846611865304065e-06,1.0,0.0,0.0,0.0,5.560053514819252e-09,1.210817499694112e-10,-0.0001000008996917343,2.424491540461422e-10,-9.99998996907312e-05,2.424515785376827e-10,9.999979948157264e-05,-4.846611865304065e-10,5.560053514819252e-09,1.210817499694112e-10,9.999989969173427e-05,-2.424491540461422e-10,0.0001000007994795675,-4.846660331422718e-10
