case,frequency_real,frequency_imag,v(out)_real,v(out)_imag,v(sum)_real,v(sum)_imag,v(vn)_real,v(vn)_imag,v(in)_real,v(in)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(cf)_real,i(cf)_imag,i(rf)_real,i(rf)_imag,i(vn)_real,i(vn)_imag,i(ri)_real,i(ri)_imag
1,1.467799267622069,0.0,-99.14650109455174,9.144297788712686,0.0001006987606587346,5.418365264262849e-06,0.0,0.0,1.0,0.0,0.0,0.0,4.949824522765344e-05,4.55411752644683e-08,-9.998993012393413e-05,5.41836526426285e-10,-8.433282299229766e-07,-9.143750528402628e-06,-9.91466017933124e-05,9.144292370347422e-06,4.949824522765344e-05,4.55411752644683e-08,9.998993012393413e-05,-5.41836526426285e-10
1,1.525222956539018,0.0,-99.07983276840538,9.495654408557453,0.0001007382634415743,5.626558318312883e-06,0.0,0.0,1.0,0.0,0.0,0.0,4.949857725274729e-05,4.729103018516656e-08,-9.998992617365584e-05,5.626558318312884e-10,-9.099925662487553e-07,-9.495086120540744e-06,-9.907993350666882e-05,9.495648781999134e-06,4.949857725274729e-05,4.729103018516656e-08,9.998992617365584e-05,-5.626558318312884e-10
1,1.584893192461112,0.0,-99.00794656514877,9.859987305444621,0.0001007808579574495,5.842440353494971e-06,0.0,0.0,1.0,0.0,0.0,0.0,4.949893526771961e-05,4.910551041481661e-08,-9.998992191420426e-05,5.842440353494971e-10,-9.818744674166516e-07,-9.859397213126476e-06,-9.900804734600672e-05,9.859981463004267e-06,4.949893526771961e-05,4.910551041481661e-08,9.998992191420426e-05,-5.842440353494971e-10
1,1.646897865482867,0.0,-98.93044266308594,10.2377123281428,0.0001008267811115077,6.06625777873424e-06,0.0,0.0,1.0,0.0,0.0,0.0,4.949932125853745e-05,5.098668713010527e-08,-9.998991732188885e-05,6.06625777873424e-10,-1.059373731195007e-06,-1.023709963004088e-05,-9.893054348986705e-05,1.023770626188502e-05,4.949932125853745e-05,5.098668713010527e-08,9.998991732188885e-05,-6.06625777873424e-10
1,1.71132830416178,0.0,-98.8468920063246,10.62925082611575,0.0001008762871309466,6.298260262551971e-06,0.0,0.0,1.0,0.0,0.0,0.0,4.949973736482276e-05,5.29366590967631e-08,-9.998991237128691e-05,6.298260262551971e-10,-1.142919387798902e-06,-1.062861469553097e-05,-9.884699288261172e-05,1.062924452785549e-05,4.949973736482276e-05,5.29366590967631e-08,9.998991237128691e-05,-6.298260262551971e-10
1,1.778279410038921,0.0,-98.75683439767869,11.0350286402927,0.0001009296486950211,6.538700135080907e-06,0.0,0.0,1.0,0.0,0.0,0.0,4.950018587718782e-05,5.495754678538217e-08,-9.99899070351305e-05,6.538700135080907e-10,-1.232971606873438e-06,-1.103436822504036e-05,-9.875693532732738e-05,1.103502210159256e-05,4.950018587718782e-05,5.495754678538217e-08,9.99899070351305e-05,-6.538700135080907e-10
1,1.847849797422289,0.0,-98.6597765057954,11.45547492314967,0.0001009871581158746,6.787831688943212e-06,0.0,0.0,1.0,0.0,0.0,0.0,4.950066925233429e-05,5.705148748643432e-08,-9.998990128418842e-05,6.787831688943213e-10,-1.330023690247719e-06,-1.145478934536126e-05,-9.865987749295352e-05,1.145546813531799e-05,4.950066925233429e-05,5.705148748643432e-08,9.998990128418842e-05,-6.787831688943213e-10
1,1.9201419386388,0.0,-98.55518978963867,11.89102076904453,0.0001010491285683379,7.045910367699142e-06,0.0,0.0,1.0,0.0,0.0,0.0,4.950119012371133e-05,5.922062848239921e-08,-9.998989508714317e-05,7.045910367699142e-10,-1.434604147326801e-06,-1.189030912505148e-05,-9.855529083876725e-05,1.189101372313417e-05,4.950119012371133e-05,5.922062848239921e-08,9.998989508714317e-05,-7.045910367699142e-10
1,1.995262314968878,0.0,-98.44250834511489,12.34209763419569,0.000101115895365862,7.313191829654261e-06,0.0,0.0,1.0,0.0,0.0,0.0,4.950175130950923e-05,6.14671180549573e-08,-9.998988841046342e-05,7.313191829654261e-10,-1.547278848337269e-06,-1.23413589945077e-05,-9.844260946101024e-05,1.234209032100386e-05,4.950175130950923e-05,6.14671180549573e-08,9.998988841046342e-05,-7.313191829654261e-10
1,2.073321573485953,0.0,-98.32112668058063,12.80913552411186,0.00010118781727859,7.589930873875694e-06,0.0,0.0,1.0,0.0,0.0,0.0,4.950235582420575e-05,6.379309804649511e-08,-9.998988121827215e-05,7.589930873875694e-10,-1.668653248686398e-06,-1.280836893350367e-05,-9.832122786839791e-05,1.280912793418099e-05,4.950235582420575e-05,6.379309804649511e-08,9.998988121827213e-05,-7.589930873875694e-10
1,2.154434690031882,0.0,-98.19039743027139,13.29256092469324,0.0001012652778882119,7.87638021432728e-06,0.0,0.0,1.0,0.0,0.0,0.0,4.95030068927769e-05,6.620069253582971e-08,-9.998987347221118e-05,7.87638021432728e-10,-1.799374675396616e-06,-1.329176540241521e-05,-9.819049869554927e-05,1.329255304831302e-05,4.95030068927769e-05,6.620069253582971e-08,9.998987347221118e-05,-7.87638021432728e-10
1,2.238721138568337,0.0,-98.04962901737255,13.79279445166505,0.0001013486869726583,8.172789087109597e-06,0.0,0.0,1.0,0.0,0.0,0.0,4.95037079595788e-05,6.869199618086629e-08,-9.998986513130275e-05,8.172789087109598e-10,-1.940134663894542e-06,-1.379196899179446e-05,-9.804973036605951e-05,1.379278627887596e-05,4.95037079595788e-05,6.869199618086629e-08,9.998986513130275e-05,-8.172789087109598e-10
