case,frequency_real,frequency_imag,v(cola)_real,v(cola)_imag,v(ema)_real,v(ema)_imag,v(emb)_real,v(emb)_imag,v(in)_real,v(in)_imag,v(outa)_real,v(outa)_imag,v(outb)_real,v(outb)_imag,v(basea)_real,v(basea)_imag,v(baseb)_real,v(baseb)_imag,v(colb)_real,v(colb)_imag,v(lowa)_real,v(lowa)_imag,v(lowb)_real,v(lowb)_imag,v(vcc)_real,v(vcc)_imag,i(vcc)_real,i(vcc)_imag,i(rta)_real,i(rta)_imag,i(cia)_real,i(cia)_imag,ic(qa)_real,ic(qa)_imag,ib(qa)_real,ib(qa)_imag,i(rea)_real,i(rea)_imag,i(coa)_real,i(coa)_imag,i(rtb)_real,i(rtb)_imag,i(rbb)_real,i(rbb)_imag,ic(qb)_real,ic(qb)_imag,ib(qb)_real,ib(qb)_imag,i(rsb)_real,i(rsb)_imag,i(cob)_real,i(cob)_imag,i(vin)_real,i(vin)_imag,i(rba)_real,i(rba)_imag,i(rca)_real,i(rca)_imag,i(rsa)_real,i(rsa)_imag,i(cea)_real,i(cea)_imag,i(rla)_real,i(rla)_imag,i(cib)_real,i(cib)_imag,i(rcb)_real,i(rcb)_imag,i(reb)_real,i(reb)_imag,i(ceb)_real,i(ceb)_imag,i(rlb)_real,i(rlb)_imag
1,10.0,0.0,-2.995339056613888,-15.94045742835013,0.8141245639343292,-0.01709997878765926,0.8274141398717345,0.06930263463379147,1.0,0.0,-2.74094450777254,-15.98408091506539,-7.242808400631215,-10.80131837040963,0.836827154998018,0.1029869075621297,0.8834307320922303,0.1498452367914508,-7.414716721687213,-10.68604549452684,0.8131711732743091,-0.02218707467184258,0.5909669170327155,-0.2718115473412135,0.0,0.0,-0.003137359778190037,-0.00806610892791312,-8.36827154998018e-06,-1.029869075621297e-06,6.470858244262357e-05,0.0001025245222247145,0.0009350879470819341,0.004990282454105239,1.830271293818807e-05,9.681343007808714e-05,0.0009533906600200925,0.005087095884183327,-2.740944507772561e-05,-0.000159840809150654,-8.834307320922303e-06,-1.498452367914508e-06,4.015594236782865e-05,6.811147126884125e-06,0.002319311939063051,0.003346208788106169,4.516028932713802e-05,6.493303164387945e-05,0.0006566299078141284,-0.0003020128303791262,-7.242808400631234e-05,-0.0001080131837040963,-0.0001588591214585125,-0.0001757671533633925,3.803759795445536e-05,4.681223071005896e-06,0.0009076785020042086,0.004830441644954585,0.0008139851584327418,-2.220928395579838e-05,0.0001394055015874177,0.005109305168139125,-2.74094450777254e-05,-0.0001598408091506539,9.415053901588894e-05,7.324263113867793e-05,0.002246883855056731,0.003238195604402072,0.00236447222839019,0.00341114181975005,0.001707842320576062,0.003713154650129176,-7.242808400631215e-05,-0.0001080131837040964
1,10.39122303835169,0.0,-3.154320886476942,-16.53580530890602,0.813732212518221,-0.02391348761347215,0.8275017050005122,0.06585868129991926,1.0,0.0,-2.900373369913423,-16.58022825670823,-7.608646028722699,-10.99014191046495,0.8376324366409299,0.1006567388503935,0.8862480698610475,0.1478136491750719,-7.776974184501498,-10.87360571244106,0.8127280857318882,-0.02919056786545803,0.5794910727940921,-0.2812418313795809,0.0,0.0,-0.003295274852807235,-0.00830339742380068,-8.3763243664093e-06,-1.006567388503935e-06,6.571876458173428e-05,0.0001060097495108032,0.0009848585477830526,0.005176652376174965,1.926823854982791e-05,0.0001004278758109187,0.001004126786332882,0.005277080251985884,-2.900373369913478e-05,-0.0001658022825670825,-8.862480698610476e-06,-1.47813649175072e-06,4.028400317550216e-05,6.718802235230543e-06,0.002432745304075551,0.003404933453177698,4.736101798864627e-05,6.607167361730257e-05,0.0006438789697712134,-0.0003124909237550898,-7.608646028722654e-05,-0.0001099014191046495,-0.0001622262664444934,-0.0001802783618550872,3.807420166549681e-05,4.575306311381524e-06,0.0009558548140839218,0.005010850093607884,0.0008135416273592474,-2.921978765311114e-05,0.0001905851589736532,0.005306300039638996,-2.900373369913423e-05,-0.0001658022825670823,9.650750186275914e-05,7.426861234428392e-05,0.002356658843788333,0.003295032034073048,0.002480106322064202,0.003471005126795002,0.001836227352292988,0.003783496050550091,-7.6086460287227e-05,-0.0001099014191046495
1,10.7977516232771,0.0,-3.325426765693323,-17.15221540941178,0.8132195782617466,-0.03075005971546367,0.8275235549225854,0.06254083407079228,1.0,0.0,-3.071941930249312,-17.19749471941521,-7.987341567564568,-11.16974450286724,0.8384087414198201,0.09846217808421762,0.8890957331733659,0.1458392397967878,-8.15197955079735,-11.05201398479338,0.8121608463873612,-0.03622384593727946,0.5675426125766356,-0.2902538997527127,0.0,0.0,-0.003460726869342151,-0.008544293165883359,-8.384087414198203e-06,-9.846217808421761e-07,6.680095023039214e-05,0.000109630416796673,0.001038424499815623,0.005369615980349236,2.030737456983869e-05,0.0001041702414665488,0.001058731874385432,0.005473786221815786,-3.071941930249337e-05,-0.0001719749471941519,-8.89095733173366e-06,-1.458392397967878e-06,4.041344241697118e-05,6.629056354399443e-06,0.002550170249250605,0.003460792591935757,4.963917420890791e-05,6.715474629929432e-05,0.0006306029028629285,-0.0003225043330585696,-7.98734156756456e-05,-0.0001116974450286721,-0.0001657445241880051,-0.0001848726118483344,3.810948824635546e-05,4.475553549282618e-06,0.001007705080513128,0.005197641033155084,0.0008129738202075688,-3.626010604332278e-05,0.000245758054177908,0.005510046327859107,-3.071941930249313e-05,-0.0001719749471941521,9.894357395761297e-05,7.524219505166134e-05,0.002470296833574955,0.003349095146907085,0.002599809423459498,0.003527947338235049,0.001969206520596569,0.003850451671293619,-7.987341567564568e-05,-0.0001116974450286724
1,11.22018454301963,0.0,-3.509558796815618,-17.79021118760591,0.8125841344603851,-0.03761643380099694,0.8274836917005525,0.05934716703838878,1.0,0.0,-3.256554764455296,-17.83640443747852,-8.378430110795387,-11.33907782792676,0.8391603382111127,0.09640042833107866,0.8919742492010988,0.1439122605692624,-8.539271519374623,-11.22023231675265,0.8114666406474782,-0.0432938146374086,0.555140262317452,-0.298816545040046,0.0,0.0,-0.003633849356001708,-0.008788640359280257,-8.391603382111127e-06,-9.640042833107867e-07,6.796085467960063e-05,0.0001133895468182966,0.001096068213346261,0.005569337131528092,2.142559956062082e-05,0.0001080437048835738,0.001117493812906933,0.005677380836411665,-3.256554764455312e-05,-0.0001783640443747854,-8.919742492010988e-06,-1.439122605692624e-06,4.05442840545954e-05,6.541466389511927e-06,0.00267144233728208,0.003513461177295224,5.199195654893114e-05,6.817594348912295e-05,0.0006168225136860577,-0.0003320183833778288,-8.378430110795318e-05,-0.0001133907782792671,-0.0001694168377751378,-0.0001895460793026241,3.814365173686875e-05,4.381837651412666e-06,0.001063502665701703,0.005390973087153306,0.0008122789195670453,-4.33371517891978e-05,0.0003052148933398386,0.005720717988200862,-3.256554764455296e-05,-0.0001783640443747852,0.0001014559830955372,7.61565324843275e-05,0.002587658036174128,0.003400070399015955,0.002723434293831005,0.003581637120784347,0.002106611780144947,0.003913655504162175,-8.378430110795387e-05,-0.0001133907782792677
1,11.65914401179831,0.0,-3.707678975868943,-18.45030384806202,0.8118227610862354,-0.0445192123003349,0.8273860526657576,0.05627578298107035,1.0,0.0,-3.455176419465045,-18.49746926654008,-8.781339172473379,-11.49711187192526,0.8398913536247364,0.09446873665853114,0.8948832777111224,0.1420231287438983,-8.938282270855709,-11.37724084753004,0.8106420414827198,-0.05040723952858702,0.5423060833366811,-0.3068991099738804,0.0,0.0,-0.003814761722391081,-0.009036284989101147,-8.398913536247364e-06,-9.446873665853115e-07,6.920454897077922e-05,0.0001172900903583903,0.001158090847791307,0.005775975858744803,2.262875572431691e-05,0.0001120513695073268,0.001180719603515623,0.005888027228252123,-3.455176419465076e-05,-0.0001849746926654009,-8.948832777111225e-06,-1.420231287438983e-06,4.067651262323283e-05,6.455596761086287e-06,0.002796383776832524,0.003562619860395022,5.44159164582456e-05,6.91290691544849e-05,0.0006025623148185345,-0.0003409990110820894,-8.781339172473409e-05,-0.0001149711187192523,-0.000173245810829369,-0.0001942949875614004,3.817687971021529e-05,4.294033484478688e-06,0.001123539083596649,0.005591001166079401,0.0008114534949776975,-5.045769722581283e-05,0.0003692661085378103,0.005938484925477948,-3.455176419465045e-05,-0.0001849746926654008,0.0001040412618585897,7.700489720301015e-05,0.00270857038510779,0.00344764874167577,0.002850799693290765,0.003631748929549507,0.002248237378472231,0.003972747940631596,-8.78133917247338e-05,-0.0001149711187192526
1,12.11527658628588,0.0,-3.920812229188344,-19.13298837149103,0.8109317395622367,-0.05146483133412796,0.827234525500436,0.05332479953195433,1.0,0.0,-3.668834459258126,-19.18118480641499,-9.195388235435193,-11.6428478844174,0.8406057896559261,0.09266439426088487,0.8978216227559713,0.1401625097830183,-9.348337017023027,-11.52205068421355,0.8096830032323618,-0.05757071468656026,0.5290655018011376,-0.3144719109285992,0.0,0.0,-0.00400357004290963,-0.009287077505415494,-8.406057896559262e-06,-9.266439426088488e-07,7.053847931842407e-05,0.0001213349021435089,0.001224813262528443,0.005989687112152341,2.392306734659566e-05,0.0001161962402799512,0.001248736329874989,0.006105883352432291,-3.66883445925791e-05,-0.0001918118480641499,-8.978216227559715e-06,-1.401625097830183e-06,4.081007376163506e-05,6.371023171955377e-06,0.002924783281452236,0.003607958989211919,5.690695554074051e-05,7.000811539361511e-05,0.0005878505575568196,-0.0003494132343651102,-9.195388235435147e-05,-0.0001164284788441741,-0.0001772337248483595,-0.0001991156658069093,3.820935407526937e-05,4.212017920949312e-06,0.001188124917935862,0.00579787526408819,0.0008104934967290908,-5.762834302958985e-05,0.0004382428331460012,0.006163511695461878,-3.668834459258126e-05,-0.0001918118480641499,0.0001066952455299354,7.778076366340048e-05,0.002832829399097887,0.003491530510367743,0.002981690236992983,0.003677967104605535,0.002393839679436164,0.004027380338970645,-9.195388235435193e-05,-0.000116428478844174
1,12.58925411794167,0.0,-4.150049428870092,-19.83873906427214,0.809906746941102,-0.05845952858599546,0.8270329598359896,0.05049233372560023,1.0,0.0,-3.89862248907628,-19.88802594295238,-9.619790119324684,-11.77533175258355,0.8413075405804461,0.0909847350668605,0.9007872544640876,0.1383214017249591,-9.768655352913044,-11.65371714899753,0.8085848548210794,-0.0647906291524274,0.5154472771603432,-0.3215066762268368,0.0,0.0,-0.004200368379862626,-0.00954087548810774,-8.413075405804462e-06,-9.098473506686051e-07,7.196948636078108e-05,0.0001255267137433726,0.001296576960912001,0.006210619369815019,2.531515911041097e-05,0.0001204811966169375,0.001321892120022539,0.006331100566431949,-3.898622489076325e-05,-0.0001988802594295235,-9.007872544640876e-06,-1.383214017249591e-06,4.094487520291307e-05,6.287336442043595e-06,0.003056396492985078,0.003649182756615995,5.946033377137545e-05,7.080734290837356e-05,0.0005727191968448258,-0.0003572296402520409,-9.619790119324808e-05,-0.0001177533175258346,-0.0001813825678797101,-0.0002040046071110394,3.824125184456573e-05,4.135669775766386e-06,0.00125759073602124,0.006011739110385497,0.0008093942490701496,-6.485548463706448e-05,0.0005124978709522497,0.006395956051069023,-3.89862248907628e-05,-0.0001988802594295238,0.000109413081518929,7.84778933676668e-05,0.002960198591791832,0.003531429439090161,0.003115856826756463,0.00371999009952437,0.002543137629911638,0.004077219739776411,-9.619790119324685e-05,-0.0001177533175258355
1,13.08177474260194,0.0,-4.39655034979409,-20.56800458963918,0.808742849736137,-0.06550930873444562,0.826785175198636,0.0477764854720877,1.0,0.0,-4.145703120952481,-20.61844187030434,-10.05365428790817,-11.89366750133031,0.8420004090614037,0.08942713288347286,0.9037773416536923,0.1364912194166346,-10.19835453015922,-11.77135315121031,0.8073422926460866,-0.07207313077891161,0.5014834056039096,-0.327976989501562,0.0,0.0,-0.00440524067096355,-0.009797546192491995,-8.420004090614038e-06,-8.942713288347287e-07,7.350482401183399e-05,0.0001298681032412885,0.001373745015995612,0.006438913082230069,2.681207405479265e-05,0.0001249089622359324,0.001400557090050381,0.006563822044465997,-4.145703120952412e-05,-0.000206184418703044,-9.037773416536923e-06,-1.364912194166346e-06,4.108078825698601e-05,6.204146337119754e-06,0.003190947006563692,0.003686013387501275,6.207068938357454e-05,7.152136223522116e-05,0.000557203784004344,-0.0003644188772239577,-0.0001005365428790813,-0.0001189366750133039,-0.0001856940750689314,-0.0002089585240077952,3.827274586642744e-05,4.064869676521493e-06,0.001332287984786088,0.006232728663527024,0.0008081504430891758,-7.214527605496659e-05,0.0005924066469612684,0.006635967320520966,-4.145703120952481e-05,-0.0002061844187030435,0.0001121892510570974,7.909042076650674e-05,0.003090410463684612,0.003567076712487972,0.003253017695947265,0.003757534749736496,0.002695813911942921,0.004121953626960453,-0.0001005365428790817,-0.0001189366750133031
1,13.59356390878525,0.0,-4.661546524227315,-21.32120244142195,0.8074344976989036,-0.07261990610438915,0.8264949652177703,0.04517532054397008,1.0,0.0,-4.411310836476156,-21.37285055444449,-10.49599216265821,-11.99703059701764,0.8426881214312837,0.0879889971214085,0.9067882956855763,0.1346638767945098,-10.63645471793454,-11.87414236501682,0.8059493734438008,-0.07942408711832852,0.487208956337695,-0.3338587273422026,0.0,0.0,-0.004618263187999091,-0.01005696886715138,-8.426881214312838e-06,-8.79889971214085e-07,7.515217764547685e-05,0.0001343614614407666,0.00145670296419122,0.006674698942338975,2.842129091156051e-05,0.0001294820716003977,0.001485124255102832,0.00680418101393937,-4.411310836475851e-05,-0.0002137285055444458,-9.067882956855764e-06,-1.346638767945098e-06,4.121764980388983e-05,6.121085308841352e-06,0.003328128017970382,0.003718195265066182,6.473207083036595e-05,7.214521379554292e-05,0.000541343284819661,-0.0003709541414913362,-0.0001049599216265806,-0.0001199703059701774,-0.0001901697812365882,-0.0002139743993130956,3.83040055196038e-05,3.999499869154931e-06,0.001412589855826459,0.006460970436794531,0.0008067561295733742,-7.950359070903755e-05,0.0006783681255294329,0.006883684604648409,-4.411310836476156e-05,-0.0002137285055444449,0.0001150176035911114,7.961293787232902e-05,0.0032231680963438,0.003598224959096006,0.003392860088800754,0.003790340478861727,0.002851516803981093,0.004161294620353063,-0.0001049599216265821,-0.0001199703059701764
1,14.12537544622754,0.0,-4.946343942195481,-22.09871282137205,0.8059755178910378,-0.0797967442084542,0.8261660981075027,0.04268685368264796,1.0,0.0,-4.696754694880088,-22.15163259890475,-10.94572444894206,-12.08468071251404,0.8433743421062626,0.0866677671381894,0.9098158256125419,0.132831865265402,-11.08188625776658,-11.96135187368759,0.8043995074998881,-0.08684904301002477,0.4726618404889892,-0.3391304797939699,0.0,0.0,-0.004839507552856771,-0.01031903672945161,-8.433743421062627e-06,-8.66677671381894e-07,7.691968129486812e-05,0.0001390089543737265,0.001545859650644404,0.006918095968829066,3.015074050533918e-05,0.000134202832741518,0.00157601039114974,0.007052298801570572,-4.696754694880089e-05,-0.0002215163259890481,-9.09815825612542e-06,-1.32831865265402e-06,4.135526480057009e-05,6.037812057518273e-06,0.00346760459532778,0.003745498890060773,6.74379808573598e-05,7.267444470540662e-05,0.0005251798227655436,-0.0003768116442155221,-0.0001094572444894197,-0.0001208468071251406,-0.0001948110852089236,-0.0002190495297893055,3.833519736846648e-05,3.939443960826791e-06,0.0014988921036956,0.006696579642840017,0.0008052047122121002,-8.693597898901379e-05,0.0007708056789375549,0.007139234780559606,-4.696754694880089e-05,-0.0002215163259890476,0.0001178914039140554,8.004057541557894e-05,0.003358147350838359,0.003624652082935633,0.003535042576185135,0.003818173334766179,0.003009862753419592,0.004194984978981701,-0.0001094572444894206,-0.0001208468071251404
