case,vtest,v(ref),v(out),v(vcc),i(vcc),ic(q1),ib(q1),i(vtest),i(rr),ic(q2),ib(q2)
1,0.4,4.307451987375067,0.4,5.0,-0.008724323973170689,-0.004250774990040434,-2.833850062612924e-05,0.004416871985795434,0.004307451987375067,-0.004416871985795454,-2.833849670868529e-05
1,0.425,4.307451987375218,0.425,5.0,-0.008723261279373284,-0.004250774990016067,-2.833850062597756e-05,0.004415809291997586,0.004307451987375218,-0.004415809291997637,-2.83384967335197e-05
1,0.45,4.307451987375367,0.45,5.0,-0.00872219858557477,-0.004250774989991261,-2.833850062582003e-05,0.004414746598199404,0.004307451987375367,-0.004414746598199373,-2.833849675836213e-05
1,0.475,4.307451987375516,0.475,5.0,-0.008721135891777143,-0.00425077498996672,-2.833850062565002e-05,0.004413683904401555,0.004307451987375516,-0.004413683904401383,-2.833849678321996e-05
1,0.5,4.307451987375664,0.5,5.0,-0.008720073197979739,-0.004250774989942331,-2.833850062549422e-05,0.004412621210603707,0.004307451987375664,-0.004412621210603606,-2.833849680803637e-05
1,0.525,4.307451987375814,0.525,5.0,-0.008719010504181668,-0.004250774989917815,-2.833850062531121e-05,0.004411558516805747,0.004307451987375814,-0.00441155851680566,-2.833849683288108e-05
1,0.55,4.307451987375963,0.55,5.0,-0.008717947810384041,-0.004250774989893289,-2.833850062518219e-05,0.004410495823007787,0.004307451987375963,-0.004410495823007757,-2.83384968577104e-05
1,0.5750000000000001,4.307451987376113,0.5750000000000001,5.0,-0.008716885116586193,-0.004250774989868784,-2.833850062501587e-05,0.004409433129209828,0.004307451987376113,-0.004409433129209848,-2.833849688255803e-05
1,0.6000000000000001,4.307451987376261,0.6000000000000001,5.0,-0.0087158224227879,-0.004250774989844133,-2.833850062483058e-05,0.004408370435411757,0.004307451987376261,-0.004408370435411816,-2.833849690740047e-05
1,0.625,4.30745198737641,0.625,5.0,-0.008714759728990495,-0.004250774989819591,-2.833850062467457e-05,0.004407307741614019,0.00430745198737641,-0.004407307741613914,-2.833849693223054e-05
1,0.65,4.30745198737656,0.65,5.0,-0.008713697035193313,-0.004250774989795214,-2.833850062451953e-05,0.004406245047816282,0.004307451987376559,-0.004406245047816203,-2.83384969570617e-05
1,0.675,4.30745198737671,0.675,5.0,-0.008712634341395464,-0.00425077498977067,-2.833850062435028e-05,0.004405182354018322,0.004307451987376709,-0.004405182354018318,-2.83384969819063e-05
1,0.7000000000000001,4.307451987376859,0.7000000000000001,5.0,-0.008711571647597394,-0.004250774989746152,-2.833850062418342e-05,0.004404119660220585,0.004307451987376859,-0.004404119660220505,-2.833849700672553e-05
1,0.7250000000000001,4.307451987377009,0.7250000000000001,5.0,-0.008710508953799545,-0.004250774989721498,-2.833850062402719e-05,0.004403056966422514,0.004307451987377009,-0.00440305696642252,-2.833849703156937e-05
1,0.75,4.307451987377157,0.75,5.0,-0.00870944626000214,-0.004250774989696999,-2.833850062385654e-05,0.004401994272624665,0.004307451987377158,-0.0044019942726247,-2.833849705641256e-05
1,0.775,4.307451987377307,0.775,5.0,-0.008708383566203626,-0.00425077498967229,-2.833850062368664e-05,0.004400931578826817,0.004307451987377308,-0.004400931578826712,-2.833849708124263e-05
1,0.8,4.307451987377457,0.8,5.0,-0.008707320872406443,-0.004250774989647787,-2.833850062353323e-05,0.004399868885028968,0.004307451987377457,-0.004399868885028935,-2.833849710608919e-05
1,0.8250000000000001,4.307451987377605,0.8250000000000001,5.0,-0.008706258178608817,-0.004250774989623249,-2.833850062337385e-05,0.00439880619123123,0.004307451987377605,-0.00439880619123114,-2.833849713091601e-05
1,0.8500000000000001,4.307451987377754,0.8500000000000001,5.0,-0.008705195484811412,-0.004250774989598883,-2.833850062320775e-05,0.004397743497433493,0.004307451987377755,-0.004397743497433525,-2.833849715574988e-05
1,0.875,4.307451987377903,0.875,5.0,-0.008704132791014008,-0.004250774989574369,-2.833850062305163e-05,0.004396680803635755,0.004307451987377904,-0.004396680803635759,-2.833849718059372e-05
1,0.9,4.307451987378052,0.9,5.0,-0.008703070097215937,-0.004250774989549705,-2.833850062288e-05,0.004395618109837796,0.004307451987378052,-0.004395618109837874,-2.833849720543604e-05
1,0.925,4.307451987378203,0.925,5.0,-0.008702007403419199,-0.004250774989525473,-2.833850062270262e-05,0.004394555416040502,0.004307451987378203,-0.00439455541604042,-2.833849723025863e-05
1,0.9500000000000001,4.307451987378352,0.9500000000000001,5.0,-0.008700944709621128,-0.004250774989500794,-2.833850062254563e-05,0.004393492722242653,0.004307451987378352,-0.004393492722242567,-2.833849725508773e-05
1,0.9750000000000001,4.3074519873785,0.9750000000000001,5.0,-0.00869988201582328,-0.004250774989476266,-2.833850062238907e-05,0.004392430028444916,0.0043074519873785,-0.004392430028444843,-2.833849727993125e-05
1,1.0,4.307451987378649,1.0,5.0,-0.00869881932202543,-0.004250774989451614,-2.833850062221798e-05,0.004391367334647067,0.00430745198737865,-0.004391367334647,-2.833849730477401e-05
1,1.025,4.307451987378799,1.025,5.0,-0.00869775662822847,-0.004250774989427238,-2.833850062206327e-05,0.004390304640849552,0.004307451987378799,-0.004390304640849473,-2.833849732961926e-05
1,1.05,4.307451987378948,1.05,5.0,-0.008696693934430622,-0.00425077498940271,-2.833850062190725e-05,0.004389241947051814,0.004307451987378948,-0.004389241947051806,-2.833849735443545e-05
1,1.075,4.307451987379097,1.075,5.0,-0.008695631240633439,-0.004250774989378153,-2.833850062172369e-05,0.004388179253254187,0.004307451987379097,-0.004388179253254097,-2.833849737927973e-05
1,1.1,4.307451987379247,1.1,5.0,-0.008694568546836035,-0.004250774989353647,-2.833850062155716e-05,0.004387116559456561,0.004307451987379247,-0.00438711655945646,-2.833849740411316e-05
1,1.125,4.307451987379395,1.125,5.0,-0.008693505853038408,-0.004250774989329111,-2.833850062142467e-05,0.004386053865658934,0.004307451987379395,-0.004386053865658832,-2.833849742895289e-05
1,1.15,4.307451987379545,1.15,5.0,-0.008692443159240781,-0.004250774989304607,-2.833850062124437e-05,0.004384991171861197,0.004307451987379545,-0.00438499117186122,-2.833849745380041e-05
1,1.175,4.307451987379694,1.175,5.0,-0.008691380465443821,-0.004250774989280229,-2.833850062107556e-05,0.004383928478063792,0.004307451987379694,-0.004383928478063739,-2.833849747863157e-05
1,1.2,4.307451987379843,1.2,5.0,-0.008690317771646194,-0.004250774989255577,-2.833850062090469e-05,0.004382865784266055,0.004307451987379843,-0.004382865784266009,-2.833849750347455e-05
1,1.225,4.307451987379993,1.225,5.0,-0.00868925507784879,-0.004250774989231211,-2.833850062073935e-05,0.004381803090468539,0.004307451987379993,-0.004381803090468584,-2.83384975282954e-05
1,1.25,4.307451987380142,1.25,5.0,-0.008688192384051163,-0.004250774989206379,-2.833850062058149e-05,0.00438074039667069,0.004307451987380142,-0.004380740396670685,-2.833849755313751e-05
1,1.275,4.307451987380291,1.275,5.0,-0.008687129690253315,-0.004250774989181701,-2.833850062042374e-05,0.004379677702873064,0.004307451987380291,-0.004379677702872984,-2.833849757796585e-05
1,1.3,4.30745198738044,1.3,5.0,-0.008686066996456354,-0.004250774989157475,-2.833850062026978e-05,0.004378615009075659,0.00430745198738044,-0.00437861500907573,-2.833849760281186e-05
1,1.325,4.307451987380589,1.325,5.0,-0.00868500430265895,-0.00425077498913296,-2.833850062009999e-05,0.004377552315278144,0.004307451987380589,-0.004377552315278184,-2.833849762765603e-05
1,1.35,4.307451987380738,1.35,5.0,-0.008683941608861545,-0.004250774989108432,-2.833850061991611e-05,0.004376489621480517,0.004307451987380738,-0.004376489621480637,-2.833849765248599e-05
1,1.375,4.307451987380889,1.375,5.0,-0.008682878915064363,-0.004250774989083926,-2.833850061976465e-05,0.004375426927683113,0.004307451987380889,-0.004375426927683129,-2.833849767732062e-05
1,1.4,4.307451987381038,1.4,5.0,-0.008681816221266514,-0.004250774989059082,-2.833850061960592e-05,0.004374364233885375,0.004307451987381038,-0.004374364233885338,-2.833849770214809e-05
1,1.425,4.307451987381186,1.425,5.0,-0.008680753527469554,-0.004250774989034858,-2.833850061945099e-05,0.004373301540088192,0.004307451987381186,-0.004373301540088137,-2.8338497727007e-05
1,1.45,4.307451987381334,1.45,5.0,-0.008679690833672593,-0.004250774989010511,-2.833850061926743e-05,0.004372238846290899,0.004307451987381334,-0.004372238846290824,-2.833849775183729e-05
1,1.475,4.307451987381485,1.475,5.0,-0.008678628139875189,-0.004250774988985963,-2.833850061911586e-05,0.004371176152493383,0.004307451987381485,-0.004371176152493352,-2.833849777665804e-05
1,1.5,4.307451987381633,1.5,5.0,-0.008677565446078006,-0.004250774988961578,-2.833850061895659e-05,0.004370113458695979,0.004307451987381633,-0.004370113458696045,-2.833849780149874e-05
1,1.525,4.307451987381783,1.525,5.0,-0.00867650275228038,-0.004250774988936908,-2.83385006187893e-05,0.004369050764898574,0.004307451987381783,-0.004369050764898437,-2.833849782634529e-05
1,1.55,4.307451987381931,1.55,5.0,-0.008675440058482975,-0.004250774988912246,-2.833850061861485e-05,0.004367988071100837,0.004307451987381932,-0.004367988071100859,-2.833849785118469e-05
