Cfilter,time,V(b),V(out),V(raw),V(a),I(D1),I(D3),I(D4),I(CFILTER),I(D2),I(RLOAD)
1e-12,3.368440357087165e-05,-0.06348878640659614,6.797648463026856e-06,0.06349605326780791,0.06349558415143246,2.685483932451938e-08,-2.005679828876967e-08,2.685483922990515e-08,3.925963898235863e-13,-2.005679830552332e-08,6.797648463026856e-09
1e-12,4.612118595248404e-05,-0.0869263032331074,1.35564337465805e-05,0.08694038770133977,0.08693985979660021,3.317380099787659e-08,-1.961667298499601e-08,3.317380097727003e-08,6.943061887402393e-13,-1.961667293881586e-08,1.35564337465805e-08
1e-12,5.597540712423021e-05,-0.1054943874371535,2.204252990638917e-05,0.1055170500397851,0.1055164301210197,4.201771722223135e-08,-1.997415930385107e-08,4.201771705711065e-08,1.028020948204585e-12,-1.997415947918579e-08,2.204252990638917e-08
1e-12,6.421419957112283e-05,-0.1210161338754729,3.242776348057934e-05,0.1210492756252406,0.1210485617600361,5.190788854303463e-08,-1.947863189724969e-08,5.190788857888252e-08,1.49303631038508e-12,-1.947863204065925e-08,3.242776348057934e-08
1e-12,7.178934386393842e-05,-0.1352849811231794,4.569176976791298e-05,0.135331526312589,0.1353306729375154,6.551564304957402e-08,-1.982186427064996e-08,6.551564311637627e-08,2.00894491803671e-12,-1.982186428883814e-08,4.569176976791298e-08
1e-12,7.88478123374593e-05,-0.1485776420082148,6.255624665098942e-05,0.1486412102652524,0.1486401982343687,8.18810523550706e-08,-1.93220360312473e-08,8.188105250850029e-08,2.769563983350965e-12,-1.932203591570314e-08,6.255624665098942e-08
1e-12,8.545804725168689e-05,-0.1610228623766582,8.359299178748879e-05,0.1611076846869119,0.1611064553765892,1.032638095865845e-07,-1.966722275287565e-08,1.032638094278033e-07,3.595337082535286e-12,-1.966722271151689e-08,8.359299178748879e-08
1e-12,9.166667250180968e-05,-0.1727082105046777,0.0001095502852364763,0.1728192399033338,0.1728177608846106,1.287284619178042e-07,-1.917341046727912e-08,1.287284615751164e-07,4.766351095407885e-12,-1.917341049817445e-08,1.095502852364763e-07
1e-12,9.751862391739764e-05,-0.1837180720586144,0.0001410980467377199,0.183860971765205,0.1838591701985052,1.606303663692632e-07,-1.952630372788741e-08,1.606303660320303e-07,6.01561234960215e-12,-1.952630376833575e-08,1.410980467377199e-07
1e-12,0.0001030575925752804,-0.1941343847708748,0.0001791558496010415,0.194315713140046,0.1943135406758765,1.982049964432964e-07,-1.904142065328992e-08,1.982049963650104e-07,7.726225905155576e-12,-1.904142052366886e-08,1.791558496010415e-07
1e-12,0.0001083198013035478,-0.2040250041681851,0.0002245786660391397,0.2042522168461221,0.2042495828994595,2.439914348340011e-07,-1.940323142561822e-08,2.439914344702198e-07,9.537559295117098e-12,-1.940323166027547e-08,2.245786660391397e-07
1e-12,0.0001138675453816204,-0.2144454615338865,0.0002848342551837768,0.2147335227310268,0.2147302958283939,3.037683518614109e-07,-1.892191148681777e-08,3.037683519201701e-07,1.218499902859765e-11,-1.892191126007248e-08,2.848342551837768e-07
1e-12,0.0001188865267636028,-0.2238652393296224,0.0003530565938918381,0.2242222124932216,0.2242182959541604,3.723627504947924e-07,-1.929115584093973e-08,3.723627498291902e-07,1.500073718363193e-11,-1.92911556173847e-08,3.530565938918381e-07
1e-12,0.0001237989899790292,-0.2330767212546956,0.0004353723385031307,0.2335168240098669,0.2335120936618876,4.542128242968069e-07,-1.882197363918418e-08,4.542128235727128e-07,1.851229361706332e-11,-1.882197397939933e-08,4.353723385031308e-07
1e-12,0.000128441480583017,-0.2417726197790865,0.0005306544186149571,0.242308965048994,0.2423032742484225,5.498785057844735e-07,-1.920155157243778e-08,5.498785056073272e-07,2.253554941354948e-11,-1.92015514599575e-08,5.306544186149571e-07
1e-12,0.0001329252343932432,-0.2501608977264847,0.0006421017571205624,0.2508097956626837,0.2508029995099192,6.608721048184663e-07,-1.874317165918408e-08,6.608721044745095e-07,2.717609558069245e-11,-1.874317201444597e-08,6.421017571205624e-07
1e-12,0.0001372336697236409,-0.2582096743266587,0.0007710456455934048,0.2589888134511835,0.2589807199931214,7.902120663372258e-07,-1.913374021814585e-08,7.902120659736952e-07,3.268042038601505e-11,-1.913373987028066e-08,7.710456455934049e-07
1e-12,0.0001414087113923082,-0.2659965758852547,0.0009202208996418725,0.2669263731098329,0.2669167967927908,9.389456920305683e-07,-1.868601224117172e-08,9.38945692022458e-07,3.878012002643438e-11,-1.86860124595789e-08,9.202208996418726e-07
1e-12,0.0001454545525026118,-0.2735283245900187,0.001091976484082977,0.2746316030659094,0.2746203010777345,1.111110713158947e-06,-1.908810444218878e-08,1.111110713022026e-06,4.612472280842415e-11,-1.90881044304092e-08,1.091976484082977e-06
1e-12,0.0001493987280044821,-0.2808551480724905,0.00128960699084814,0.2821580247181041,0.2821447550740649,1.308312742032136e-06,-1.86516620203098e-08,1.308312741564538e-06,5.408925272240022e-11,-1.8651662159197e-08,1.28960699084814e-06
1e-12,0.0001532455749995313,-0.2879836486664381,0.001516217589031164,0.2895154104116184,0.2894998662732653,1.535347575465362e-06,-1.906625958674889e-08,1.535347574981431e-06,6.372721430838307e-11,-1.906625968217668e-08,1.516217589031164e-06
1e-12,0.0001570185808567548,-0.294955884337449,0.00177616225683697,0.296750181823648,0.2967320466131703,1.794878684846513e-06,-1.864236324534035e-08,1.79487868410934e-06,7.406488495225151e-11,-1.86423632086985e-08,1.77616225683697e-06
1e-12,0.000160719920547423,-0.3017739313931089,0.002073431886055951,0.303868479897851,0.3038473632928022,2.092589477253881e-06,-1.907102774432183e-08,2.092589476780699e-06,8.656366000660331e-11,-1.907102781251169e-08,2.073431886055951e-06
1e-12,0.0001643714769563599,-0.3084760488075572,0.002413898377189555,0.3109144604059986,0.3108899471913554,2.43265987770469e-06,-1.86615864220057e-08,2.432659877531227e-06,9.991442359509647e-11,-1.866158672036988e-08,2.413898377189555e-06
1e-12,0.0001679736912300309,-0.3150604349028973,0.002802754922682393,0.3178916006649498,0.3178631898251001,2.821977446165747e-06,-1.910653872930141e-08,2.821977446290506e-06,1.159851075102925e-10,-1.910653912862159e-08,2.802754922682393e-06
1e-12,0.0001715478599300034,-0.3215631667225317,0.003247986604980095,0.3248440088050528,0.3248111533237258,3.266833945858583e-06,-1.8714186812297e-08,3.266833946089729e-06,1.331548197393561e-10,-1.871418686683057e-08,3.247986604980095e-06
1e-12,0.0001750934938267608,-0.3279798166118374,0.003756506163686404,0.3317742729383084,0.331736322771659,3.775838258446296e-06,-1.917840634770309e-08,3.775838259029791e-06,1.536898029970425e-10,-1.917840608545163e-08,3.756506163686405e-06
1e-12,0.0001786320421982457,-0.3343452377560432,0.004339269133436449,0.3387282774725758,0.3386845068920126,4.358251440295113e-06,-1.880661606894292e-08,4.358251439583216e-06,1.756927086720191e-10,-1.88066168194112e-08,4.33926913343645e-06
1e-12,0.0001821630024515321,-0.3406536809991433,0.005005742100948722,0.3457098684219296,0.3456594231033456,5.025237885536438e-06,-1.929397315218574e-08,5.025237885704667e-06,2.018137860085726e-10,-1.929397253075393e-08,5.005742100948722e-06
1e-12,0.0001857087472737411,-0.3469395677184467,0.00577115251870447,0.3527688130055818,0.3527107202370955,5.790329645205539e-06,-1.894720341046932e-08,5.790329645242876e-06,2.299267847125298e-10,-1.894720380590798e-08,5.77115251870447e-06
1e-12,0.0001892698780352028,-0.353197226340103,0.006648911251514858,0.3599130185872816,0.3598461375916737,6.668636927942284e-06,-1.946263321042968e-08,6.668636927881366e-06,2.63048097574101e-10,-1.94626337268744e-08,6.648911251514858e-06
1e-12,0.0001928707325984254,-0.3594615499337877,0.007660605181016217,0.3671991470867923,0.3671221551157257,7.680050581881925e-06,-1.914652501883627e-08,7.680050581349294e-06,2.988830728914805e-10,-1.914652464352073e-08,7.660605181016217e-06
1e-12,0.0001965145628187352,-0.3657286253342003,0.008826016849759477,0.374643299687754,0.3745546421861985,8.846053896338635e-06,-1.969625948130856e-08,8.846053896041343e-06,3.407977548619141e-10,-1.969625962328081e-08,8.826016849759477e-06
1e-12,0.0002002293700224893,-0.3720351966140711,0.01017667847566167,0.3823140340968156,0.3822118750900629,1.019648277061913e-05,-1.941790479578737e-08,1.019648277080616e-05,3.864051936916951e-10,-1.941790422899103e-08,1.017667847566167e-05
1e-12,0.0002040235281980372,-0.3783814741098446,0.01174325569835735,0.3902425669546894,0.3901247298076472,1.176370489824885e-05,-2.000980598373005e-08,1.176370489811424e-05,4.394157069297047e-10,-2.000980575678213e-08,1.174325569835735e-05
1e-12,0.000207931876771874,-0.384808618616083,0.01357395207661349,0.3985187107511108,0.3983825706929185,1.359422765745411e-05,-1.977816154735225e-08,1.359422765750012e-05,4.974511316370182e-10,-1.977816188603043e-08,1.357395207661349e-05
1e-12,0.0002119725308841036,-0.3913250147628801,0.01571947364205509,0.4072020972329866,0.4070444884055688,1.574046046587396e-05,-2.042227585162166e-08,1.574046046558722e-05,5.645939908272528e-10,-2.042227581489087e-08,1.571947364205509e-05
1e-12,0.0002161939378212128,-0.3979817854428145,0.01825888903987202,0.4164236747369228,0.4162406744822394,1.827977653690027e-05,-2.024893152228525e-08,1.827977653734774e-05,6.386325357069174e-10,-2.024893142049677e-08,1.825888903987202e-05
1e-12,0.000220634294772987,-0.4048040986168285,0.02128435084109601,0.4263017193872677,0.4260884494567972,2.130603401706566e-05,-2.095902994791555e-08,2.130603401716533e-05,7.241457785278394e-10,-2.095902978949127e-08,2.128435084109601e-05
1e-12,0.000225377469925974,-0.4118742753720915,0.02494487483349214,0.4370690243442124,0.4368191502052685,2.496655403666503e-05,-2.085985774365337e-08,2.49665540364591e-05,8.193451846225434e-10,-2.085985773003785e-08,2.494487483349214e-05
