Cfilter,time,V(ac),V(raw),V(out),I(D1),I(CFILTER),I(RLOAD)
1e-12,9.31413161409497e-05,0.3510250324100295,0.3510843836256762,0.005934689548923247,5.935121564770718e-06,4.32046810212961e-10,5.934689548923247e-06
1e-12,9.51742959379897e-05,0.3586763017634736,0.358745183913627,0.006887709471777984,6.888215015321553e-06,5.055883179635381e-10,6.887709471777984e-06
1e-12,9.727594440058691e-05,0.3665845019582796,0.3666645918458916,0.00800842779175423,8.008988761354363e-06,5.6103308012583e-10,8.00842779175423e-06
1e-12,9.945166827797657e-05,0.3747696901309069,0.3748629614831681,0.009326484592953904,9.32713522638906e-06,6.506333498990278e-10,9.326484592953904e-06
1e-12,0.0001017410624492251,0.3833804568843371,0.3834894642605907,0.01090001363393878,1.090073762560761e-05,7.239914839399122e-10,1.090001363393878e-05
1e-12,0.0001041585833286067,0.3924706921815836,0.3925985367093645,0.01278361847493034,1.278445277835827e-05,8.343030957722667e-10,1.278361847493034e-05
1e-12,0.0001067718111580483,0.4022938463201267,0.4024447662494627,0.01509106126537668,1.509199293370234e-05,9.31668294395967e-10,1.509106126537668e-05
1e-12,0.0001096368963083542,0.4130600337686654,0.4132396424161822,0.01795979387376781,1.79608647515872e-05,1.070877850428926e-09,1.795979387376781e-05
1e-12,0.000112889430005649,0.4252773065327201,0.4254939150554707,0.0216596480929791,2.166085227517378e-05,1.204181886412836e-09,2.16596480929791e-05
1e-12,0.0001167698397336585,0.4398461968004915,0.4401131963233389,0.0266985593641747,2.669995228493649e-05,1.392920825477473e-09,2.66985593641747e-05
1e-12,0.000122028812107601,0.4595791050441569,0.4599251066824165,0.03459855236029766,3.460016382600406e-05,1.611465899672023e-09,3.459855236029766e-05
1e-12,0.0001263172852975956,0.4756608328361042,0.476079968557894,0.0419117730043907,4.191357217936398e-05,1.799175056021374e-09,4.191177300439069e-05
1e-12,0.0001306273698716454,0.4918153788408549,0.4923153707066804,0.04999723387759547,4.9999186582661e-05,1.952705487516278e-09,4.999723387759547e-05
1e-12,0.0001353614393432051,0.5095502517438378,0.5101468151169182,0.05965421023582601,5.965633730786735e-05,2.127072704819334e-09,5.965421023582601e-05
1e-12,0.0001403822520190185,0.5283501306399617,0.5290570785727796,0.07069252333217402,7.069479328214445e-05,2.269949948577193e-09,7.069252333217402e-05
1e-12,0.0001454255984528835,0.5472257747419101,0.5480508873807701,0.08250884792962809,8.251126388636454e-05,2.415956594502765e-09,8.25088479296281e-05
1e-12,0.0001508579447822325,0.567548658019542,0.568508173012393,0.09594896705963146,9.595149928487423e-05,2.532225537876134e-09,9.594896705963147e-05
1e-12,0.000156655248777669,0.5892280213403602,0.5903379988083006,0.1109950882892665,0.0001109977467944612,2.658505062287119e-09,0.0001109950882892665
1e-12,0.0001630760287334725,0.6132293958350071,0.6145132432543385,0.1283819846177044,0.0001283847419336626,2.757315723297654e-09,0.0001283819846177045
1e-12,0.0001700980621644571,0.6394681073584455,0.6409494353468503,0.148129931589878,0.0001481327988406278,2.867250914286618e-09,0.000148129931589878
1e-12,0.000178024452407932,0.6690746475027162,0.6707865493547124,0.1711872345936676,0.0001711901851997322,2.950606373261358e-09,0.0001711872345936677
1e-12,0.0001868941132710905,0.7021916157385377,0.7041694534622296,0.1977807264688801,0.0001977837723693421,3.04590083079524e-09,0.0001977807264688801
1e-12,0.0001970755425378449,0.7401912494871902,0.7424827282091903,0.2291447570737615,0.000229147872199964,3.115126417582967e-09,0.0002291447570737615
1e-12,0.0002087036276801026,0.7835720745372217,0.7862305333538604,0.2658426848435436,0.0002658458816640064,3.196820658904231e-09,0.0002658426848435435
1e-12,0.0002222753129816321,0.8341812198239973,0.8372773447116217,0.3096092358981525,0.0003096124887630447,3.252865098727787e-09,0.0003096092358981525
1e-12,0.0002380854344967519,0.8931084097537642,0.896724267681267,0.3615824709368842,0.000361585792750807,3.321813936101398e-09,0.0003615824709368842
1e-12,0.0002568553487294607,0.9630278760674529,0.967271332565175,0.4243422843082121,0.0004243456497726728,3.365463970102681e-09,0.0004243422843082121
1e-12,0.0002768553487294607,1.037482856381333,1.042404626363882,0.4921735805894589,0.0004921769982557667,3.417665949033204e-09,0.0004921735805894589
1e-12,0.0002968553487294607,1.111889137717796,1.117496767812822,0.5607595685695266,0.0005607630095039173,3.440933016936992e-09,0.0005607595685695266
1e-12,0.0003168553487294607,1.186245488575503,1.19254479240283,0.6299269069319107,0.0006299303827328462,3.47622897909002e-09,0.0006299269069319107
1e-12,0.0003368553487294607,1.260550088199703,1.267545737366398,0.6995614290186093,0.0006995649166696705,3.487941743645557e-09,0.0006995614290186093
1e-12,0.0003568553487294607,1.334800922483955,1.34249664179464,0.7695684180210709,0.0007695719310685245,3.513244096933271e-09,0.0007695684180210709
1e-12,0.0003768553487294607,1.408995780889748,1.417394546754187,0.8398730690270428,0.0008398765864447988,3.51755320053493e-09,0.0008398730690270429
1e-12,0.0003968553487294607,1.483132239692601,1.492236495403996,0.9104220336615848,0.0009104255711400722,3.537578573087741e-09,0.0009104220336615848
1e-12,0.0004168553487294607,1.557207807786263,1.567019533112085,0.9811689953659627,0.0009811725325825638,3.537290287058493e-09,0.0009811689953659628
1e-12,0.0004368553487294607,1.631219890008824,1.641740707572174,1.05207820263305,0.00105208175633642,3.553759115645546e-09,0.00105207820263305
1e-12,0.0004568553487294607,1.705165848366299,1.716397068920238,1.123118505067088,0.001123122055395331,3.550369304150371e-09,0.001123118505067088
1e-12,0.0004768553487294607,1.779042988657812,1.790985669850964,1.194264555036595,0.001194268119315556,3.56431161295053e-09,0.001194264555036595
1e-12,0.0004968553487294607,1.852848589267468,1.865503565734102,1.265494087988652,0.001265497646664171,3.558701422033067e-09,0.001265494087988652
1e-12,0.0005168553487294608,1.926579896550592,1.93994781473072,1.336788247271313,0.001336791818014049,3.570762060516067e-09,0.001336788247271313
1e-12,0.0005368553487294608,2.000234139343424,2.014315477909334,1.408130293128343,0.001408133856590776,3.563480884785693e-09,0.001408130293128343
1e-12,0.0005568553487294609,2.073808527481111,2.088603619361942,1.479505614014933,0.001479509188082595,3.574082454488639e-09,0.001479505614014933
1e-12,0.0005768553487294609,2.147300259852869,2.162809306319919,1.550901081227777,0.001550904646705487,3.565489993710698e-09,0.001550901081227777
1e-12,0.000596855348729461,2.220706523847682,2.236929609269804,1.622304967301737,0.001622308542212902,3.574919973590603e-09,0.001622304967301737
1e-12,0.000616855348729461,2.29402450038024,2.310961602068954,1.693706603617174,0.001693710168872986,3.565261543639549e-09,0.001693706603617174
1e-12,0.0006368553487294611,2.36725136346616,2.384902362061053,1.765096285774896,0.001765099859492025,3.573721758139589e-09,0.001765096285774896
1e-12,0.0006568553487294611,2.440384283759414,2.458748970191506,1.836465080045691,0.001836468643210409,3.563170483973898e-09,0.001836465080045691
1e-12,0.0006768553487294612,2.513420428007632,2.532498511122668,1.907804740703131,0.001907808311505388,3.57080653633079e-09,0.001907804740703131
1e-12,0.0006968553487294612,2.586356961818061,2.606148073348942,1.97910759360557,0.001979111153089796,3.559488174574505e-09,0.00197910759360557
1e-12,0.0007168553487294613,2.659191048943979,2.679694749311722,2.050366470370848,0.002050370036774662,3.566407647857134e-09,0.002050366470370847
1e-12,0.0007368553487294613,2.7319198536267,2.75313563551417,2.121574634336291,0.002121578188747364,3.554415828910019e-09,0.002121574634336291
1e-12,0.0007568553487294614,2.804540539729399,2.826467832635852,2.192725729950501,0.002192729290646511,3.560699915937312e-09,0.002192725729950501
1e-12,0.0007768553487294614,2.877050272831747,2.899688445647189,2.26381373344193,0.002263817281544789,3.548105857878447e-09,0.00226381373344193
1e-12,0.0007968553487294615,2.949446219242563,2.972794583923754,2.334832914304614,0.002334836468118606,3.553817007488914e-09,0.002334832914304614
1e-12,0.0008168553487294616,3.021725547941644,3.045783361360386,2.40577780120243,0.002405781341876523,3.540675909429236e-09,0.00240577780120243
1e-12,0.0008368553487294616,3.093885429500615,3.118651896485128,2.476643152591255,0.002476646698452711,3.545862982361786e-09,0.002476643152591255
1e-12,0.0008568553487294617,3.16592303792589,3.191397312572983,2.547423932493024,0.002547427464709706,3.532218351496734e-09,0.002547423932493024
1e-12,0.0008768553487294617,3.237835549511464,3.264016737759486,2.618115287885439,0.002618118824804228,3.536920176770153e-09,0.002618115287885438
1e-12,0.0008968553487294618,3.309620144614644,3.336507305154074,2.688712531138968,0.002688716053944606,3.522806829028238e-09,0.002688712531138968
1e-12,0.0009168553487294618,3.381274006458781,3.40886615295327,2.759211122395936,0.002759214649450392,3.527054707601464e-09,0.002759211122395936
1e-12,0.0009368553487294619,3.452794322862091,3.481090424553661,2.829606656659657,0.002829610169157171,3.51250089346859e-09,0.002829606656659657
1e-12,0.0009568553487294619,3.524178285002879,3.553177268664672,2.899894849862782,0.002899898366179876,3.516320393764613e-09,0.002899894849862782
1e-12,0.000976855348729462,3.595423089114718,3.625123839421129,2.970071529293755,0.002970075030643837,3.501349332925209e-09,0.002970071529293755
1e-12,0.000996855348729462,3.666525935223904,3.696927296495614,3.04013262241342,0.003040136127172577,3.504761600367011e-09,0.00304013262241342
1e-12,0.001016855348729462,3.737484028819409,3.768584805210587,3.110074149728193,0.00311007763911908,3.489392608386819e-09,0.003110074149728193
1e-12,0.001036855348729462,3.80829457956943,3.840093536650299,3.179892215672925,0.003179895708087521,3.492415335131615e-09,0.003179892215672925
1e-12,0.001056855348729462,3.878954802972734,3.911450667772479,3.24958300331131,0.003249586479974198,3.476664663292652e-09,0.00324958300331131
1e-12,0.001076855348729462,3.949461919058789,3.982653381519771,3.31914276678762,0.003319146246101301,3.479312816497272e-09,0.00331914276678762
1e-12,0.001096855348729462,4.019813154024908,4.053698866930956,3.388567827412485,0.003388571290603437,3.463194286260924e-09,0.003388567827412485
1e-12,0.001116855348729462,4.090005738923945,4.124584319251918,3.457854567318825,0.003457858032800409,3.465480662019279e-09,0.003457854567318825
1e-12,0.001136855348729462,4.160036911290217,4.195306940046375,3.526999426611725,0.003527002875620688,3.449006150454481e-09,0.003526999426611725
1e-12,0.001156855348729462,4.229903913817356,4.265863937306356,3.595998897957721,0.003596002348897898,3.45094180007849e-09,0.003595998897957721
1e-12,0.001176855348729462,4.299603995975604,4.336252525562422,3.66484952456191,0.003664852958684683,3.434121615402462e-09,0.00366484952456191
1e-12,0.001196855348729463,4.369134412681628,4.406469925993631,3.733547895487574,0.003733551331204232,3.435716177020523e-09,0.003733547895487574
1e-12,0.001216855348729463,4.438492425908847,4.476513366537247,3.802090644282865,0.003802094062841377,3.418559352208344e-09,0.003802090644282865
1e-12,0.001236855348729463,4.50767530335118,4.546380081998171,3.870474444877682,0.003870477864698074,3.419821311319918e-09,0.003870474444877682
1e-12,0.001256855348729463,4.576680320027512,4.616067314158107,3.938696010725139,0.003938699413059688,3.402335835839186e-09,0.003938696010725139
1e-12,0.001276855348729463,4.645504756940194,4.685572311884454,4.006752091158027,0.00400675549442564,3.403272731820533e-09,0.004006752091158027
1e-12,0.001296855348729463,4.714145902674846,4.754892331238912,4.074639470942039,0.004074642856410904,3.385465736141822e-09,0.004074639470942039
1e-12,0.001316855348729463,4.782601052054977,4.824024635585813,4.142354967001816,0.004142358353087516,3.386084327501228e-09,0.004142354967001815
1e-12,0.001336855348729463,4.850867507737499,4.892966495700153,4.20989542830563,0.004209898796267986,3.367962231269828e-09,0.004209895428305631
1e-12,0.001356855348729463,4.918942578863774,4.961715189875345,4.277257732890147,0.00427726110115767,3.368268628658404e-09,0.004277257732890147
1e-12,0.001376855348729463,4.986823582652139,5.030268004030656,4.344438788014878,0.004344442137855786,3.349837260507237e-09,0.004344438788014879
1e-12,0.001396855348729463,5.054507843045696,5.098622231818368,4.411435527430114,0.004411438877269802,3.349837034863537e-09,0.004411435527430113
1e-12,0.001416855348729463,5.121992692302063,5.166775174730606,4.478244911751684,0.004478248242856253,3.331101730058003e-09,0.004478244911751684
1e-12,0.001436855348729463,5.18927546963864,5.234724142205884,4.544863925928632,0.004544867256726093,3.330800000898974e-09,0.004544863925928632
1e-12,0.001456855348729463,5.256353522819679,5.30246645173531,4.611289579798939,0.004611292891563146,3.311765681340695e-09,0.004611289579798939
1e-12,0.001476855348729463,5.323224206799587,5.369999428968497,4.677518905722243,0.00467752221689377,3.311167189483963e-09,0.004677518905722243
1e-12,0.001496855348729463,5.389884885307927,5.437320407819142,4.743548959285631,0.004743552251125216,3.291838429834779e-09,0.004743548959285631
1e-12,0.001516855348729463,5.456332929490106,5.50442673057027,4.809376817072458,0.004809380108019568,3.290947597409604e-09,0.004809376817072458
1e-12,0.001536855348729463,5.522565719490982,5.571315747979162,4.874999577493463,0.00487500284882092,3.271328679850562e-09,0.004874999577493462
1e-12,0.001556855348729463,5.588580643093812,5.637984819381944,4.940414358669726,0.004940417628818139,3.270149660454207e-09,0.004940414358669726
1e-12,0.001576855348729464,5.654375097301743,5.704431312797833,5.005618299367775,0.005005621549614148,3.250244620401835e-09,0.005005618299367775
1e-12,0.001596855348729464,5.719946486975478,5.770652605033046,5.070608556978562,0.005070611805759739,3.248781340878514e-09,0.005070608556978562
1e-12,0.001616855348729464,5.785292226412996,5.83664608178435,5.13538230854011,0.005135385537133885,3.228594005344452e-09,0.00513538230854011
1e-12,0.001636855348729464,5.850409737985798,5.902409137742286,5.19993674879716,0.005199939975648604,3.226850200970337e-09,0.005199936748797159
1e-12,0.001656855348729464,5.915296453717219,5.967939176694006,5.264269091297944,0.00526427229768256,3.206384220858334e-09,0.005264269091297944
1e-12,0.001676855348729464,5.979949813916932,6.033233611625778,5.328376566521683,0.00532837977088807,3.204363464961134e-09,0.005328376566521684
1e-12,0.001696855348729464,6.044367268758493,6.098289864825114,5.392256423038759,0.005392259606664673,3.183622342411708e-09,0.005392256423038759
1e-12,0.001716855348729464,6.108546276912333,6.163105367982531,5.455905925695947,0.00545590910701943,3.181328071666246e-09,0.005455905925695947
1e-12,0.001736855348729464,6.17248430712156,6.227677562292948,5.519322356829598,0.005519325517142626,3.160315183195824e-09,0.005519322356829598
1e-12,0.001756855348729464,6.236178836834219,6.292003898556699,5.582503014500792,0.005582506172250312,3.157750718977951e-09,0.005582503014500792
1e-12,0.001776855348729464,6.299627353777952,6.356081837280169,5.645445213754289,0.005645448350222182,3.136469335373765e-09,0.005645445213754289
1e-12,0.001796855348729464,6.362827354590761,6.419908848776059,5.708146284895657,0.005708149418532926,3.133637902060615e-09,0.005708146284895656
1e-12,0.001816855348729464,6.425776346394493,6.483482413263243,5.770603574789382,0.005770606686876789,3.112091205226495e-09,0.005770603574789382
1e-12,0.001836855348729464,6.488471845424632,6.546800020966252,5.832814445172493,0.005832817554165537,3.108995945927048e-09,0.005832814445172494
1e-12,0.001856855348729464,6.550911378602654,6.609859172214351,5.894776273986375,0.005894779361170777,3.087187043529258e-09,0.005894776273986375
1e-12,0.001876855348729464,6.613092482164713,6.672657377540224,5.956486453721648,0.005956489537557452,3.083831033557459e-09,0.005956486453721647
