case,vin,v(c1),v(tail),v(vn),v(c2),v(in),v(vp),i(vp),i(vin),ic(q2),ib(q2),i(rt),i(rc2),i(vn),ic(q1),ib(q1),i(rc1)
1,-0.09200000000000001,11.71583249904411,-0.6716612828638073,-12.0,2.837546554613283,-0.09200000000000001,12.0,-0.002009919350315138,-3.604951622964223e-07,0.001949458179629329,1.263778264144381e-05,0.002022917628060034,0.001949458179869514,0.002022917628118882,6.046117068581249e-05,3.604951622964228e-07,6.046117041614722e-05
1,-0.09000000000000001,11.69385219717764,-0.6715938770399099,-12.0,2.859447143617103,-0.09000000000000001,12.0,-0.00200993631046921,-3.884636124581876e-07,0.001944798480081481,1.260489073263244e-05,0.002022929664814302,0.001944798480081467,0.002022929664814302,6.513783038773696e-05,3.884636124581892e-07,6.51378303877367e-05
1,-0.08800000000000001,11.67024235765416,-0.671521310244535,-12.0,2.88297135665033,-0.08800000000000001,12.0,-0.002009954528871377,-4.185183557084854e-07,0.001939793328372266,1.256957594352961e-05,0.002022942623170619,0.00193979332837227,0.002022942623170619,7.016120049911446e-05,4.185183557084864e-07,7.016120049911516e-05
1,-0.08600000000000001,11.64489330661094,-0.6714432076412623,-12.0,2.908228467731078,-0.08600000000000001,12.0,-0.002009974090565527,-4.508018150521785e-07,0.001934419474950831,1.253167768348505e-05,0.00202295657006406,0.001934419474950834,0.00202295657006406,7.555461561469278e-05,4.508018150521784e-07,7.555461561469345e-05
1,-0.084,11.61768972555346,-0.6713591707494353,-12.0,2.935333374564891,-0.084,12.0,-0.002009995085081207,-4.854640734119885e-07,0.001928652473496838,1.249102749727513e-05,0.002022971576651887,0.001928652473496832,0.002022971576651887,8.134261158437077e-05,4.854640734119903e-07,8.134261158437033e-05
1,-0.082,11.58851063420054,-0.6712687760665469,-12.0,2.964406615346547,-0.082,12.0,-0.002010017606479356,-5.226629594371763e-07,0.001922466677585859,1.244744912074825e-05,0.002022987718559545,0.001922466677585841,0.002022987718559545,8.755092889350334e-05,5.226629594371775e-07,8.755092889350317e-05
1,-0.08000000000000002,11.5572294259428,-0.671171574049814,-12.0,2.995574333236732,-0.08000000000000002,12.0,-0.002010041753366076,-5.625640749840484e-07,0.001915835248247516,1.240075862147437e-05,0.002023005076062533,0.001915835248247504,0.002023005076062533,9.420650511855365e-05,5.625640749840476e-07,9.420650511855308e-05
1,-0.07800000000000001,11.52371396326675,-0.6710670881417543,-12.0,3.028968181046906,-0.07800000000000001,12.0,-0.002010067628869429,-6.053407536065156e-07,0.001908730174245334,1.235076463736135e-05,0.002023023734260401,0.001908730174245339,0.002023023734260401,0.0001013374546240967,6.053407536065195e-07,0.0001013374546240967
1,-0.07600000000000001,11.48782674240442,-0.6709548138559136,-12.0,3.064725156896742,-0.07600000000000001,12.0,-0.002010095340574204,-6.511739384857535e-07,0.001901122307043228,1.229726872732927e-05,0.002023043783240015,0.001901122307043246,0.002023043783240016,0.0001089730335309747,6.511739384857504e-07,0.0001089730335309755
1,-0.07400000000000001,11.44942513703118,-0.6708342179406938,-12.0,3.10298736104707,-0.07400000000000001,12.0,-0.002010125000408884,-7.002519673816155e-07,0.001892981412543176,1.224006584860245e-05,0.002023065318224876,0.001892981412543176,0.002023065318224876,0.0001171435878657067,7.00251967381611e-07,0.000117143587865707
1,-0.07200000000000001,11.40836173128187,-0.6707047376410418,-12.0,3.143901663663257,-0.07200000000000001,12.0,-0.002010156724479785,-7.527702514345884e-07,0.001884276241773794,1.217894497574539e-05,0.002023088439706957,0.001884276241773775,0.002023088439706957,0.0001258804827059865,7.527702514345834e-07,0.0001258804827059848
1,-0.07,11.36448475264646,-0.6705657800794653,-12.0,3.187619272973279,-0.07,12.0,-0.002010190632846856,-8.089308340528583e-07,0.001874974622771637,1.211368987632079e-05,0.002023113253557238,0.001874974622771643,0.002023113253557239,0.0001352160100752202,8.089308340528589e-07,0.0001352160100752213
1,-0.068,11.31763861539165,-0.6704167217794622,-12.0,3.23429519319518,-0.068,12.0,-0.002010226849236837,-8.689418157431845e-07,0.001865043575915911,1.204408005823018e-05,0.00202313987111081,0.001865043575915919,0.00202313987111081,0.0001451832733209218,8.689418157431842e-07,0.0001451832733209249
1,-0.066,11.26766458498258,-0.670256908355831,-12.0,3.284087561781604,-0.066,12.0,-0.002010265500688471,-9.330166306121749e-07,0.001854449454940079,1.196989190309356e-05,0.002023168409222173,0.001854449454940084,0.002023168409222173,0.0001558160457483869,9.330166306121733e-07,0.0001558160457483881
1,-0.064,11.21440157349173,-0.6700856543974621,-12.0,3.337156856009557,-0.064,12.0,-0.002010306717127373,-1.001373160500562e-06,0.001843158115742639,1.189089999829705e-05,0.002023198990286167,0.001843158115742648,0.002023198990286168,0.0001671486013847386,1.001373160500563e-06,0.0001671486013847377
1,-0.062,11.15768707512337,-0.6699022435689593,-12.0,3.393664959799565,-0.062,12.0,-0.002010350630867453,-1.074232673345218e-06,0.00183113511493625,1.180687867904083e-05,0.002023231742219829,0.001831135114936263,0.002023231742219829,0.0001792155159311983,1.074232673345221e-06,0.0001792155159311979
1,-0.06,11.0973582496924,-0.6697059289577516,-12.0,3.453774082928533,-0.06,12.0,-0.002010397376038113,-1.151818573477906e-06,0.001818345939802442,1.171760378882277e-05,0.002023266798400401,0.00181834593980244,0.002023266798400401,0.0001920514362356609,1.151818573477901e-06,0.0001920514362356592
1,-0.058,11.03325316012471,-0.669495933693099,-12.0,3.517645526566668,-0.058,12.0,-0.002010447087938006,-1.234354953253649e-06,0.001804756270943266,1.162285466354732e-05,0.002023304297554804,0.001804756270943262,0.002023304297554804,0.0002056908169947433,1.234354953253644e-06,0.0002056908169947421
1,-0.05599999999999999,10.96521216774511,-0.6692714518625104,-12.0,3.585438291360049,-0.05599999999999999,12.0,-0.002010499902318043,-1.322064937706641e-06,0.001790332278434033,1.152241634022453e-05,0.00202334438359598,0.001790332278434032,0.00202334438359598,0.0002201676238840163,1.322064937706639e-06,0.0002201676238840189
1,-0.05400000000000002,10.89307948625472,-0.6690316497494874,-12.0,3.657307527131394,-0.05400000000000002,12.0,-0.002010555954598685,-1.415168816923048e-06,0.001775040951674163,1.141608198625919e-05,0.002023387205401878,0.001775040951674171,0.002023387205401878,0.0002355150029245259,1.415168816923046e-06,0.0002355150029245269
1,-0.05200000000000002,10.81670489185763,-0.6687756674140956,-12.0,3.733402826705117,-0.05200000000000002,12.0,-0.002010615379029194,-1.513881964507196e-06,0.001758850462403155,1.130365553948749e-05,0.002023432916533197,0.001758850462403167,0.002023432916533197,0.0002517649166260356,1.513881964507195e-06,0.0002517649166260363
1,-0.05000000000000002,10.73594558298118,-0.6685026206346132,-12.0,3.813866370361609,-0.05000000000000002,12.0,-0.002010678307799408,-1.618412545040807e-06,0.001741730559497534,1.11849545422268e-05,0.002023481674886676,0.00174173055949753,0.002023481674886676,0.0002689477483018761,1.61841254504081e-06,0.0002689477483018772
1,-0.04800000000000001,10.65066817847902,-0.6682116032243929,-12.0,3.898830931970195,-0.04800000000000001,12.0,-0.002010744870117208,-1.728959018540893e-06,0.001723652993197838,1.105981314561037e-05,0.002023533642281358,0.001723652993197831,0.002023533642281358,0.0002870918769193612,1.728959018540885e-06,0.0002870918769193568
1,-0.04600000000000001,10.56075083817799,-0.6679016897330821,-12.0,3.988417762862014,-0.04600000000000001,12.0,-0.002010815191268089,-1.84570745591706e-06,0.001704591965348517,1.092808525223767e-05,0.002023588983976235,0.001704591965348508,0.002023588983976236,0.000306223225919575,1.845707455917057e-06,0.0003062232259195759
1,-0.04400000000000001,10.46608548422933,-0.6675719385355402,-12.0,4.082734374894159,-0.04400000000000001,12.0,-0.002010889391675864,-1.968828685824752e-06,0.001684524601086346,1.078964775697017e-05,0.002023647868118654,0.001684524601086349,0.002023647868118654,0.0003263647905895076,1.968828685824746e-06,0.000326364790589505
1,-0.04200000000000001,10.36658009609032,-0.667221395305264,-12.0,4.181872249776376,-0.04200000000000001,12.0,-0.002010967585985808,-2.098475300440738e-06,0.001663431436217789,1.064440383781169e-05,0.00202371046512406,0.001663431436217792,0.00202371046512406,0.0003475361497680153,2.098475300440728e-06,0.0003475361497680165
1,-0.04000000000000001,10.26216104627372,-0.6668490968619808,-12.0,4.285904507413647,-0.04000000000000001,12.0,-0.002011049882194174,-2.234778554841766e-06,0.001641296913316245,1.049228623991184e-05,0.002023776946988932,0.001641296913316245,0.002023776946988932,0.000369752968877935,2.234778554841764e-06,0.0003697529688779312
1,-0.03800000000000001,10.15277543846714,-0.6664540753755055,-12.0,4.394883571545734,-0.03800000000000001,12.0,-0.002011136380848328,-2.377845202292357e-06,0.001618109878394524,1.033326048947793e-05,0.002023847486540088,0.001618109878394525,0.002023847486540089,0.0003930265024537979,2.377845202292358e-06,0.0003930265024537993
1,-0.036,10.03839340448887,-0.6660353629001675,-12.0,4.508838876096604,-0.036,12.0,-0.00201122717434352,-2.527754314755591e-06,0.001593864068915618,1.016732796670376e-05,0.00202392225662497,0.001593864068915616,0.00202392225662497,0.0004173631054278988,2.527754314755574e-06,0.0004173631054278992
1,-0.034,9.919010312069119,-0.6655919962063424,-12.0,4.62777466012983,-0.034,12.0,-0.002011322346340631,-2.684554145041411e-06,0.00156855858295109,9.994528763183398e-06,0.002024001429248867,0.0015685585829511,0.002024001429248868,0.0004427637633895435,2.684554145041408e-06,0.0004427637633895491
