case,time,v(out),v(sum),v(vn),v(in),v(vp),i(vp),i(vin),i(rf),i(rl),i(vn),i(ri)
1,0.0020049000000000026,-0.06096350157469039,0.0002006610878828551,-12.0,0.03078274442578036,12.0,-0.00114293767351755,-3.058208333789751e-06,-3.058208133128662e-06,-6.09635015746904e-06,0.001152091620256003,3.05820833378975e-06
1,0.0020051000000000027,-0.06347555135187503,0.0002006557650300021,-12.0,0.03203876133004017,12.0,-0.001142748689569279,-3.183810556501018e-06,-3.183810355845252e-06,-6.347555135187504e-06,0.00115227941830054,3.183810556501017e-06
1,0.002005300000000003,-0.06598750089224907,0.0002006501253991044,-12.0,0.03329472764072444,12.0,-0.001142559689114414,-3.309407751532535e-06,-3.309407550882409e-06,-6.598750089224908e-06,0.001152467184788127,3.309407751532534e-06
1,0.002005500000000003,-0.06849934622910771,0.0002006441689957478,-12.0,0.03455064137448916,12.0,-0.001142370672454295,-3.434999720549342e-06,-3.434999519905173e-06,-6.849934622910771e-06,0.001152654919425142,3.434999720549342e-06
1,0.002005700000000003,-0.07101108339590208,0.0002006378958312564,-12.0,0.03580650054807689,12.0,-0.001142181639890403,-3.560586265224562e-06,-3.560586064586667e-06,-7.101108339590208e-06,0.001152842621918118,3.560586265224564e-06
1,0.002005900000000003,-0.07352270842625483,0.000200631305913683,-12.0,0.03706230317831101,12.0,-0.001141992591724355,-3.686167187239734e-06,-3.686166986608426e-06,-7.352270842625484e-06,0.001153030291973762,3.686167187239733e-06
1,0.0020061000000000033,-0.07603421735396564,0.0002006243992551636,-12.0,0.03831804728210955,12.0,-0.001141803528257905,-3.811742288285439e-06,-3.81174208766104e-06,-7.603421735396564e-06,0.001153217929298933,3.811742288285439e-06
1,0.0020063000000000034,-0.07854560621302442,0.0002006171758659712,-12.0,0.03957373087648294,12.0,-0.001141614449792944,-3.937311370061696e-06,-3.93731116944452e-06,-7.854560621302443e-06,0.001153405533600662,3.937311370061697e-06
1,0.0020065000000000035,-0.0810568710376013,0.0002006096357565455,-12.0,0.04082935197853182,12.0,-0.001141425356631497,-4.06287423427753e-06,-4.062874033667893e-06,-8.10568710376013e-06,0.001153593104586143,4.062874234277528e-06
1,0.0020067000000000036,-0.08356800786206554,0.0002006017789402056,-12.0,0.04208490860546087,12.0,-0.001141236249075727,-4.188430682652067e-06,-4.188430482050287e-06,-8.356800786206555e-06,0.00115378064196273,4.188430682652066e-06
