case,time,v(out),v(sum),v(vn),v(drive),v(in),v(vp),i(vp),i(vin),i(rf),i(d1),i(vn),i(ri),i(d2),i(rl)
1,0.002,0.0005510765966999508,7.352382557122788e-05,-12.0,0.1919944038383984,-9.797174393178826e-18,12.0,-0.001147391321005503,7.352382543899823e-09,4.775527711287229e-08,1.028629367794132e-07,0.001147330784717444,-7.352382557123769e-09,4.040282103189464e-08,5.510765966999508e-08
1,0.00200002,0.0005492324835056556,7.360886141795889e-05,-12.0,0.1919018503719769,2.513274116272789e-06,12.0,-0.001147391262666528,7.109558729666616e-09,4.756236220876968e-08,1.024856104148153e-07,0.0011473311526866,-7.10955873016861e-09,4.045272986974002e-08,5.492324835056556e-08
1,0.00200006,0.0005455533073424185,7.377736983644433e-05,-12.0,0.191716532327587,7.539822190014769e-06,12.0,-0.001147391146493402,6.623754764411367e-09,4.717759375059742e-08,1.017329244457077e-07,0.001147331888377755,-6.623754764642956e-09,4.055376520855389e-08,5.455533073424186e-08
1,0.00200014,0.0005382072400454893,7.411833842790343e-05,-12.0,0.1913446197057135,1.759291659126084e-05,12.0,-0.001147390916196094,5.652542181117927e-09,4.640889016175859e-08,1.002296143304271e-07,0.00114733336017319,-5.652542183664259e-09,4.07562738598136e-08,5.382072400454893e-08
1,0.0020003,0.0005235641624457386,7.48053839145048e-05,-12.0,0.1905956429086401,3.769908951857856e-05,12.0,-0.001147390463278287,3.710629447190798e-09,4.487587785312339e-08,9.723229416058743e-08,0.001147336305970354,-3.710629439592624e-09,4.116517360811661e-08,5.235641624457386e-08
1,0.0020005,0.0005053593334887253,7.567650682076305e-05,-12.0,0.1896496615734048,6.283174971761309e-05,12.0,-0.001147389912008833,1.284475769158735e-09,4.296828266679623e-08,9.350421589782165e-08,0.00114733999185682,-1.284475710314996e-09,4.168373128003028e-08,5.053593334887253e-08
1,0.0020007000000000002,0.0004872652625203591,7.656084935680615e-05,-12.0,0.188692683993103,8.796431069670298e-05,12.0,-0.00114738937728407,-1.140346063261375e-09,4.10704413163553e-08,8.979696750066601e-08,0.001147343681770852,1.140346133989684e-09,4.221071088954329e-08,4.872652625203592e-08
1,0.0020009000000000003,0.0004692837655607808,7.745900806764614e-05,-12.0,0.187724540770304,0.000113096732768175,12.0,-0.001147388859229161,-3.563772401127682e-09,3.918247574931346e-08,8.6110852337562e-08,0.001147347375591171,3.563772470052887e-09,4.274617076043062e-08,4.692837655607809e-08
1,0.0020011000000000004,0.0004514161943942812,7.837081838600978e-05,-12.0,0.1867450598012131,0.0001382289762445397,12.0,-0.001147388357904452,-5.985815718851371e-09,3.730453760082714e-08,8.244615698482782e-08,0.001147351073252225,5.985815785852997e-09,4.329027501589675e-08,4.514161943942812e-08
1,0.0020013000000000006,0.0004336643470098687,7.929671168994052e-05,-12.0,0.1857540673107701,0.0001633610014383767,12.0,-0.001147387873415018,-8.4064289099584e-09,3.543676353199282e-08,7.880319841113703e-08,0.001147354774630737,8.406428974843617e-09,4.384311321016022e-08,4.336643470098687e-08
