case,frequency_real,frequency_imag,v(d1)_real,v(d1)_imag,v(fb)_real,v(fb)_imag,v(tail)_real,v(tail)_imag,v(vn)_real,v(vn)_imag,v(d2)_real,v(d2)_imag,v(in)_real,v(in)_imag,v(out)_real,v(out)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,id(j2)_real,id(j2)_imag,i(it)_real,i(it)_imag,i(rd2)_real,i(rd2)_imag,i(rf)_real,i(rf)_imag,i(cf)_real,i(cf)_imag,i(vn)_real,i(vn)_imag,id(j1)_real,id(j1)_imag,i(rd1)_real,i(rd1)_imag,i(rg)_real,i(rg)_imag
1,14.67799267622069,0.0,-1.0047365452942e-06,1.713492986180416e-05,0.9999995936540742,-7.965918012148514e-06,0.9980898726472403,-3.939565872414823e-06,0.0,0.0,1.009360131476456e-06,2.009087414521585e-05,1.0,0.0,1.999999188313649,-1.584782226560264e-05,0.0,0.0,-0.0004999897235642148,1.333133823447281e-08,-1.002116014566983e-12,-8.401410579906995e-11,-5.046810751536048e-10,-1.004545716348207e-08,0.0,0.0,-5.046800657382278e-10,-1.004543707260792e-08,0.0009999995946595745,-7.881904253454127e-09,3.041819404177414e-13,1.844491136482057e-08,-0.0004999897303663153,-5.281563825487404e-09,5.026734588183646e-10,9.877429298988614e-09,5.023682726470998e-10,-8.56746493090208e-09,0.0009999995936540741,-7.965918012148514e-09
1,15.25222956539018,0.0,-1.004712899992348e-06,1.780528779364558e-05,0.9999995936440347,-8.27756307677387e-06,0.9980898726422774,-4.093690765369091e-06,0.0,0.0,1.009385624861636e-06,2.087687542740269e-05,1.0,0.0,1.999999188293857,-1.64678255830641e-05,0.0,0.0,-0.0004999897235468953,1.385289089911455e-08,-1.002132359081208e-12,-8.730093117213448e-11,-5.046938219753982e-10,-1.043845859057677e-08,0.0,0.0,-5.046928124308181e-10,-1.043843771370135e-08,0.000999999594649822,-8.190262506290229e-09,3.28448104084579e-13,1.916651879103157e-08,-0.0004999897303735873,-5.488190770068281e-09,5.026859026810367e-10,1.026385708892099e-08,5.023564499961739e-10,-8.90264389682279e-09,0.0009999995936440347,-8.27756307677387e-09
1,15.84893192461113,0.0,-1.00468736883111e-06,1.850187167212518e-05,0.9999995936331946,-8.60140041428525e-06,0.9980898726369188,-4.25384537920371e-06,0.0,0.0,1.00941315128722e-06,2.169362689051283e-05,1.0,0.0,1.999999188272485,-1.711208485864871e-05,0.0,0.0,-0.0004999897235282297,1.439484790553197e-08,-1.002150007481707e-12,-9.071634472604267e-11,-5.047075851588012e-10,-1.08468351388833e-08,0.0,0.0,-5.047065756436097e-10,-1.084681344525641e-08,0.0009999995946392908,-8.510684444363458e-09,3.546501048958236e-13,1.991635716216972e-08,-0.0004999897303814421,-5.70290143674061e-09,5.026993389664733e-10,1.066540282423546e-08,5.023436844155549e-10,-9.250935836062592e-09,0.0009999995936331946,-8.60140041428525e-09
1,16.46897865482867,0.0,-1.004659800330375e-06,1.922570751668975e-05,0.99999959362149,-8.93790701448437e-06,0.9980898726311328,-4.420265610489728e-06,0.0,0.0,1.0094428715135e-06,2.25423315524608e-05,1.0,0.0,1.999999188249411,-1.778154904131491e-05,0.0,0.0,-0.0004999897235079959,1.495800751857929e-08,-1.002169063786218e-12,-9.426537712666833e-11,-5.047224455522617e-10,-1.127118831856195e-08,0.0,0.0,-5.047214357567498e-10,-1.12711657762304e-08,0.0009999995946279206,-8.84364202683054e-09,3.829423745737138e-13,2.069553093783382e-08,-0.0004999897303898521,-5.926012079333993e-09,5.027138470162506e-10,1.108265795378144e-08,5.023299001651877e-10,-9.612853758344873e-09,0.00099999959362149,-8.937907014484371e-09
1,17.11328304161779,0.0,-1.004630031534476e-06,1.997786148702964e-05,0.9999995936088516,-9.287578528112612e-06,0.9980898726248854,-4.593196584615384e-06,0.0,0.0,1.009474964952517e-06,2.34242394959928e-05,1.0,0.0,1.999999188224494,-1.847720420509004e-05,0.0,0.0,-0.0004999897234862216,1.554319923307054e-08,-1.002189640310513e-12,-9.795325585112339e-11,-5.047384923331024e-10,-1.171214317223589e-08,0.0,0.0,-5.047374824762585e-10,-1.17121197479964e-08,0.0009999995946156426,-9.18962567697743e-09,4.13491664656165e-13,2.15051877866259e-08,-0.0004999897303990114,-6.157851324256742e-09,5.027295120190131e-10,1.151623706524958e-08,5.023150157672382e-10,-9.988930743514823e-09,0.0009999995936088516,-9.287578528112611e-09
1,17.78279410038921,0.0,-1.004597888452943e-06,2.075944145345802e-05,0.9999995935952047,-9.650929996909885e-06,0.9980898726181393,-4.772893016838645e-06,0.0,0.0,1.009509619009918e-06,2.434064970997109e-05,1.0,0.0,1.99999918819759,-1.920007500148844e-05,0.0,0.0,-0.000499989723462671,1.615128499556636e-08,-1.002211858330372e-12,-1.017854128874669e-10,-5.047558191730028e-10,-1.217034919563525e-08,0.0,0.0,-5.047548095049592e-10,-1.217032485498555e-08,0.0009999995946023855,-9.549145004578554e-09,4.464780293120617e-13,2.23465202765869e-08,-0.0004999897304088646,-6.39876065453921e-09,5.027464272237711e-10,1.196677879041645e-08,5.022989442264713e-10,-1.037972072672901e-08,0.0009999995935952048,-9.650929996909886e-09
1,18.47849797422289,0.0,-1.004563181812112e-06,2.157159862872586e-05,0.9999995935804695,-1.002849661223513e-05,0.9980898726108554,-4.959619587464994e-06,0.0,0.0,1.009547037078562e-06,2.529291200269385e-05,1.0,0.0,1.99999918816854,-1.995122616875146e-05,0.0,0.0,-0.0004999897234372608,1.678316047396353e-08,-1.002235848796369e-12,-1.057674927356438e-10,-5.047745281063989e-10,-1.264648129425893e-08,0.0,0.0,-5.04773518539281e-10,-1.264645600134692e-08,0.0009999995945880705,-9.922729556516335e-09,4.82095886560792e-13,2.322076763176605e-08,-0.0004999897304195089,-6.649094912812962e-09,5.027646911768787e-10,1.243494674580449e-08,5.022815909060558e-10,-1.078579931436293e-08,0.0009999995935804696,-1.002849661223513e-08
1,19.201419386388,0.0,-1.00452570431503e-06,2.241552926367823e-05,0.9999995935645593,-1.042083450336584e-05,0.9980898726029906,-5.153651331703048e-06,0.0,0.0,1.009587440314874e-06,2.628242899006861e-05,1.0,0.0,1.999999188137174,-2.073176410013273e-05,0.0,0.0,-0.0004999897234098521,1.743975637674802e-08,-1.002261753105681e-12,-1.099053607214398e-10,-5.047947292407976e-10,-1.314124077746329e-08,0.0,0.0,-5.047937201574371e-10,-1.31412144950343e-08,0.0009999995945726146,-1.031092959676689e-08,5.20555164150751e-13,2.41292175575113e-08,-0.0004999897304310413,-6.909222823972565e-09,5.027844113464881e-10,1.292143051014291e-08,5.022628521575151e-10,-1.120776463183911e-08,0.0009999995935645594,-1.042083450336584e-08
1,19.95262314968878,0.0,-1.004485239158234e-06,2.329247640924814e-05,0.9999995935473791,-1.082852155663755e-05,0.9980898725944979,-5.355274044772152e-06,0.0,0.0,1.009631064086136e-06,2.731065816156726e-05,1.0,0.0,1.999999188103304,-2.154283847353778e-05,0.0,0.0,-0.0004999897233802092,1.812203982386563e-08,-1.002289723935473e-12,-1.142051116356976e-10,-5.048165418926478e-10,-1.365535639144179e-08,0.0,0.0,-5.04815532043068e-10,-1.365532908078363e-08,0.000999999594555925,-1.071431691690023e-08,5.62082536850478e-13,2.507320813716924e-08,-0.0004999897304434342,-7.179527538278076e-09,5.028057063002713e-10,1.342694664006877e-08,5.022426195791171e-10,-1.164623820462407e-08,0.0009999995935473791,-1.082852155663755e-08
1,20.73321573485953,0.0,-1.004441546031525e-06,2.420373174738336e-05,0.999999593528828,-1.125215826663004e-05,0.9980898725853276,-5.564784702858795e-06,0.0,0.0,1.00967817129316e-06,2.837911402700622e-05,1.0,0.0,1.999999188066731,-2.238564394491943e-05,0.0,0.0,-0.0004999897233482209,1.883101577122254e-08,-1.002319926142748e-12,-1.186730787115165e-10,-5.048400956579905e-10,-1.418958539261713e-08,0.0,0.0,-5.048390856465801e-10,-1.418955701350311e-08,0.0009999995945379034,-1.113348567828939e-08,6.069227624448964e-13,2.605412980298838e-08,-0.000499989730456854,-7.460407195710545e-09,5.028287002081761e-10,1.395223972556496e-08,5.022207730157624e-10,-1.210186587369168e-08,0.000999999593528828,-1.125215826663004e-08
