case,frequency_real,frequency_imag,v(drain)_real,v(drain)_imag,v(out)_real,v(out)_imag,v(ref)_real,v(ref)_imag,v(vn)_real,v(vn)_imag,v(in)_real,v(in)_imag,v(source)_real,v(source)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(rd)_real,i(rd)_imag,id(j1)_real,id(j1)_imag,i(rf)_real,i(rf)_imag,i(cf)_real,i(cf)_imag,i(vn)_real,i(vn)_imag,i(vref)_real,i(vref)_imag,i(rs)_real,i(rs)_imag
1,14.67799267622069,0.0,-4.31127652200658e-06,-6.327108906724736e-06,4.29177650959577,-0.0001096271327169992,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892158115098,-8.725670642206179e-06,0.0,0.0,-0.0004727557104520219,1.519175186748426e-09,-9.986751249099453e-13,-8.401454471653312e-11,2.15563826100329e-09,3.163554453362368e-09,2.156090331755189e-09,2.176651544180244e-08,0.000998087058722503,-3.057620062872515e-08,4.477595058235963e-13,1.860295466133117e-08,-0.0005252903975204726,7.289410335760722e-09,0.0,0.0,0.00099808921581151,-8.725670642206178e-09
1,15.25222956539018,0.0,-4.311289398373219e-06,-6.574639983449633e-06,4.291776509385173,-0.0001139159987064791,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892157946896,-9.067038979816623e-06,0.0,0.0,-0.0004727557104494406,1.578608819919023e-09,-9.984166557628379e-13,-8.730138726805556e-11,2.15564469918661e-09,3.287319991724816e-09,2.156132490067282e-09,2.261807167129788e-08,0.0009980870586637827,-3.177241203838256e-08,4.834795930622399e-13,1.933074510493308e-08,-0.0005252903975064838,7.574588861345555e-09,0.0,0.0,0.0009980892157946896,-9.067038979816623e-09
1,15.84893192461113,0.0,-4.311303301696157e-06,-6.831855046127498e-06,4.291776509157776,-0.0001183726550136668,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892157765275,-9.421762433199578e-06,0.0,0.0,-0.0004727557104466651,1.640367633739584e-09,-9.9813756719759e-13,-9.071681867333609e-11,2.155651650848078e-09,3.415927523063749e-09,2.156178011517762e-09,2.350294274220806e-08,0.0009980870586003784,-3.301542199408097e-08,5.220492560550214e-13,2.008700838728926e-08,-0.000525290397491357,7.87092422781411e-09,0.0,0.0,0.0009980892157765275,-9.421762433199577e-09
1,16.46897865482867,0.0,-4.311318314131896e-06,-7.099132954594296e-06,4.291776508912243,-0.000123003665982274,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892157569167,-9.790363485245796e-06,0.0,0.0,-0.0004727557104436952,1.70454259462738e-09,-9.978362142967774e-13,-9.426586962467873e-11,2.155659157065948e-09,3.549566477297148e-09,2.156227164356883e-09,2.442243200786535e-08,0.0009980870585319173,-3.430706136273584e-08,5.636958201696812e-13,2.087285843143525e-08,-0.0005252903974749812,8.178852916478772e-09,0.0,0.0,0.0009980892157569166,-9.790363485245797e-09
1,17.11328304161779,0.0,-4.311334524498278e-06,-7.376867390555108e-06,4.291776508647117,-0.0001278158527682522,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892157357413,-1.017338505957968e-05,0.0,0.0,-0.0004727557104404756,1.771228227824708e-09,-9.975108209194216e-13,-9.79537676266724e-11,2.155667262249139e-09,3.688433695277554e-09,2.156280238534185e-09,2.537789381178534e-08,0.0009980870584579925,-3.564923263899168e-08,6.086647456919703e-13,2.168945273964039e-08,-0.0005252903974573564,8.498828484805647e-09,0.0,0.0,0.0009980892157357413,-1.017338505957969e-08
1,17.78279410038921,0.0,-4.311352027386306e-06,-7.665467437449508e-06,4.291776508360843,-0.0001328163033868777,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892157128768,-1.057139132024777e-05,0.0,0.0,-0.0004727557104370339,1.840522756613831e-09,-9.971594692326093e-13,-1.017859446959418e-10,2.155676013693153e-09,3.832733718724754e-09,2.156337546271944e-09,2.63707354825199e-08,0.0009980870583781716,-3.704391274746362e-08,6.572210745416631e-13,2.253799409832771e-08,-0.0005252903974383438,8.831322234477922e-09,0.0,0.0,0.0009980892157128768,-1.057139132024777e-08
1,18.47849797422289,0.0,-4.311370927378988e-06,-7.965358183003056e-06,4.291776508051732,-0.000138012383152902,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892156881881,-1.098496850269288e-05,0.0,0.0,-0.0004727557104332314,1.912528246998679e-09,-9.96780088407998e-13,-1.057680453621318e-10,2.155685463689494e-09,3.982679091501528e-09,2.156399426213083e-09,2.74024194065538e-08,0.000998087058291983,-3.849315595460883e-08,7.096509924005692e-13,2.341973234969409e-08,-0.0005252903974177492,9.176823905575785e-09,0.0,0.0,0.0009980892156881882,-1.098496850269289e-08
1,19.201419386388,0.0,-4.311391334610448e-06,-8.276981345351582e-06,4.291776507717957,-0.0001434117455291444,0.0,0.0,0.0,0.0,1.0,0.0,0.99808921566153,-1.141472577723785e-05,0.0,0.0,-0.0004727557104292068,1.987350758048115e-09,-9.963704424165776e-13,-1.099059349819077e-10,2.155695667305224e-09,4.138490672675791e-09,2.15646624233952e-09,2.847446518229738e-08,0.0009980870581989174,-3.999909689451715e-08,7.662635154595577e-13,2.433596623264025e-08,-0.0005252903973955447,9.535842397957965e-09,0.0,0.0,0.00099808921566153,-1.141472577723785e-08
1,19.95262314968878,0.0,-4.311413369872952e-06,-8.600795923661162e-06,4.291776507357559,-0.0001490223433995078,0.0,0.0,0.0,0.0,1.0,0.0,0.9980892156327452,-1.186129614635082e-05,0.0,0.0,-0.000472755710424877,2.065100498089656e-09,-9.959281168497627e-13,-1.142057083782192e-10,2.155706684936476e-09,4.300397961830581e-09,2.156538388672346e-09,2.958845185834883e-08,0.0009980870580984283,-4.156395371307786e-08,8.273923117261041e-13,2.528804529572232e-08,-0.0005252903973716194,9.908906520792718e-09,0.0,0.0,0.0009980892156327453,-1.186129614635082e-08
1,20.73321573485953,0.0,-4.311437163506682e-06,-8.93727887420159e-06,4.291776506968409,-0.0001548524407830173,0.0,0.0,0.0,0.0,1.0,0.0,0.998089215601664,-1.232533737701337e-05,0.0,0.0,-0.0004727557104200752,2.14589198706536e-09,-9.954505046891335e-13,-1.186736988175526e-10,2.155718581753341e-09,4.468639437100795e-09,2.156616290959967e-09,3.074602025932177e-08,0.0009980870579899227,-4.31900313351527e-08,8.933976676269193e-13,2.627737188494211e-08,-0.000525290397345668,1.02965657714944e-08,0.0,0.0,0.000998089215601664,-1.232533737701337e-08
