case,frequency_real,frequency_imag,v(bufferin)_real,v(bufferin)_imag,v(direct)_real,v(direct)_imag,v(vn)_real,v(vn)_imag,v(in)_real,v(in)_imag,v(out)_real,v(out)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(rl1)_real,i(rl1)_imag,i(rs2)_real,i(rs2)_imag,i(vn)_real,i(vn)_imag,i(rs1)_real,i(rs1)_imag,i(rl2)_real,i(rl2)_imag
1,14.67799267622069,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989215341,-1.616141722604009e-06,0.0,0.0,-0.004999938489283942,8.080699724668819e-09,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489283942,8.080699724668819e-09,9.900990099009902e-05,0.0,0.009999888989215342,-1.616141722604009e-08
1,15.25222956539018,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989213261,-1.679368910116067e-06,0.0,0.0,-0.004999938489282901,8.396835314496335e-09,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489282901,8.396835314496335e-09,9.900990099009902e-05,0.0,0.009999888989213262,-1.679368910116068e-08
1,15.84893192461113,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989211012,-1.745069690868573e-06,0.0,0.0,-0.004999938489281777,8.72533885692198e-09,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489281777,8.72533885692198e-09,9.900990099009902e-05,0.0,0.009999888989211012,-1.745069690868573e-08
1,16.46897865482867,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989208586,-1.813340837527838e-06,0.0,0.0,-0.004999938489280556,9.066694214745073e-09,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489280556,9.066694214745073e-09,9.900990099009902e-05,0.0,0.009999888989208587,-1.813340837527838e-08
1,17.11328304161779,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989205963,-1.884282908729829e-06,0.0,0.0,-0.004999938489279258,9.421404180592439e-09,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489279258,9.421404180592439e-09,9.900990099009902e-05,0.0,0.009999888989205964,-1.884282908729829e-08
1,17.78279410038921,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989203136,-1.95800039719602e-06,0.0,0.0,-0.004999938489277829,9.789991217496744e-09,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489277829,9.789991217496744e-09,9.900990099009902e-05,0.0,0.009999888989203136,-1.95800039719602e-08
1,18.47849797422289,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.999988898920008,-2.034601883643884e-06,0.0,0.0,-0.004999938489276302,1.017299822844819e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489276302,1.017299822844819e-08,9.900990099009902e-05,0.0,0.00999988898920008,-2.034601883643884e-08
1,19.201419386388,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989196781,-2.114200196718711e-06,0.0,0.0,-0.004999938489274651,1.057098935605269e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489274651,1.057098935605269e-08,9.900990099009902e-05,0.0,0.009999888989196782,-2.114200196718711e-08
1,19.95262314968878,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989193219,-2.196912579182333e-06,0.0,0.0,-0.004999938489272882,1.098455081347462e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489272882,1.098455081347462e-08,9.900990099009902e-05,0.0,0.009999888989193219,-2.196912579182333e-08
1,20.73321573485953,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989189372,-2.282860860603531e-06,0.0,0.0,-0.004999938489270959,1.141429174788783e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489270959,1.141429174788783e-08,9.900990099009902e-05,0.0,0.009999888989189371,-2.282860860603531e-08
1,21.54434690031881,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989185219,-2.372171636804495e-06,0.0,0.0,-0.004999938489268878,1.186084513770704e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489268878,1.186084513770704e-08,9.900990099009902e-05,0.0,0.00999988898918522,-2.372171636804496e-08
1,22.38721138568337,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989180734,-2.464976456327626e-06,0.0,0.0,-0.004999938489266637,1.232486872492078e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489266637,1.232486872492078e-08,9.900990099009902e-05,0.0,0.009999888989180734,-2.464976456327626e-08
1,23.26305067153623,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989175892,-2.561412014197375e-06,0.0,0.0,-0.004999938489264222,1.280704598389954e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489264222,1.280704598389954e-08,9.900990099009902e-05,0.0,0.009999888989175892,-2.561412014197375e-08
1,24.17315480804101,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989170663,-2.661620353262467e-06,0.0,0.0,-0.004999938489261606,1.330808712810569e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489261606,1.330808712810569e-08,9.900990099009902e-05,0.0,0.009999888989170664,-2.661620353262467e-08
1,25.11886431509577,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989165018,-2.765749073415111e-06,0.0,0.0,-0.004999938489258782,1.382873015618857e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489258782,1.382873015618857e-08,9.900990099009902e-05,0.0,0.009999888989165017,-2.765749073415111e-08
1,26.10157215682533,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989158923,-2.873951548995345e-06,0.0,0.0,-0.004999938489255729,1.436974193900474e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489255729,1.436974193900474e-08,9.900990099009902e-05,0.0,0.009999888989158923,-2.873951548995345e-08
1,27.12272579332025,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989152341,-2.986387154700733e-06,0.0,0.0,-0.00499993848925244,1.493191934916566e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.00499993848925244,1.493191934916566e-08,9.900990099009902e-05,0.0,0.009999888989152342,-2.986387154700733e-08
1,28.1838293126445,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989145231,-3.103221500334176e-06,0.0,0.0,-0.004999938489248887,1.551609043477492e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489248887,1.551609043477492e-08,9.900990099009902e-05,0.0,0.009999888989145231,-3.103221500334177e-08
1,29.28644564625232,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989137556,-3.224626674735607e-06,0.0,0.0,-0.004999938489245043,1.612311563908579e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489245043,1.612311563908579e-08,9.900990099009902e-05,0.0,0.009999888989137557,-3.224626674735608e-08
1,30.43219887107717,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.999988898912927,-3.350781499256831e-06,0.0,0.0,-0.0049999384892409,1.67538890678738e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.0049999384892409,1.67538890678738e-08,9.900990099009902e-05,0.0,0.00999988898912927,-3.350781499256831e-08
1,31.62277660168374,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989120322,-3.481871791152908e-06,0.0,0.0,-0.004999938489236425,1.740933980639234e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489236425,1.740933980639234e-08,9.900990099009902e-05,0.0,0.009999888989120322,-3.481871791152909e-08
1,32.85993247600649,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989110659,-3.618090637278005e-06,0.0,0.0,-0.004999938489231595,1.809043328785026e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489231595,1.809043328785026e-08,9.900990099009902e-05,0.0,0.00999988898911066,-3.618090637278005e-08
1,34.14548873833596,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989100228,-3.759638678488857e-06,0.0,0.0,-0.004999938489226384,1.879817271542779e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489226384,1.879817271542779e-08,9.900990099009902e-05,0.0,0.009999888989100229,-3.759638678488857e-08
1,35.48133892335748,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989088964,-3.906724405174755e-06,0.0,0.0,-0.00499993848922075,1.953360053992474e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.00499993848922075,1.953360053992474e-08,9.900990099009902e-05,0.0,0.009999888989088964,-3.906724405174755e-08
1,36.86945064519569,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989076801,-4.05956446434934e-06,0.0,0.0,-0.004999938489214664,2.029779999521787e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489214664,2.029779999521787e-08,9.900990099009902e-05,0.0,0.009999888989076802,-4.05956446434934e-08
1,38.31186849557281,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989063667,-4.218383978756536e-06,0.0,0.0,-0.0049999384892081,2.109189669378857e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.0049999384892081,2.109189669378857e-08,9.900990099009902e-05,0.0,0.009999888989063666,-4.218383978756537e-08
1,39.81071705534965,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989049485,-4.383416878460649e-06,0.0,0.0,-0.004999938489201015,2.191706028467192e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489201015,2.191706028467192e-08,9.900990099009902e-05,0.0,0.009999888989049485,-4.383416878460649e-08
1,41.36820402388499,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888989034174,-4.554906245409026e-06,0.0,0.0,-0.004999938489193348,2.277450617626777e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489193348,2.277450617626777e-08,9.900990099009902e-05,0.0,0.009999888989034174,-4.554906245409026e-08
1,42.98662347082268,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.999988898901764,-4.733104671474812e-06,0.0,0.0,-0.004999938489185091,2.366549732655251e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489185091,2.366549732655251e-08,9.900990099009902e-05,0.0,0.00999988898901764,-4.733104671474812e-08
1,44.66835921509622,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888988999784,-4.918274630507135e-06,0.0,0.0,-0.004999938489176167,2.459134610332843e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489176167,2.459134610332843e-08,9.900990099009902e-05,0.0,0.009999888988999785,-4.918274630507135e-08
1,46.41588833612769,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888988980508,-5.110688864936798e-06,0.0,0.0,-0.004999938489166515,2.555341621724941e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489166515,2.555341621724941e-08,9.900990099009902e-05,0.0,0.009999888988980507,-5.110688864936798e-08
1,48.23178482239296,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888988959692,-5.310630787506827e-06,0.0,0.0,-0.004999938489156114,2.655312473047199e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489156114,2.655312473047199e-08,9.900990099009902e-05,0.0,0.009999888988959692,-5.310630787506827e-08
1,50.11872336272711,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888988937217,-5.51839489871968e-06,0.0,0.0,-0.004999938489144873,2.759194414388878e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489144873,2.759194414388878e-08,9.900990099009902e-05,0.0,0.009999888988937217,-5.518394898719681e-08
1,52.07948328595451,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888988912947,-5.734287220615936e-06,0.0,0.0,-0.004999938489132744,2.867140456601946e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489132744,2.867140456601946e-08,9.900990099009902e-05,0.0,0.009999888988912948,-5.734287220615936e-08
1,54.11695265464624,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888988886743,-5.958625747523405e-06,0.0,0.0,-0.004999938489119643,2.979309596675429e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489119643,2.979309596675429e-08,9.900990099009902e-05,0.0,0.009999888988886744,-5.958625747523405e-08
1,56.23413251903477,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888988858447,-6.191740914440574e-06,0.0,0.0,-0.004999938489105488,3.095867051926852e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489105488,3.095867051926852e-08,9.900990099009902e-05,0.0,0.009999888988858448,-6.191740914440575e-08
1,58.43414133735162,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888988827892,-6.433976083744327e-06,0.0,0.0,-0.004999938489090222,3.216984503355804e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489090222,3.216984503355804e-08,9.900990099009902e-05,0.0,0.009999888988827891,-6.433976083744327e-08
1,60.7202195690987,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888988794903,-6.685688050938752e-06,0.0,0.0,-0.004999938489073714,3.342840348518103e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489073714,3.342840348518103e-08,9.900990099009902e-05,0.0,0.009999888988794904,-6.685688050938752e-08
1,63.09573444801917,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888988759281,-6.947247570190015e-06,0.0,0.0,-0.004999938489055909,3.473619964292928e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489055909,3.473619964292928e-08,9.900990099009902e-05,0.0,0.009999888988759281,-6.947247570190014e-08
1,65.56418494179772,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888988720816,-7.21903990042139e-06,0.0,0.0,-0.004999938489036675,3.609515979930034e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489036675,3.609515979930034e-08,9.900990099009902e-05,0.0,0.009999888988720817,-7.21903990042139e-08
1,68.12920690579594,0.0,0.9999900000999992,0.0,0.009900990099009901,0.0,0.0,0.0,1.0,0.0,0.9999888988679285,-7.501465372772759e-06,0.0,0.0,-0.004999938489015907,3.750728560779195e-08,-9.901090098009908e-05,0.0,9.900990099009902e-05,0.0,9.999900000834395e-10,0.0,-0.004999938489015907,3.750728560779195e-08,9.900990099009902e-05,0.0,0.009999888988679286,-7.50146537277276e-08
