case,frequency_real,frequency_imag,v(fb1)_real,v(fb1)_imag,v(hp)_real,v(hp)_imag,v(lp)_real,v(lp)_imag,v(vn)_real,v(vn)_imag,v(fb2)_real,v(fb2)_imag,v(high)_real,v(high)_imag,v(in)_real,v(in)_imag,v(low)_real,v(low)_imag,v(vp)_real,v(vp)_imag,i(vp)_real,i(vp)_imag,i(vin)_real,i(vin)_imag,i(clp)_real,i(clp)_imag,i(rg1)_real,i(rg1)_imag,i(rhp)_real,i(rhp)_imag,i(rf2)_real,i(rf2)_imag,i(vn)_real,i(vn)_imag,i(rlp)_real,i(rlp)_imag,i(rf1)_real,i(rf1)_imag,i(chp)_real,i(chp)_imag,i(rg2)_real,i(rg2)_imag
1,1.467799267622069,0.0,0.9999879864269305,-9.251680214438704e-05,8.50519706230771e-09,9.222362490148244e-05,0.9999899915948871,-9.22227026744557e-05,0.0,0.0,8.532320252966262e-09,9.222343997577414e-05,1.706472582913506e-08,0.0001844478021859481,1.0,0.0,1.999985972733726,-0.0001850345294567955,0.0,0.0,-4.998887505169858e-05,1.466516981670515e-11,-1.001691039495072e-09,-1.844472498121871e-08,8.505197062307709e-13,9.222362490148244e-09,9.999879864269306e-05,-9.251680214438704e-09,8.50519706230771e-13,9.222362490148244e-09,8.532405576168796e-13,9.222436221017394e-09,-4.998887505169858e-05,1.466516981670515e-11,1.000840511289347e-09,9.22227026744557e-09,9.999979863067952e-05,-9.25177273124085e-09,8.505282114278331e-13,9.222454713773144e-09,8.532320252966262e-13,9.222343997577415e-09
1,1.525222956539018,0.0,0.999987985746263,-9.61362725225085e-05,9.183700532351287e-09,9.583162551063679e-05,0.9999899909163904,-9.583066720396475e-05,0.0,0.0,9.212987479927536e-09,9.583143335000071e-05,1.842606708972988e-08,0.0001916638250143349,1.0,0.0,1.999985971372384,-0.0001922735064077422,0.0,0.0,-4.998887505169858e-05,1.523890504581714e-11,-1.00182674019069e-09,-1.916632510308566e-08,9.183700532351287e-13,9.58316255106368e-09,9.999879857462631e-05,-9.61362725225085e-09,9.183700532351287e-13,9.58316255106368e-09,9.21307960980234e-13,9.583239166433423e-09,-4.998887505169858e-05,1.523890504581714e-11,1.000908360959674e-09,9.583066720396476e-09,9.999979856261208e-05,-9.613723388523374e-09,9.18379236935661e-13,9.583258382689188e-09,9.212987479927538e-13,9.583143335000071e-09
1,1.584893192461112,0.0,0.9999879850112953,-9.989734491252604e-05,9.916331725823675e-09,9.958077940792612e-05,0.9999899901837666,-9.957978361009001e-05,0.0,0.0,9.94795504437366e-09,9.958057972928985e-05,1.989600956829777e-08,0.000199162155264377,1.0,0.0,1.999985969902441,-0.0001997956887985013,0.0,0.0,-4.99888750516847e-05,1.583508611948282e-11,-1.001973266429494e-09,-1.991615588258102e-08,9.916331725823675e-13,9.958077940792611e-09,9.999879850112953e-05,-9.989734491252605e-09,9.916331725823675e-13,9.958077940792613e-09,9.948054523924108e-13,9.958157553508719e-09,-4.99888750516847e-05,1.583508611948282e-11,1.000981623344721e-09,9.957978361009002e-09,9.999979848911457e-05,-9.989834388597523e-09,9.916430889140933e-13,9.958177521572018e-09,9.947955044373662e-13,9.958057972928985e-09
1,1.646897865482867,0.0,0.9999879842176957,-0.0001038055591104016,1.070740869047629e-08,0.000103476608834208,0.9999899893926976,-0.0001034755740784672,0.0,0.0,1.074155476436984e-08,0.0001034764013434216,2.148321694428733e-08,0.0002069538374508566,1.0,0.0,1.999985968315234,-0.0002076121562763943,0.0,0.0,-4.99888750516847e-05,1.645459116692298e-11,-1.002131481817645e-09,-2.069532176787635e-08,1.070740869047629e-12,1.03476608834208e-08,9.999879842176958e-05,-1.038055591104016e-08,1.070740869047629e-12,1.03476608834208e-08,1.074166217991749e-12,1.03477436107435e-08,-4.99888750516847e-05,1.645459116692298e-11,1.00106073024353e-09,1.034755740784672e-08,9.999979840975384e-05,-1.038065971659927e-08,1.070751576456319e-12,1.034776436002963e-08,1.074155476436984e-12,1.034764013434216e-08
1,1.71132830416178,0.0,0.9999879833607863,-0.0001078666716415593,1.156159394699242e-08,0.0001075248520730067,0.9999899885385208,-0.0001075237768352383,0.0,0.0,1.159846402944209e-08,0.0001075246364644088,2.319704404352448e-08,0.0002150503481751824,1.0,0.0,1.999985966601407,-0.000215734421949835,0.0,0.0,-4.99888750516847e-05,1.709833268148512e-11,-1.002302318873018e-09,-2.150497041567657e-08,1.156159394699242e-12,1.075248520730067e-08,9.999879833607864e-05,-1.078666716415593e-08,1.156159394699242e-12,1.075248520730067e-08,1.159858001408239e-12,1.075257117107735e-08,-4.99888750516847e-05,1.709833268148512e-11,1.001146147916465e-09,1.075237768352383e-08,9.999979832406205e-05,-1.078677503082757e-08,1.156170956293189e-12,1.075259273215274e-08,1.159846402944209e-12,1.075246364644088e-08
1,1.778279410038921,0.0,0.9999879824355168,-0.000112086664239827,1.248392196936654e-08,0.0001117314719025854,0.999989987616202,-0.0001117303545990394,0.0,0.0,1.252373336859183e-08,0.0001117312478585528,2.504759197451734e-08,0.0002234636130295842,1.0,0.0,1.999985964750858,-0.0002241744493462965,0.0,0.0,-4.998887505171246e-05,1.776725885217919e-11,-1.002486784483775e-09,-2.234629438163438e-08,1.248392196936653e-12,1.117314719025854e-08,9.999879824355169e-05,-1.12086664239827e-08,1.248392196936653e-12,1.117314719025854e-08,1.252385860592552e-12,1.117323651710314e-08,-4.998887505171246e-05,1.776725885217919e-11,1.001238379805258e-09,1.117303545990394e-08,9.999979823153412e-05,-1.120877851064694e-08,1.248404680858623e-12,1.117325892173044e-08,1.252373336859183e-12,1.117312478585528e-08
1,1.847849797422289,0.0,0.9999879814364337,-0.0001164717526580919,1.347982885753455e-08,0.0001161026643786815,0.999989986620305,-0.0001161015033636479,0.0,0.0,1.352281621755259e-08,0.0001161024315691603,2.704576766326735e-08,0.0002322060241626364,1.0,0.0,1.999985962752682,-0.0002329446700337104,0.0,0.0,-4.99888750516847e-05,1.846235494942349e-11,-1.002685965857208e-09,-2.322053287689732e-08,1.347982885753455e-12,1.161026643786815e-08,9.999879814364338e-05,-1.164717526580919e-08,1.347982885753455e-12,1.161026643786815e-08,1.352295144571476e-12,1.161035925934761e-08,-4.99888750516847e-05,1.846235494942349e-11,1.001337969497307e-09,1.161015033636479e-08,9.999979813162487e-05,-1.164729173756185e-08,1.347996365582313e-12,1.161038254053253e-08,1.352281621755259e-12,1.161024315691603e-08
1,1.9201419386388,0.0,0.9999879803576489,-0.0001210283958236466,1.455518437714212e-08,0.0001206448679608409,0.9999899855449603,-0.0001206436615242256,0.0,0.0,1.460160106073356e-08,0.0001206446260428598,2.920334813747773e-08,0.00024129045853198,1.0,0.0,1.999985960595102,-0.0002420580019312515,0.0,0.0,-4.998887505169858e-05,1.91846448107405e-11,-1.002901036962808e-09,-2.412897359337461e-08,1.455518437714212e-12,1.206448679608409e-08,9.99987980357649e-05,-1.210283958236466e-08,1.455518437714212e-12,1.206448679608409e-08,1.460174707674417e-12,1.206458324891202e-08,-4.998887505169858e-05,1.91846448107405e-11,1.001445503967524e-09,1.206436615242256e-08,9.99997980237453e-05,-1.210296061076049e-08,1.455532992898589e-12,1.206460744095205e-08,1.460160106073356e-12,1.206446260428598e-08
1,1.995262314968878,0.0,0.9999879791928036,-0.0001257633053517118,1.571632655528948e-08,0.0001253647729957924,0.9999899843838297,-0.0001253635193605988,0.0,0.0,1.576644613729075e-08,0.0001253645216129568,3.153304993904289e-08,0.0002507302968711298,1.0,0.0,1.999985958265399,-0.0002515278683364772,0.0,0.0,-4.99888750516847e-05,1.993519231290009e-11,-1.003133265407108e-09,-2.507295460041212e-08,1.571632655528948e-12,1.253647729957924e-08,9.999879791928036e-05,-1.257633053517118e-08,1.571632655528948e-12,1.253647729957924e-08,1.576660380175214e-12,1.25365775258173e-08,-4.99888750516847e-05,1.993519231290009e-11,1.001561617031133e-09,1.253635193605988e-08,9.999979790725958e-05,-1.257645629847654e-08,1.571648371855503e-12,1.253660266435223e-08,1.576644613729075e-12,1.253645216129568e-08
1,2.073321573485953,0.0,0.9999879779350326,-0.0001306834554311477,1.697009903615636e-08,0.0001302693315718327,0.9999899831300698,-0.0001302680288915438,0.0,0.0,1.702421691587951e-08,0.000130269070353799,3.40486040739282e-08,0.0002605394433983016,1.0,0.0,1.999985955749845,-0.0002613682176968498,0.0,0.0,-4.99888750516847e-05,2.071510296095338e-11,-1.003384019896229e-09,-2.605386631566923e-08,1.697009903615636e-12,1.302693315718327e-08,9.999879779350326e-05,-1.306834554311477e-08,1.697009903615636e-12,1.302693315718327e-08,1.702438715804869e-12,1.302703730445026e-08,-4.99888750516847e-05,2.071510296095338e-11,1.001686993018503e-09,1.302680288915438e-08,9.999979778148125e-05,-1.306847622657021e-08,1.697026873714671e-12,1.302706342651484e-08,1.702421691587952e-12,1.30269070353799e-08
